

"DOTA_Tooltip_ability_first_test"	"英雄技能-初阶"
"DOTA_Tooltip_ability_Advanced_Void_time_walk_Description"	"快速移动到目标位置并在沿途打开时间的裂隙，并抵消自身在过去2秒内所受的所有伤害。<br><font color=\"#777777\">该技能书可由击败对应的拥有该技能的boss掉落</font><br><br>【裂隙撕裂】窃取途经的敌人的时间，每个敌人都将减少150移动速度，并转化为自身5%%移动速度与20攻击速度，持续7秒。<br><br>【时间加速】释放后所有当前剩余冷却时间大于2的技能的冷却时间减少2秒（不包含自身）。"
"DOTA_Tooltip_ability_Advanced_Void_time_walk"	"高阶时间漫游"
"DOTA_Tooltip_ability_Advanced_Void_time_walk_Lore"	"发挥出暗惧者的力量，撕裂时空，穿越超微视界，作为时间系的高阶技能，只有受到了创世神的恩惠的个体才能掌握。"
"DOTA_Tooltip_ability_Advanced_Void_time_walk_chrono_radius"	"裂隙范围："
"DOTA_Tooltip_ability_Advanced_Void_time_walk_range"	"最大距离："

"DOTA_Tooltip_ability_Advanced_Time_Drain"	"高阶时间汲取"
"DOTA_Tooltip_ability_Advanced_Time_Drain_Description"	"攻击时有一定几率吸取目标的时间，减少自身技能/道具的冷却时间（但每减少一个技能的冷却后效果减少20%%）<br><font color=\"#777777\">该技能书可由击败对应的拥有该技能的boss掉落</font><br><br><br>【时间管理大师】被攻击时有10几率将自身藏匿于超维视界0.1秒，期间获得100%%伤害抗性。<br><br>【替身】每秒搜寻一个300距离内最近的敌方单位对其发动一次普通攻击，触发所有攻击特效。"
"DOTA_Tooltip_ability_Advanced_Time_Drain_Lore"	"卑微的人类自以为掌控了自然，但唯独【时间】却不被纳入其中。"
"DOTA_Tooltip_ability_Advanced_Time_Drain_Note0"	"额外的说明：<br>本技能不受冷却缩减影响<br>一部分不兼容的技能与道具不受影响。<br>对于生命恢复为负数的敌人一样可以造成倍数伤害，此时会乘上一个负数。<br>"
"DOTA_Tooltip_ability_Advanced_Time_Drain_cooldown_reduction"	"偷取时间："
"DOTA_Tooltip_ability_Advanced_Time_Drain_chance"	"%触发几率："



"DOTA_Tooltip_ability_Primary_Double_Hit"	"初阶多重斩"
"DOTA_Tooltip_ability_Primary_Double_Hit_Description"	"攻击有几率额外对目标再进行一次攻击。"
"DOTA_Tooltip_ability_Primary_Double_Hit_Note0"	"额外的说明：<br>额外的攻击在命中后的一瞬间产生，可以造成攻击特效。<br>会被破坏被动禁用。"
"DOTA_Tooltip_ability_Primary_Double_Hit_Lore"	"久经沙场的战士，都会有进行补刀的习惯。"
"DOTA_Tooltip_ability_Primary_Double_Hit_bash_chance"	"%触发几率："
"DOTA_Tooltip_ability_Advanced_Time_Dilation"	"高阶时间窃取"
"DOTA_Tooltip_ability_Advanced_Time_Dilation_Description"	"向四周释放出一股能量，窃取被影响到的敌人的时间。减少其双速并提升自己，且会强制性使受影响单位的技能进入冷却/或增加冷却时间。<br><br>"
"DOTA_Tooltip_ability_Advanced_Time_Dilation_Lore"	"超维视界的生物都对时间有着绝对的掌握，身为四维生物的他们可以轻易的窃取三维生物的时间。"
"DOTA_Tooltip_ability_Advanced_Time_Dilation_cooldown_increase"	"增加冷却时间："
"DOTA_Tooltip_ability_Advanced_Time_Dilation_cooldown_start"	"强制冷却时间："
"DOTA_Tooltip_ability_Advanced_Time_Dilation_radius"	"作用范围："
"DOTA_Tooltip_ability_Advanced_Time_Dilation_move_slow"	"%移动速度减缓："
"DOTA_Tooltip_ability_Advanced_Time_Dilation_attack_slow"	"攻击速度减缓："
"DOTA_Tooltip_ability_Advanced_Time_Dilation_move_bonus"	"%移动速度加成："
"DOTA_Tooltip_ability_Advanced_Time_Dilation_attack_bonus"	"攻击速度加成："
"DOTA_Tooltip_ability_Advanced_Stifling_Dagger"	"高阶窒碍短匕"
"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_Description"	"对目标数把匕首，减缓移动速度并造成带额外伤害的攻击效果。<br><br>【匕首影分身】搜索目标周围至多3个敌人施加相同效果。<br><br>【连掷】对同个目标可以丢出2把匕首。<br><br>"
"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_Lore"	"刺客大师丢出的匕首如同受到无形之手控制，即使你抵挡住了一次攻击，你也永远不会知道下一次攻击会何时到达，因为你已经失去了性命。"
"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_move_slow"	"移动速度减缓："
"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_slow_duration"	"持续时间："
"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_bonus_damage"	"%额外攻击加成："


"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_Note0"	"额外的说明：<br>匕首触发的大部分攻击特效都继承额外的攻击伤害。<br>攻击不触发分裂攻击与分裂箭等特效。<br><font color=\"#5bc0de\">受到状态抗性影响。</font>"

"DOTA_Tooltip_ability_Advanced_Blur"	"高阶模糊"
"DOTA_Tooltip_ability_Advanced_Blur_Description"	"模糊自己的身影以闪避对方的攻击。\n主动释放：施加一次弱驱散并在1s内无敌。<br><br>【遁影】周围700范围每有一名英雄友军额外增加6%%闪避，每有一名普通单位友军增加2%%闪避，最高叠加60%%与主效果非线性叠加。<br><br>【无形】利用敌军来抵挡敌军的视线从而发动致命一击，周围700范围每有一个敌人增加自身3%%攻击力。"
"DOTA_Tooltip_ability_Advanced_Blur_Lore"	"即使是刺客大师中也少有人能习得此技能。往上溯源，似乎是一位叫'阿泰尔'的人发明了此技艺。"
"DOTA_Tooltip_ability_Advanced_Blur_Note0"	"额外的说明：<br>额外的闪避奖励与基础数值为非线性叠加。<br>幻象不提供奖励数值。<br>"
"DOTA_Tooltip_ability_Advanced_Blur_evasion"	"%闪避几率："
"DOTA_Tooltip_ability_Advanced_Blur_blur_ms"	"魅影无形持续时间："
"DOTA_Tooltip_ability_Advanced_Blur_bonus_evasion_for_base"	"%每个召唤物提供闪避几率："

"DOTA_Tooltip_ability_Advanced_Fire_Blast"	"高阶火焰爆轰"
"DOTA_Tooltip_ability_Advanced_Fire_Blast_Description"	"使目标为中心点周围的所有敌人浸透在挥发性的化学物质中，引起爆炸。造成伤害与眩晕，并在一定时间内受到燃烧伤害，并减少攻速与移速。"
"DOTA_Tooltip_ability_Advanced_Fire_Blast_Lore"	"这是人类法师最容易掌握的高阶技能之一了，实际上，你只要化学足够好，使用中阶火焰爆轰也可以达到相同的效果。"
"DOTA_Tooltip_ability_Advanced_Fire_Blast_stunned_damage"	"基础伤害："
"DOTA_Tooltip_ability_Advanced_Fire_Blast_stunned_duration"	"眩晕时间："
"DOTA_Tooltip_ability_Advanced_Fire_Blast_debuff_duration"	"燃烧时间："
"DOTA_Tooltip_ability_Advanced_Fire_Blast_debuff_damage"	"燃烧伤害："
"DOTA_Tooltip_ability_Advanced_Fire_Blast_move_slow"	"移速减缓："
"DOTA_Tooltip_ability_Advanced_Fire_Blast_attack_slow"	"攻速减缓："
"DOTA_Tooltip_ability_Advanced_Fire_Blast_cast_distance"	"施法距离："
"DOTA_Tooltip_ability_Advanced_Blood_Lust"	"高阶嗜血术"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_Lore"	"与狂战士相性极高的技能，可惜大部分狂战士只会学习初阶的技能，他们更擅长与武力方面的技能而不会使用魔法。于是一些有狂战士的小队里都会有牧师。"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_Description"	"激发目标单位的狂暴，获得攻击，攻速，移速提升。<br><br>【咏唱者】 额外提升150施法距离，减少40%%施法前摇，增加10%%技能伤害，其中施法前摇加成不可叠加。<br><br>【叠加态】状态可以叠加，独立计算时间，但有6%%的边际效益递减（即第三层的收益=0.94*0.94=88.36%）<br><br>"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_buff_duration"	"持续时间："
"DOTA_Tooltip_ability_Advanced_Blood_Lust_move_bonus"	"%增加移速："
"DOTA_Tooltip_ability_Advanced_Blood_Lust_attack_speed_bonus"	"增加攻速："
"DOTA_Tooltip_ability_Advanced_Blood_Lust_attack_damage_bonus"	"增加攻击力："
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice"	"高阶献祭"
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_Description"	"献祭自身的当前百分比生命值换取血神的祝福，同时获取物理与法术两种强化。<br><br>【叠加态】状态可以叠加，独立计算时间，但有6%%的边际效益递减（即第三层的收益=0.94*0.94=88.36%%）<br><br>【血怒】获得3%%伤害吸血能力。(这个效果不可叠加)"
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_Lore"	"有时候献出血液只是为了血液的回馈，而不是因为无私。"
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_hp_percent"	"%当前生命献祭："
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_buff_duration"	"持续时间："
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_attack_speed_bonus"	"增加攻速："
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_attack_damage_bonus"	"%增加攻击："
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_ability_damage_bonus"	"%增加技能伤害："
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_cast_distance"	"提升施法距离："
"DOTA_Tooltip_modifier_Advanced_Blood_Sacrifice_buff"                   "高阶献祭"
"DOTA_Tooltip_modifier_Advanced_Blood_Sacrifice_buff_Description"                   "赋予战斗能力大幅度提升"
"DOTA_Tooltip_modifier_Middle_Blood_Sacrifice_buff"                   "中阶献祭"
"DOTA_Tooltip_modifier_Middle_Blood_Sacrifice_buff_Description"                   "赋予战斗能力提升"
"DOTA_Tooltip_modifier_Primary_Blood_Sacrifice_buff"                   "低阶献祭"
"DOTA_Tooltip_modifier_Primary_Blood_Sacrifice_buff_Description"                   "赋予战斗能力小幅度提升"


"DOTA_Tooltip_ability_Advanced_Ice_Vortex"	"高阶寒冰漩涡"
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_Description"	"在指定地点创造一个寒冰漩涡，降低范围内敌军的移速。<br><br>【气旋造形】经过4s后会在漩涡上方形成一颗冰球向下砸去，造成1.5秒眩晕与300+智力*4的冰属性伤害，范围等同于技能作用范围。<br><br>【脆弱化】漩涡内的敌人受到额外17%%的伤害。"
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_Lore"	"四周的空气会流到低气压中心，形成一个气旋，这时只要不断冰冻上升的气流，最终就可以创造一颗冰球。"
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_radius"	"作用范围："
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_life_duration"	"持续时间："
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_speed_slow"	"减缓移速："
"DOTA_Tooltip_ability_Advanced_Chilling_Touch"	"高阶极寒之触"
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_Description"	"将冷气附着到自身的攻击中，提升远程攻击距离，攻击可以附带额外的冰属性魔法伤害且造成减速。<br><br>【绝对零度】每3次攻击使下一次攻击获得[零度强化]：被命中的单位将无法恢复生命值，持续1秒。<br><br>【易碎之寒】[零度强化]为敌人施加[易碎]，持续5秒。期间若敌人的生命值低于其最大生命值的%truekill_line%% 将被斩杀。"
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_Lore"	"远古冰魄经常嘲笑剧毒术士：\"只有我的极寒可以完全阻止那群蠢货恢复生命\"。"
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_damage"	"额外伤害："
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_intelligence_index"	"智力乘数："
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_move_slow"	"减缓移速："
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_duration"	"持续时间："
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_bonus_attack_range"	"攻击距离提升："
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_Note0"	"额外的说明：<br><font color=\"#d9534f\">攻击距离提升仅对远程攻击者有效。</font>"
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_basic_damage"	"基础伤害："
"DOTA_Tooltip_ability_Advanced_Windrun"	"高阶风行"
"DOTA_Tooltip_ability_Advanced_Windrun_Lore"	"御风而行，银月森林的游侠们都被风元素祝福了，天生就可以施展高超的风行术，而对于其他人而言，想习得这个技能，就得付出大量的努力。"
"DOTA_Tooltip_ability_Advanced_Windrun_Description"	"增加移动速度并获得90%%闪避的能力。<br><br>【风之姿】移动速度将突破限制<br><br>【风之领域】并且在此状态下，周围300范围的敌人会不断被击退，每秒对其造成敏捷*0.3的伤害。"
"DOTA_Tooltip_ability_Advanced_Windrun_Note0"	"额外的说明："
"DOTA_Tooltip_ability_Advanced_Windrun_bonus_move_speed"	"%增加移速："
"DOTA_Tooltip_ability_Advanced_Windrun_duration"	"持续时间："
"DOTA_Tooltip_ability_Advanced_Shackleshot"	"高阶束缚击（未完成）"
"DOTA_Tooltip_ability_Advanced_Shackleshot_Description"	"向目标投射一个束缚绳，将其眩晕一段时间，在此期间目标每隔一段时间就会搜寻四周的单位，如果靠近其一定范围内也会被束缚，主目标眩晕结束后移除所有效果。被束缚的敌人会受到额外的伤害，每有一个被主目标束缚的次级目标被束缚会增加主目标受到的伤害。"
"DOTA_Tooltip_ability_Advanced_Shackleshot_Lore"	"游侠们长年累月的练习可以在没有其他物体的情况下束缚一个目标。"
"DOTA_Tooltip_ability_Advanced_Shackleshot_stunned_duration"	"眩晕时间："
"DOTA_Tooltip_ability_Advanced_Shackleshot_Note0"	"主目标受到的控制效果会被驱散与减免，但次级目标不会。"
"DOTA_Tooltip_ability_Advanced_Shackleshot_stunned_radius"	"搜寻距离："
"DOTA_Tooltip_ability_Advanced_Shackleshot_stunned_interval"	"搜寻间隔："
"DOTA_Tooltip_ability_Advanced_Shackleshot_damage_bonus_main"	"%基础受到伤害提升："
"DOTA_Tooltip_ability_Advanced_Shackleshot_damage_bonus"	"%每个主目标受到伤害提升："
"DOTA_Tooltip_ability_Advanced_Powershot"	"高阶强力击"
"DOTA_Tooltip_ability_Advanced_Powershot_Description"	"蓄力射出一道魔法箭矢，造成伤害。<br><br>【破军】 受到作用的敌人会被击退一段距离，并在5秒内减少50%%移动速度。<br><br>【疾风】 对受到作用的敌人造成一次攻击。"
"DOTA_Tooltip_ability_Advanced_Powershot_Lore"	"看起来只是将千万大军组成的方阵射出一道小口，实则破军一击，敌军军心将瓦解，任人宰割。"
"DOTA_Tooltip_ability_Advanced_Powershot_basic_damage"	"基础伤害："
"DOTA_Tooltip_ability_Advanced_Powershot_attack_damage"	"攻击力乘数："
"DOTA_Tooltip_ability_Advanced_Powershot_range"	"距离："
"DOTA_Tooltip_ability_Advanced_Powershot_Note0"	"额外的说明：<br>飞行速度为3000。<br>攻击不触发分裂攻击与分裂箭等特效。"
"DOTA_Tooltip_ability_Advanced_Focus_Fire"	"高阶集中火力"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_Description"	"集中所有注意力于一个目标，可以以极快的攻击速度攻击目标，并获得移动攻击的能力。<br><br>【会神】随着攻击次数的提升会愈发集中注意力，每次发动攻击都能额外提升自身%bonus_speed%点攻击速度。<br><br>【全方位射击】攻击有%chance%% 几率对敌人施加1层[全方位创伤]。\n[全方位创伤]：降低%armor_reduce%点护甲、%magic_resist_reduce%% 魔法抗性和%move_reduce%移动速度，持续%reduce_duration%秒，不受到负面增强和状态抗性影响。"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_Lore"	"游侠们天生有极高的能力，他们大多可以从三四百米外射中目标，如果将这种能力汇集到一个短距离的目标上，他们无需刻意瞄准也可以击中对方。"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_focusfire_damage_reduction"	"%攻击力百分比："
"DOTA_Tooltip_ability_Advanced_Focus_Fire_bouns_speed"	"每次攻击速度提升："
"DOTA_Tooltip_ability_Advanced_Focus_Fire_duration"	"持续时间："
"DOTA_Tooltip_ability_Advanced_Focus_Fire_Note0"	"额外的说明：<br>所有特效都只有攻击主目标才会产生。<br>额外的攻击不触发分裂攻击与分裂箭等特效。"

"DOTA_Tooltip_ability_Advanced_Shallow_Grave"	"高阶薄葬"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_Description"	"对目标释放薄葬，持续时间内不会死亡，但不免除即死效果。<br><br>【送葬】持续时间内受到的致死伤害的30%%在结束后会转换为伤害对500范围内敌人造成伤害。(但不会超过施法者最大魔法的20倍)<br><br>【灵葬】目标在状态持续时间内将获得施法者30%%全属性加成。"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_Lore"	"免死仪式附带了了邪神的一部分力量，死之力得到了提升。"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave"	"高阶暗影波"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_Description"	"放出一道跳跃的能量弧，瞬间治疗友军并对周围敌人造成伤害。<br><br>【光明波】额外治疗友军当前损失生命值的20%%的生命，这一部分数值将视为额外伤害。<br><br><br>【暗夜护盾】每治疗一个友军可以提升主目标4点防御值，持续10秒。"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_basic_damage"	"基础伤害："
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_bounce_radius"	"弹跳距离："
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_bounce_number"	"弹跳次数："
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_duration"	"持续时间："

"DOTA_Tooltip_ability_Advanced_Shallow_Grave_duration"	"持续时间："
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_cast_range"	"施法距离："
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_Note0"	"额外的说明：<br>灵葬效果对自己无效。"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_Note0"	"额外的说明：<br>自身不算入弹射数量中。<br><font color=\"#5bc0de\">治疗增益只会影响治疗量不会影响伤害。</font>"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_Lore"	"既可以治疗友军，又可以对敌人造成伤害，还有比这更好的德尊仪式吗？"


"DOTA_Tooltip_ability_Middle_Shallow_Grave_Note0"	"额外的说明："
"DOTA_Tooltip_ability_Primary_Shallow_Grave_Note0"	"额外的说明："

//沸血之矛

"DOTA_Tooltip_ability_Primary_Burning_Spear"	"低阶沸血之矛"
"DOTA_Tooltip_ability_Primary_Burning_Spear_Description"	"生命值大于%limit%% 时，消耗自身生命为武器淬火，使攻击对敌人造成持续伤害，独立叠加。"
"DOTA_Tooltip_ability_Primary_Burning_Spear_Lore"	"将鲜血用作燃料，具有极强的穿透性"
"DOTA_Tooltip_ability_Primary_Burning_Spear_hp_cost_pct"	"%当前生命消耗："
"DOTA_Tooltip_ability_Primary_Burning_Spear_damage" "每层每秒伤害："
"DOTA_Tooltip_ability_Primary_Burning_Spear_atb_damage" "每层每秒额外伤害：主属性*"
"DOTA_Tooltip_ability_Primary_Burning_Spear_duration"	"持续时间："

"DOTA_Tooltip_ability_Middle_Burning_Spear"	"中阶沸血之矛"
"DOTA_Tooltip_ability_Middle_Burning_Spear_Description"	"生命值大于%limit%% 时，消耗自身生命为武器淬火，使攻击对敌人造成持续伤害，独立叠加。<br><br>【凯旋】使用者击杀燃烧单位时，恢复自身%hplose_heal%% 已损失生命值。"
"DOTA_Tooltip_ability_Middle_Burning_Spear_Lore"	"以血铸矛，我将凯旋"
"DOTA_Tooltip_ability_Middle_Burning_Spear_hp_cost_pct"	"%当前生命消耗："
"DOTA_Tooltip_ability_Middle_Burning_Spear_damage" "每层每秒伤害："
"DOTA_Tooltip_ability_Middle_Burning_Spear_atb_damage" "每层每秒额外伤害：主属性*"
"DOTA_Tooltip_ability_Middle_Burning_Spear_duration"	"持续时间："

"DOTA_Tooltip_ability_Advanced_Burning_Spear"	"高阶沸血之矛"
"DOTA_Tooltip_ability_Advanced_Burning_Spear_Description"	"消耗自身生命为武器淬火，使攻击对敌人造成持续伤害，独立叠加。<br><br>【凯旋】使用者击杀燃烧单位时，恢复自身%hplose_heal%% 已损失生命值。<br><br>【薪尽火传】每层燃烧状态会使新增的燃烧状态持续时间提高%duration_amplify%秒，最多提高%max_bonus_duration%秒。"
"DOTA_Tooltip_ability_Advanced_Burning_Spear_Lore"	"以血铸矛，我将凯旋"
"DOTA_Tooltip_ability_Advanced_Burning_Spear_hp_cost_pct"	"%当前生命消耗："
"DOTA_Tooltip_ability_Advanced_Burning_Spear_damage" "每层每秒伤害："
"DOTA_Tooltip_ability_Advanced_Burning_Spear_atb_damage" "每层每秒额外伤害：主属性*"
"DOTA_Tooltip_ability_Advanced_Burning_Spear_duration"	"持续时间："

"DOTA_Tooltip_modifier_Advanced_Burning_Spear_debuff"                   "沸血之矛"
"DOTA_Tooltip_modifier_Advanced_Burning_Spear_debuff_Description"                   "每秒受到伤害"
"DOTA_Tooltip_modifier_Primary_Burning_Spear_debuff"                   "沸血之矛"
"DOTA_Tooltip_modifier_Primary_Burning_Spear_debuff_Description"                   "每秒受到伤害"
"DOTA_Tooltip_modifier_Middle_Burning_Spear_debuff"                   "沸血之矛"
"DOTA_Tooltip_modifier_Middle_Burning_Spear_debuff_Description"                   "每秒受到伤害"

"DOTA_Tooltip_modifier_Advanced_Burning_Spear_unlock1"                   "不灭回赠"
"DOTA_Tooltip_modifier_Advanced_Burning_Spear_unlock1_Description"                   "最大生命值提升%dMODIFIER_PROPERTY_TOOLTIP%"







"DOTA_Tooltip_ability_Advanced_Bad_Juju"	"高阶邪能"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_Lore"	"虚无之境的每一次咒术都使其能进一步渗透尘世的周遭。"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_Description"	"减少技能与物品的冷却时间。<br><br>【邪神之力】每次施法都会抽取1000范围周围至多五名敌人的能量，使其攻击力降低自身智力的5%，持续10秒，独立计算持续时间，可以叠加。<br><br>【编织】每次施法会对自身1000范围范围内至多五名敌人施加一个效果，使其每5秒降低一点护甲，持续20秒。"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_Note0"	"额外的说明：<br>冷却时间小于5秒的技能不触发额外效果。<br>英雄优先。"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_cooldown_reduction"	"%冷却缩减："
"DOTA_Tooltip_ability_Advanced_Dual_Breath"	"高阶冰火交加"
