"DOTA_Tooltip_modifier_hd_cleave_damage"                   "分裂伤害"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_effect_move"                   "平衡"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_effect_move_Description"       "赋予攻击力提升" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_effect_notMove"                   "平衡"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_effect_notMove_Description"       "赋予移动速度提升" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_earthshaker_buff"                   "回响"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_earthshaker_buff_Description"       "赋予力量提升" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_storm_spirit_debuff"                   "超负荷"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_storm_spirit_debuff_Description"       "攻击速度与移动速度被减缓" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lina_buff"                   "燃魂"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lina_buff_Description"       "移动速度和施法速度提高" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_gyrocopter"                   "侧面机枪"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_gyrocopter_Description"       "赋予额外攻击效果" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_legion_commander_effect"                   "决斗"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_legion_commander_effect_Description"       "赋予攻击力提升" 




"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_doom_bringer"                   "恶魔领主"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_doom_bringer_Description"       "赋予攻击力提升，防御提升与魔法抗性提升" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pudge"                   "腐肉堆叠"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pudge_Description"       "赋予力量提升" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_ember_spirit"                   "余火"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_ember_spirit_Description"       "赋予免疫死亡的能力" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_void_spirit"                   "虚无之盾"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_void_spirit_Description"       "赋予伤害免疫" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_snapfire_buff"                   "霹雳铁手"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_snapfire_buff_Description"       "赋予忽略护甲与攻速提升" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_dawnbreaker_buff"                   "星魂"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_dawnbreaker_buff_Description"       "赋予全属性提升" 



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_marci_effect"                   "健体术"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_marci_effect_Description"       "赋予为同伴恢复生命的能力" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_elder_titan_effect"                   "自然秩序"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_elder_titan_effect_Description"       "减少护甲与魔法抗性" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_clinkz_damage"                   "死亡契约"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_clinkz_damage_Description"       "赋予攻击力提升" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_clinkz_health"                   "死亡契约"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_clinkz_health_Description"       "赋予生命值提升" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_drow_ranger_effect"                   "精准光环"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_drow_ranger_effect_Description"       "赋予敏捷提升" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_active"                   "风暴之眼"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_active_Description"       "削减防御" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_venomancer_active"                   "毒素混合"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_venomancer_active_Description"       "削减状态抗性" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_templar_assassin_effect"                   "折光"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_templar_assassin_effect_Description"       "赋予伤害减免" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_vengefulspirit_effect"                   "复仇"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_vengefulspirit_effect_Description"       "该单位受到伤害增加" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_arua_debuff"                   "海妖之歌"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_arua_debuff_Description"       "赋予生命恢复，但无法行动" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_arua"                   "海妖之歌"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_arua_Description"       "施法中" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_troll_warlord"                   "热血战魂"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_troll_warlord_Description"       "赋予攻击速度提升" 




"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_nevermore_effect"                   "魔王降临"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_nevermore_effect_Description"       "降低防御力" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_hoodwink"                   "爆栗出击"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_hoodwink_Description"       "赋予额外的伤害" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_ursa_debuff"                   "怒意狂击"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_ursa_debuff_Description"       "熊战士对其攻击造成额外的伤害" 




"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_medusa_effect"                   "石化凝视"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_medusa_effect_Description"       "这个单位随时可能被石化" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_medusa_stone"                   "石化凝视"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_medusa_stone_Description"       "被石化，受到额外物理伤害" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_medusa_delay"                   "石化凝视间隔时间"



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_puck_effect"                   "半步进化"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_puck_effect_Description"       "赋予法术能力提升" 



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pugna"                   "湮灭术"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pugna_Description"       "赋予法术能力提升" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_disruptor_effect"                   "风雷之击"


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_leshrac_effect"                   "虚无主义"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_leshrac_effect_Description"       "减少魔法抗性" 



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_necrolyte_effect"                   "死亡之域"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_necrolyte_effect_Description"       "治疗增强被削减" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet"                   "死亡透支"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet_Description"       "赋予技能伤害" 



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_shadow_shaman_debuff"                   "妖术"



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_visage"                   "陵卫斗篷"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_visage_Description"       "赋予伤害减免" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lion_effect"                   "法力吸取"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lion_effect_Description"       "被莱恩吸取法力中" 

"DOTA_Tooltip_modifier_Shop_noob2"                   "又菜又爱玩"
"DOTA_Tooltip_modifier_Shop_noob2_Description"       "来自作者的怜悯，希望这位玩家能早日变强" 


"DOTA_Tooltip_modifier_Advanced_summons_undead_jack_the_ripper_buff"                   "嗜血"
"DOTA_Tooltip_modifier_Advanced_summons_undead_jack_the_ripper_buff_Description"       "赋予攻击力提升" 

"DOTA_Tooltip_modifier_Advanced_summons_undead_jack_the_ripper_debuff"                   "撕裂伤口"
"DOTA_Tooltip_modifier_Advanced_summons_undead_jack_the_ripper_debuff_Description"       "敌人攻击自己可以吸血" 

"DOTA_Tooltip_modifier_Shop_water"                   "水群哥"
"DOTA_Tooltip_modifier_Shop_water_Description"       "赋予1点魔法恢复提升" 

"DOTA_Tooltip_modifier_Shop_Bullshit"                   "屁话哥"
"DOTA_Tooltip_modifier_Shop_Bullshit_Description"       "赋予1点魔法恢复提升" 



"DOTA_Tooltip_modifier_Shop_Athenas_blessing"                   "雅典娜的福佑"
"DOTA_Tooltip_modifier_Shop_Athenas_blessing_Description"       "尊贵的女玩家" 




"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Vahdrak_effect"                   "混沌之力"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Vahdrak_effect_Description"       "赋予攻击力提升" 
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Vahdrak_effect"                   "混沌之力"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Vahdrak_effect_Description"       "赋予攻击力提升" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Vahdrak_effect"                   "混沌之力"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Vahdrak_effect_Description"       "赋予攻击能力提升" 



"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Uldorak_effect"                   "大地之力"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Uldorak_effect_Description"       "赋予防御能力提升" 

"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Uldorak_effect"                   "大地之力"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Uldorak_effect_Description"       "赋予防御能力提升" 


"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Uldorak_effect"                   "大地之力"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Uldorak_effect_Description"       "赋予防御能力提升" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Uldorak_buff"                   "时间锁定"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Uldorak_buff_Description"       "多个维度的自己在互相影响" 



"DOTA_Tooltip_modifier_Primary_summons_ward_Aghanim_the_Wisest_buff_effect"                   "大聪明阿哈利姆之力"
"DOTA_Tooltip_modifier_Primary_summons_ward_Aghanim_the_Wisest_buff_effect_Description"       "赋予法术能力提升" 

"DOTA_Tooltip_modifier_Middle_summons_ward_Aghanim_the_Wisest_buff_effect"                   "大聪明阿哈利姆之力"
"DOTA_Tooltip_modifier_Middle_summons_ward_Aghanim_the_Wisest_buff_effect_Description"       "赋予法术能力提升" 


"DOTA_Tooltip_modifier_Advanced_summons_ward_Aghanim_the_Wisest_buff_effect"                   "大聪明阿哈利姆之力"
"DOTA_Tooltip_modifier_Advanced_summons_ward_Aghanim_the_Wisest_buff_effect_Description"       "赋予法术能力提升" 


"DOTA_Tooltip_modifier_Advanced_Rot_slow"                   "高阶腐烂"
"DOTA_Tooltip_modifier_Advanced_Rot_slow_Description"       "受到持续伤害且死亡爆炸" 



"DOTA_Tooltip_modifier_Primary_Blood_grudge_Dagger"                   "低阶怨血匕首"
"DOTA_Tooltip_modifier_Primary_Blood_grudge_Dagger_Description"       "每秒受到持续伤害" 

"DOTA_Tooltip_modifier_Middle_Blood_grudge_Dagger"                   "中阶怨血匕首"
"DOTA_Tooltip_modifier_Middle_Blood_grudge_Dagger_Description"       "每秒受到持续伤害" 


"DOTA_Tooltip_modifier_Advanced_Blood_grudge_Dagger"                   "高阶怨血匕首"
"DOTA_Tooltip_modifier_Advanced_Blood_grudge_Dagger_Description"       "每秒受到持续伤害" 





"DOTA_Tooltip_modifier_Shop_sendBug_man"                   "自我抑制的回赠LV1"
"DOTA_Tooltip_modifier_Shop_sendBug_man_Description"       "此人以抑制自己的套路换取游戏平衡获得的回赠奖励" 
"DOTA_Tooltip_modifier_Shop_sendBug_man_2"                   "自我抑制的回赠LV2"
"DOTA_Tooltip_modifier_Shop_sendBug_man_2_Description"       "此人以抑制自己的套路换取游戏平衡获得的回赠奖励" 
"DOTA_Tooltip_modifier_Shop_sendBug_man_3"                   "自我抑制的回赠LV3"
"DOTA_Tooltip_modifier_Shop_sendBug_man_3_Description"       "此人以抑制自己的套路换取游戏平衡获得的回赠奖励" 
"DOTA_Tooltip_modifier_Shop_sendBug_man_4"                   "自我抑制的回赠LV4"
"DOTA_Tooltip_modifier_Shop_sendBug_man_4_Description"       "此人以抑制自己的套路换取游戏平衡获得的回赠奖励" 
"DOTA_Tooltip_modifier_Shop_sendBug_man_5"                   "自我抑制的回赠LV5"
"DOTA_Tooltip_modifier_Shop_sendBug_man_5_Description"       "此人以抑制自己的套路换取游戏平衡获得的回赠奖励" 






"DOTA_Tooltip_modifier_Middle_clock_and_dagger"                   "中阶刀光谍影"
"DOTA_Tooltip_modifier_Middle_clock_and_dagger_Description"       "赋予战斗能力加成" 
"DOTA_Tooltip_modifier_Advanced_clock_and_dagger"                   "高阶刀光谍影"
"DOTA_Tooltip_modifier_Advanced_clock_and_dagger_Description"       "赋予战斗能力加成" 

"DOTA_Tooltip_modifier_Advanced_clock_and_dagger_delay"                   "大隐隐于市"
"DOTA_Tooltip_modifier_Advanced_clock_and_dagger_delay_Description"       "延迟发动" 





"DOTA_Tooltip_modifier_Primary_necromastery"                   "低阶支配死灵"
"DOTA_Tooltip_modifier_Primary_necromastery_Description"       "赋予攻击力提升" 
"DOTA_Tooltip_modifier_Middle_necromastery"                   "中阶支配死灵"
"DOTA_Tooltip_modifier_Middle_necromastery_Description"       "赋予攻击力提升" 
"DOTA_Tooltip_modifier_Advanced_necromastery"                   "高阶支配死灵"
"DOTA_Tooltip_modifier_Advanced_necromastery_Description"       "赋予攻击力提升" 

"DOTA_Tooltip_modifier_Advanced_necromastery_bonus"                   "临时灵魂"
"DOTA_Tooltip_modifier_Advanced_necromastery_bonus_Description"       "赋予攻击力提升" 

"DOTA_Tooltip_modifier_Advanced_necromastery_debuff"                   "灵魂提取"
"DOTA_Tooltip_modifier_Advanced_necromastery_debuff_Description"       "承受额外的物理伤害" 


"DOTA_Tooltip_modifier_Middle_Corrosive_Skin"                   "中阶腐蚀皮肤"
"DOTA_Tooltip_modifier_Middle_Corrosive_Skin_Description"       "赋予魔法抗性提升" 
"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin"                   "高阶腐蚀皮肤"
"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin_Description"       "赋予魔法抗性提升" 

"DOTA_Tooltip_modifier_Primary_Corrosive_Skin_debuff"                   "低阶腐蚀皮肤"
"DOTA_Tooltip_modifier_Primary_Corrosive_Skin_debuff_Description"       "降低攻击速度并受到持续伤害" 
"DOTA_Tooltip_modifier_Middle_Corrosive_Skin_debuff"                   "中阶腐蚀皮肤"
"DOTA_Tooltip_modifier_Middle_Corrosive_Skin_debuff_Description"       "降低攻击速度并受到持续伤害" 
"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin_debuff"                   "高阶腐蚀皮肤"
"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin_debuff_Description"       "降低攻击速度并受到持续伤害" 




"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin_debuff2"                   "毒泉"
"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin_debuff2_Description"       "降低攻击速度并受到持续伤害" 




"DOTA_Tooltip_modifier_Primary_empower"                   "低阶授予力量"
"DOTA_Tooltip_modifier_Primary_empower_Description"       "赋予%dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%攻击力加成与%dMODIFIER_PROPERTY_TOOLTIP%%%分裂伤害效果" 
"DOTA_Tooltip_modifier_Middle_empower"                   "中阶授予力量"
"DOTA_Tooltip_modifier_Middle_empower_Description"       "赋予%dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%攻击力加成与%dMODIFIER_PROPERTY_TOOLTIP%%%分裂伤害效果" 
"DOTA_Tooltip_modifier_Advanced_empower"                   "高阶授予力量"
"DOTA_Tooltip_modifier_Advanced_empower_Description"       "赋予%dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%攻击力加成与%dMODIFIER_PROPERTY_TOOLTIP%%%分裂伤害效果" 


"DOTA_Tooltip_modifier_Advanced_hyakkiyakou_debuff"                   "睡眠"
"DOTA_Tooltip_modifier_Advanced_hyakkiyakou_debuff_Description"       "陷入沉睡" 


"DOTA_Tooltip_modifier_Primary_fear_arua_effect"                   "恐惧"
"DOTA_Tooltip_modifier_Primary_fear_arua_effect_Description"       "降低攻击力并受到额外伤害"
"DOTA_Tooltip_modifier_Advanced_fear_arua_effect"                   "恐惧"
"DOTA_Tooltip_modifier_Advanced_fear_arua_effect_Description"       "降低攻击力并受到额外伤害"
"DOTA_Tooltip_modifier_Middle_fear_arua_effect"                   "恐惧"
"DOTA_Tooltip_modifier_Middle_fear_arua_effect_Description"       "降低攻击力并受到额外伤害"

"DOTA_Tooltip_modifier_Advanced_fear_arua_debuff"                   "恐慌"
"DOTA_Tooltip_modifier_Advanced_fear_arua_debuff_Description"       "受到额外伤害"
"DOTA_Tooltip_modifier_Middle_fear_arua_debuff"                   "恐慌"
"DOTA_Tooltip_modifier_Middle_fear_arua_debuff_Description"       "受到额外伤害"


"DOTA_Tooltip_modifier_Advanced_fear_arua_force_debuff"                   "集中恐惧"
"DOTA_Tooltip_modifier_Advanced_fear_arua_force_debuff_Description"       "受到治疗效果降低，状态抗性削弱"
"DOTA_Tooltip_modifier_Advanced_fear_arua_force_debuff"                   "恐惧传递"
"DOTA_Tooltip_modifier_Advanced_fear_arua_force_debuff_Description"       "状态抗性削弱"




"DOTA_Tooltip_modifier_Primary_water_prison"                   "低阶水牢术"
"DOTA_Tooltip_modifier_Primary_water_prison_Description"       "无法行动" 
"DOTA_Tooltip_modifier_Middle_water_prison"                   "中阶水牢术"
"DOTA_Tooltip_modifier_Middle_water_prison_Description"       "无法行动" 
"DOTA_Tooltip_modifier_Advanced_water_prison"                   "高阶水牢术"
"DOTA_Tooltip_modifier_Advanced_water_prison_Description"       "无法行动" 


"DOTA_Tooltip_modifier_Middle_water_prison_debuff"                   "缓冲区"
"DOTA_Tooltip_modifier_Middle_water_prison_debuff_Description"       "减缓速度" 
"DOTA_Tooltip_modifier_Advanced_water_prison_debuff"                   "水牢术"





"DOTA_Tooltip_modifier_Slime_arua_effect"                   "受到保护"
"DOTA_Tooltip_modifier_Slime_arua_effect_Description"       "伤害将由史莱姆承担" 



"DOTA_Tooltip_modifier_Primary_bash_of_the_deep"                   "低阶深海重击"
"DOTA_Tooltip_modifier_Primary_bash_of_the_deep_Description"       "到达一定点数后可以触发重击" 

"DOTA_Tooltip_modifier_Primary_bash_of_the_deep_debuff"                   "低阶深海重击弱化"
"DOTA_Tooltip_modifier_Primary_bash_of_the_deep_debuff_Description"       "眩晕效果受到削弱" 


"DOTA_Tooltip_modifier_Middle_Boundless_Strike_effect"                   "定海"
"DOTA_Tooltip_modifier_Middle_Boundless_Strike_effect_Description"       "赋予攻击力与攻击距离提升" 
"DOTA_Tooltip_modifier_Advanced_Boundless_Strike_effect"                   "定海"
"DOTA_Tooltip_modifier_Advanced_Boundless_Strike_effect_Description"       "赋予攻击力与攻击距离提升" 

"DOTA_Tooltip_modifier_Advanced_Boundless_Strike_buff2"                   "战天"
"DOTA_Tooltip_modifier_Advanced_Boundless_Strike_buff2_Description"       "赋予范围攻击效果" 


"DOTA_Tooltip_modifier_Advanced_assassinate_effect"                   "等离子弹药"
"DOTA_Tooltip_modifier_Advanced_assassinate_effect_Description"       "就绪后可以发射等离子弹药" 








"DOTA_Tooltip_modifier_Primary_corrosive_haze"                   "低阶侵蚀雾霭"
"DOTA_Tooltip_modifier_Primary_corrosive_haze_Description"       "削弱护甲" 
"DOTA_Tooltip_modifier_Middle_corrosive_haze"                   "中阶侵蚀雾霭"
"DOTA_Tooltip_modifier_Middle_corrosive_haze_Description"       "削弱护甲" 
"DOTA_Tooltip_modifier_Advanced_corrosive_haze"                   "高阶侵蚀雾霭"
"DOTA_Tooltip_modifier_Advanced_corrosive_haze_Description"       "削弱护甲" 

"DOTA_Tooltip_modifier_Advanced_corrosive_haze_debuff"                   "心智侵蚀"
"DOTA_Tooltip_modifier_Advanced_corrosive_haze_debuff_Description"       "奖励基础攻击力" 

"DOTA_Tooltip_modifier_Advanced_invincible_army_buff"                   "天雷之域"
"DOTA_Tooltip_modifier_Advanced_invincible_army_buff_Description"       "赋予伤害提升" 

"DOTA_Tooltip_modifier_item_hd_phase_boots_2"                   "虚空鞋"
"DOTA_Tooltip_modifier_item_hd_phase_boots_2_Description"       "显示冷却时间" 


"DOTA_Tooltip_modifier_novice_player"                   "觉醒中"
"DOTA_Tooltip_modifier_novice_player_Description"       "新手玩家：<br>自身经验和黄金结算收益增加40%% [+]<br>本局经验和黄金结算收益增加15%% [+]<br>乱纪元自身不会掉落阶级卷轴<br><br>满足以下条件时脱离新手：<br>解锁阶级技能>=70个<br>左上角图鉴内升至15级的阶级技能>=15个" 




"DOTA_Tooltip_modifier_underlord_challenge_Atrophy_Aura_effect"                   "衰退"
"DOTA_Tooltip_modifier_underlord_challenge_Atrophy_Aura_effect_Description"       "削弱了基础攻击力" 


"DOTA_Tooltip_modifier_underlord_challenge_Pit_of_Malice_effect"                   "怨念深渊"
"DOTA_Tooltip_modifier_underlord_challenge_Pit_of_Malice_effect_Description"       "被缠绕，受到额外伤害，对孽主造成伤害减少" 

"DOTA_Tooltip_modifier_underlord_challenge_Firestorm_effect"                   "火焰风暴"
"DOTA_Tooltip_modifier_underlord_challenge_Firestorm_effect_Description"       "受到持续伤害" 

"DOTA_Tooltip_modifier_luna_challenge_Lunar_Blessing_effect"                   "月之祝福"
"DOTA_Tooltip_modifier_luna_challenge_Lunar_Blessing_effect_Description"       "赋予攻击力加成" 






"DOTA_Tooltip_modifier_Advanced_Stifling_Dagger_Unlock1_effect"                   "狂风暴雨"
"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_units_buff"                   "潘多拉魔盒"
"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_units_buff_Description"       "赋予属性全面提升" 

"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_have_father"                   "父亲的承诺"
"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_have_father_Description"       "已经拥有一名父亲" 
"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_father"                   "父子情深"
"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_father_Description"       "为一名英雄的父亲" 

"DOTA_Tooltip_modifier_Advanced_Lightning_Bolt_debuff"                   "电透"
"DOTA_Tooltip_modifier_Advanced_Lightning_Bolt_debuff_Description"       "受到更多的雷击伤害" 


"DOTA_Tooltip_modifier_unit_cooldownReduction"                   "冷却缩减"
"DOTA_Tooltip_modifier_unit_cooldownReduction_Description"       "减少%fMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%%冷却时间" 




"DOTA_Tooltip_modifier_Advanced_Static_Field_bound_fields_thinker"                   "高斯束缚场"
"DOTA_Tooltip_modifier_Advanced_Static_Field_bound_fields_thinker_Description"       "对周围敌人限制移动速度且造成持续伤害" 


"DOTA_Tooltip_modifier_Advanced_Anchor_Smash_Unlock1"                   "融合"
"DOTA_Tooltip_modifier_Advanced_Anchor_Smash_Unlock1_Description"       "赋予锚击的全部效果" 

"DOTA_Tooltip_modifier_Advanced_Soul_Link"                   "灵魂链接"
"DOTA_Tooltip_modifier_Advanced_Soul_Link_Description"       "赋予召唤增强" 

"DOTA_Tooltip_modifier_Advanced_Soul_Link_unlock3_buff"                   "灵魂变迁"
"DOTA_Tooltip_modifier_Advanced_Soul_Link_unlock3_buff_Description"       "赋予全属性提升" 


"DOTA_Tooltip_modifier_Advanced_Blood_Lust_unlock3"                   "嗜血印记"
"DOTA_Tooltip_modifier_Advanced_Blood_Lust_unlock3_Description"       "赋予战斗能力大幅度提升" 

