

"DOTA_Tooltip_ability_nil_skill_2"	"------AI技能-------"
"DOTA_Tooltip_ability_creeps_spell_Wave5_Description"	"<font color=\"#5bc0de\">·常态：状态抗性提升30%%。</font><br><font color=\"#337ab7\"><br></font><br><font color=\"#337ab7\">·第二阶段：低于60%%后开启。首先进入10秒石化状态，状态结束后进入第二形态。形态转变过程中会受到50%%的额外伤害，但累计10%%最大生命值伤害后会直接进入第二形态,被护盾抵消的伤害不计算。<br>变换完成后：<br>--完成形态转变的一瞬间产生爆炸，眩晕1000范围内所有敌人5秒，并造成其最大生命值50%%的纯粹伤害。<br>--状态抗性提升至50%%，不再拥有电场效果。<br>--技能激活：[静电连接]</font><br><font color=\"#f0ad4e\"><br></font><br><font color=\"#f0ad4e\">·第三阶段（仅困难难度及以上）：血量低于30%%时进行施法，持续10秒，在此期间无敌，并不断吸引所有敌方单位，吸引的速度为目标移动速度的80%%.<br>施法结束后：<br>--完成形态转变的一瞬间，自身周围300范围内的敌方单位会被眩晕10秒，并且受到伤害提升50%%，持续至回合结束。<br>--完成形态转变的一瞬间，自身周围700范围内每有一个敌方英雄单位，恢复自身5%%最大生命值，最少恢复10%%。<br>--状态抗性提升至80%%，同时攻击力提升40%%。<br>--激活技能：[感电]</font><font color=\"#d9534f\"><br><br>·地狱技能（仅不可能难度）：激活技能[幽雷之路]</font>"
"DOTA_Tooltip_ability_creeps_spell_Wave5_Lore"	"巴尔诺克平常都维持着原始的状态，只有面对强敌时，它才会解放原本的力量。"
"DOTA_Tooltip_ability_creeps_spell_Wave5_basic_damage"	"魔法伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Wave5_bonus_damage"	"物理伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Wave5_interval"	"间隔："
"DOTA_Tooltip_ability_creeps_spell_Wave5_radius"	"侦测范围："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Connection"	"静电连接"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Connection_Description"	"<font color=\"#d9534f\">仅进入第二阶段以后激活</font><br>选择一个目标释放法术，使其在一段时间内跟700范围的任意友军进行连接，双方减缓移速50%%，期间被连接的单位如果远离主目标600距离会被强制拉扯回来，拉扯速度自己的移动速度加上75（无法远离，但队友移动的话就可以远离了）。如果强行拉开超过800距离（利用技能等）连接会断开，主目标会受到物理伤害，次目标会受到魔法伤害，双方眩晕3秒。"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Connection_Lore"	"利用导电之力，可以轻松的将两个物质连接在一起。"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Connection_Note0"	"如果目标周围没有友军，会等待至出现符合条件的目标，直至持续时间结束。\n\n<font color=\"#f0ad4e\">额外的说明：<br>·会被林肯法球抵挡。</font><br><font color=\"#f0ad4e\">·倾向于对接近自己的敌人释放。</font><br><font color=\"#f0ad4e\">·被选中的次级目标如果死亡，状态提前结束。</font><br><font color=\"#f0ad4e\"><br></font>"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Connection_basic_damage"	"魔法伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Connection_bonus_damage"	"物理伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Connection_interval"	"间隔："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Connection_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_Fury_Strike_Note0"	"额外的说明："

"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Connection_damage"	"伤害攻击力倍数："

"DOTA_Tooltip_ability_creeps_spell_Prey_Note0"	"额外的说明："

"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Unstable"	"不稳定电流场"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Unstable_Description"	"被动提高魔法抗性，累计受到一定伤害后会发动电场。<br>电场：每受到最大生命值10%%的伤害后会进入3秒引导释放一个离子场，对触碰到的敌人造成自身攻击力*2的魔法伤害。<br>"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Unstable_Lore"	"作为雷肤兽之王巴尔诺克之子，雷尔诺克在幼年期就展现出了惊人的天赋。"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Unstable_Note0"	"每次触发会将累计的伤害值清空，因此如果能一次性造成大量伤害会比较有利。"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Unstable_bonus_magic_resistance"	"%魔法抗性加成："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Unstable_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_bonus_magic_resistance"	"%魔法抗性加成："

"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Unstable_chaotic"	"乱流：不稳定电流场"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Unstable_chaotic_Description"	"每受到最大生命值%health%%%的伤害后，在%delay%秒内原地持续引导，期间受到的伤害降低%incoming%%%。<br><br>引导结束后释放一个离子场对触碰到的敌人造成伤害，离子场存在时获得%move%点移动速度，如果电场未能攻击到敌人，则雷元素回复自身已损失生命值的%heal%%%。"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Unstable_chaotic_Lore"	"作为雷肤兽之王巴尔诺克之子，雷尔诺克在幼年期就展现出了惊人的天赋。"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Unstable_chaotic_radius"	"离子场范围："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Unstable_chaotic_damage"	"离子场伤害：攻击力 x"


"DOTA_Tooltip_ability_NothingHero"	"英雄技能-高阶"
"DOTA_Tooltip_ability_nil_skill_1"	"英雄技能-中阶"

"DOTA_Tooltip_ability_creeps_spell_Wave20"	"形态转变"
"DOTA_Tooltip_ability_creeps_spell_Wave20_Description"	"<font color=\"#5bc0de\">·常态：状态抗性提升30%%。</font><br><font color=\"#337ab7\"><br></font><br><font color=\"#337ab7\">·第二阶段：低于60%%后开启。召唤一群小精灵围绕自己，每秒恢复自身最大生命值1%%，30秒后进入第二形态（会被恢复削弱减少），或累计在该状态受到30%%最大生命值伤害时。<br>变换完成后：<br>--完成形态转变的一瞬间魅惑周围1000范围所有敌人，使其在本回合魔法抗性降低40%%。<br>--状态抗性提升至50%%。<br>--技能激活：[自然之助]</font><br><font color=\"#f0ad4e\"><br></font><br><font color=\"#f0ad4e\">·第三阶段（仅困难难度及以上）：血量低于30%%时进行施法，持续10秒，在此期间无敌，1000范围内所有敌人减速80%%，在领域里每待0.5秒本回合魔法抗性降低4%%.<br>施法结束后：<br>--完成形态转变的一瞬间，自身周围1000范围内每有一个敌方英雄自身获得3只永久小精灵，每只小精灵每秒恢复自身0.1%%最大生命值。<br>--完成形态转变的一瞬间，使自身1500范围内的敌人在本回合减速50%%，施法前摇提升200%%。<br>--状态抗性提升至80%%，攻击力提升40%%。<br>--激活技能：[跃动]</font><font color=\"#d9534f\"><br><br>·地狱技能（仅不可能难度）：激活技能[荆棘]</font>"
"DOTA_Tooltip_ability_creeps_spell_Wave20_Lore"	"当被大自然所爱的法尔纳受到威胁时，自然的精灵们会将力量汇聚到她身上。"
"DOTA_Tooltip_ability_creeps_spell_Inviolability"	"不可侵犯"
"DOTA_Tooltip_ability_creeps_spell_Inviolability_Description"	"抗拒敌人对自己的攻击，当敌人抬手攻击时会减少攻击速度,且每次会叠加2%%减速效果。\n【魔力抗拒】（需要第二阶段）：敌人的魔法伤害如果伤害到自己，那么在20秒内其施法前摇增加75%，可叠加。这个效果3秒内对同个单位只会施加一次效果。"
"DOTA_Tooltip_ability_creeps_spell_Inviolability_Lore"	"魅惑魔女的面貌甚于倾国倾城的貂蝉，任何看见她的人都会被那美貌所震慑住，即便是身经百战的人也如此。"
"DOTA_Tooltip_ability_creeps_spell_Inviolability_basic_damage"	"魔法伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Inviolability_bonus_damage"	"物理伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Inviolability_interval"	"间隔："
"DOTA_Tooltip_ability_creeps_spell_Inviolability_radius"	"侦测范围："
"DOTA_Tooltip_ability_creeps_spell_Nature_Attendants"	"自然之助"
"DOTA_Tooltip_ability_creeps_spell_Nature_Attendants_Description"	"<font color=\"#d9534f\">仅进入第二阶段后激活</font><br>召唤出自然的伙伴，从进攻野怪里随机拉出单位援助自己，单位皆为11回合至18回合的单位，不含特殊单位，单位数量与召唤的单位有关。"
"DOTA_Tooltip_ability_creeps_spell_Nature_Attendants_Lore"	"法尔纳深受自然的喜爱，有源源不断的人会帮助她。"
"DOTA_Tooltip_ability_creeps_spell_Nature_Attendants_basic_damage"	"魔法伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Nature_Attendants_bonus_damage"	"物理伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Nature_Attendants_interval"	"间隔："
"DOTA_Tooltip_ability_creeps_spell_Nature_Attendants_radius"	"侦测范围："
"DOTA_Tooltip_ability_creeps_spell_long_Range"	"远射"
"DOTA_Tooltip_ability_creeps_spell_long_Range_Description"	"每个远射光环为远程单位提供攻击距离加成。"
"DOTA_Tooltip_ability_creeps_spell_long_Range_Lore"	"每个军团中的一员都能为战友们提供士气。"
"DOTA_Tooltip_ability_creeps_spell_long_Range_bonus"	"射程加成："
"DOTA_Tooltip_ability_creeps_spell_long_Range_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Shield_Wall"	"盾墙"
"DOTA_Tooltip_ability_creeps_spell_Shield_Wall_Description"	"每个盾墙光环为所有单位提供伤害减免加成。"
"DOTA_Tooltip_ability_creeps_spell_Shield_Wall_Lore"	"每个军团中的一员都能为战友们提供士气。"
"DOTA_Tooltip_ability_creeps_spell_Shield_Wall_bonus"	"%伤害减免加成："
"DOTA_Tooltip_ability_creeps_spell_Shield_Wall_radius"	"作用范围："

"DOTA_Tooltip_ability_creeps_spell_Robbers"	"盗贼之手"
"DOTA_Tooltip_ability_creeps_spell_Robbers_Description"	"攻击会附带敌人当前金钱*0.03的额外伤害（最高为攻击力*3）。"
"DOTA_Tooltip_ability_creeps_spell_Robbers_Lore"	"奴隶主下的奴隶个个都是盗贼，它们会对有钱人重拳出击。"
"DOTA_Tooltip_ability_creeps_spell_Robbers_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Miser"	"守财"
"DOTA_Tooltip_ability_creeps_spell_Miser_Description"	"狗头人奴隶每次攻击增加1点能量点数，如果其额外伤害大于50则增加4点能量点数。使得狗头人奴隶主获得金钱的力量，攻击附带能量点数*2的伤害。"
"DOTA_Tooltip_ability_creeps_spell_Miser_Lore"	"狗头人奴隶主们都是十足的守财奴，敛财越多，其权力越大。"
"DOTA_Tooltip_ability_creeps_spell_Spur_On"	"鞭策"
"DOTA_Tooltip_ability_creeps_spell_Spur_On_Description"	"增加周围1500范围内友军的攻击速度。"
"DOTA_Tooltip_ability_creeps_spell_Spur_On_Lore"	"奴隶主的鞭子可以让奴隶们陷入痛苦，又把仇恨转移到他们的敌人上。"
"DOTA_Tooltip_ability_creeps_spell_Spur_On_bonus_attack"	"%攻速奖励："
"DOTA_Tooltip_ability_creeps_spell_Spur_On_bonus_move"	"%移速奖励："
"DOTA_Tooltip_ability_creeps_spell_Spur_On_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Overwhelm"	"人多势众"
"DOTA_Tooltip_ability_creeps_spell_Overwhelm_Description"	"攻击会附带10倍友军数量的额外伤害。"
"DOTA_Tooltip_ability_creeps_spell_Overwhelm_Lore"	"人多势众，压倒性围剿。"

"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Wake"	"静电护甲·弱"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Wake_Description"	"被动提高魔法抗性，可以释放一个离子场，对触碰到的敌人造成自身攻击力*1.5的魔法伤害。"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Wake_Lore"	"成年体的雷肤兽会将不稳定电流场转化为稳定的静电护甲。"
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Wake_bonus_magic_resistance"	"%魔法抗性加成："
"DOTA_Tooltip_ability_creeps_spell_Electrostatic_Armor_Wake_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_Wake"	"天雷·弱"
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_Wake_Description"	"每8秒检测周围范围内敌人，挑选一个距离自己最远的人对其位置引导雷电，在3秒后如果目标还在目标位置200范围内会降下天雷，受到魔法伤害，如果范围内的人数超过2人，目标还将额外受到物理伤害（主影响主目标）"
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_Wake_Lore"	"雷肤兽的皮肤可以隔绝电，也可以引导电，它们擅长于将落雷引导给他们的敌人。"
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_Wake_Note0"	"该技能是内置的冷却，不受冷却缩减影响。"
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_Wake_basic_damage"	"魔法伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_Wake_bonus_damage"	"物理伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Thunderstrike_Wake_radius"	"侦测范围："

"DOTA_Tooltip_ability_creeps_spell_Tether"	"羁绊"
"DOTA_Tooltip_ability_creeps_spell_Tether_Description"	"链接一个友军，友军每秒失去（50+持续时间*10）的生命，但所有玩家会获得（8+持续时间*2）的金币奖励，艾欧第一次施放此技能后经过60秒会消失。\n\n艾欧会检测距离自己500范围的英雄单位，羁绊在到达600距离自动断开。"
"DOTA_Tooltip_ability_creeps_spell_Tether_Lore"	"小精灵每天都在为队友疗伤，这使他用掉了许多精力，最近治疗效果越来越差而被队员们抱怨：“你那点治疗还不如我自己贴个大药膏“。所以他需要恢复自己的精力。"
"DOTA_Tooltip_ability_creeps_spell_Tether_incoming"	"%伤害减少："
"DOTA_Tooltip_ability_creeps_spell_Tether_move_slow"	"%移速减缓："
"DOTA_Tooltip_ability_creeps_spell_Tether_attack_slow"	"攻速减缓："
"DOTA_Tooltip_ability_creeps_spell_Tether_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Tether_duration"	"持续时间："

"DOTA_Tooltip_ability_creeps_spell_Swift"	"黑夜优势·极速"
"DOTA_Tooltip_ability_creeps_spell_Swift_Description"	"在黑夜中攻速会提升250，否则降低30。"
"DOTA_Tooltip_ability_creeps_spell_Swift_Lore"	"丛林的刺客们在黑夜中隐藏自己的身姿，利用自己对黑夜的熟巧迅速对敌人发动攻击"
"DOTA_Tooltip_ability_creeps_spell_Swift_basic_damage"	"魔法伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Swift_bonus_damage"	"物理伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Swift_radius"	"侦测范围："
"DOTA_Tooltip_ability_creeps_spell_Strike"	"黑夜优势·强击"
"DOTA_Tooltip_ability_creeps_spell_Strike_Description"	"在黑夜中攻击会提高200%%，否则降低20%%。"
"DOTA_Tooltip_ability_creeps_spell_Strike_Lore"	"丛林的刺客们在黑夜中隐藏自己的身姿，利用自己对黑夜的熟巧在敌人脆弱之时发动致命一击。"
"DOTA_Tooltip_ability_creeps_spell_Tether_Note0"	"每0.5秒计算一次。"
"DOTA_Tooltip_ability_creeps_spell_Moon_Glaives"	"月刃"
"DOTA_Tooltip_ability_creeps_spell_Moon_Glaives_Description"	"攻击可以弹射三次，且每次弹射可以增幅伤害。黑夜状态下里增幅效果为20%%，否则增幅效果为-10%%。"
"DOTA_Tooltip_ability_creeps_spell_Moon_Glaives_Lore"	"暗夜骑士们的回旋镖是她们在战场上杀敌的利器。"
"DOTA_Tooltip_ability_creeps_spell_Luna_Arrow"	"月神箭"
"DOTA_Tooltip_ability_creeps_spell_Luna_Arrow_Description"	"射出一道月神箭，对命中的目标造成伤害与眩晕。在黑夜里命中后会额外降下一道月光，在白天则不会造成眩晕。"
"DOTA_Tooltip_ability_creeps_spell_Luna_Arrow_Lore"	"月光骑士们擅长引导月光之力射出带有魔力的箭矢。"

"DOTA_Tooltip_ability_creeps_spell_Luna_Arrow_damage"	"基础伤害：攻击力*"
"DOTA_Tooltip_ability_creeps_spell_Luna_Arrow_bonus_damage"	"月光伤害：攻击力*"
"DOTA_Tooltip_ability_creeps_spell_Luna_Arrow_duration"	"眩晕时间："



