"DOTA_Tooltip_ability_Advanced_laser_note_lv5"				"【折射+】折射次数加一"
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv25_1"				"【灵魂捕猎】光环下的召唤物死亡时将记录其属性，召唤出具有两倍属性的无敌体，无法操控，没有原技能附带的特殊能力，只能持续10秒，受到光环拥有者拥有的召唤被动技能影响，受到召唤增强但不受召唤时间增强影响，每秒只能触发一次"
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv25_2"				"【悲鸣绝唱】在光环下的友军英雄击杀敌人时将散发敌人的悲鸣，提升光环的能力，在120秒内光环下的友军英雄都将提升5点全属性，但最多到达100,受到光环持有者正面状态增强影响"
"DOTA_Tooltip_ability_Advanced_Vengeance_Aura_note_lv25_3"				"【绝死之声】死亡后打开冥界的通道，将死亡的气息散发到世界，只要自身仍然处于死亡状态，那么周围2000范围的敌人将额外受到100%%的伤害"




"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv5"				"【攻击伤害无效化+】最大值提升至15%%"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv10"			"【回到过去+】将返还全部生命"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv15"			"【性能扩展】抵挡效果提升20%%，同时只要伤害类型为物理伤害即可生效"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv20"			"【反冲】抵挡伤害值的30%%将返还给敌人（视为反甲伤害）"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_base_Info"      "基础抵挡：+6/级<br/>护甲乘数：+0.2/级<br/>"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv25_1"				"【咏唱省略】转变为永久生效的被动技能,每10秒刷新一次"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv25_2"				"【不可破之域】技能不再附着于自身，而变为一个立场，立场内所有友军都可以获得技能的加成，且对于领域外的敌人的伤害将获得3倍抵挡效果。'攻击力无效化'效果将固定在7.5%%"
"DOTA_Tooltip_ability_Advanced_Body_of_Effulgent_Beryl_note_lv25_3"				"【致命之绿】'反冲'效果提升至150%%，同时将对目标周围300范围内所有敌人造成伤害"






"DOTA_Tooltip_ability_Advanced_Chaotic_Offering_note_lv5"				"【统御：烈焰爆发+】烈焰爆发会立刻刷新地狱火的“混沌火焰风暴”"
"DOTA_Tooltip_ability_Advanced_Chaotic_Offering_note_lv10"			"【统御：毁灭献祭】烈焰爆发会在5秒内使地狱火的“混沌献祭”的伤害增加60%%"
"DOTA_Tooltip_ability_Advanced_Chaotic_Offering_note_lv15"			"【统御：混乱之雨】每7次“急行”会在自身周围召唤一体地狱火，但持续时间和属性仅有40%%"
"DOTA_Tooltip_ability_Advanced_Chaotic_Offering_note_lv20"			"【统御：远古链接】地狱火被动进入魔法免疫状态，烈焰爆发会对召唤者和地狱火施加一次强驱散"
"DOTA_Tooltip_ability_Advanced_Chaotic_Offering_note_base_Info"      "攻击力继承：+2%%/级<br/>生命值继承：+2.5%%/级<br/>护甲继承：+2.5%%/级<br/>烈焰爆发地狱火全额攻击力：+0.04/级<br/>"
//"DOTA_Tooltip_ability_Advanced_Chaotic_Offering_note_lv25_1"				"【合体·愤怒魔将】'特化'将不再起作用，强制触发'合体'，产生一只愤怒魔将，攻击力继承增加一倍，愤怒魔将拥有【陨石天降】技能"
"DOTA_Tooltip_ability_Advanced_Chaotic_Offering_note_lv25_2"				"【混沌之雨】产生3只地狱火，产生区域将变为500距离随机分布"
"DOTA_Tooltip_ability_Advanced_Chaotic_Offering_note_lv25_3"				"【共体】自身将化身为地狱火，产生的地狱火将附着在自己身上，自身将获得地狱火三项属性的40%%，持续时间等同于召唤时间(护甲加成不会显示在面板)"



"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv5"				"【蜕变·一+】后续伤害增加提升至6%%"
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv10"			"【蜕变·二+】次级火焰影响范围与飞行距离增加50%%"
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv15"			"【炙风】风压将使被命中的单位跟随火焰拖拽500距离，期间处于眩晕状态"
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv20"			"【持久力】基础施法距离提升400，受到2倍施法距离奖励影响"
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_base_Info"      "基础伤害:+15/级<br/>伤害智力乘数：+0.1/级<br/>"
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv25_1"				"【红魔女的奥秘】连续使用该技能可以提升技能的伤害，每次提高20%%，最多到达1000%%，释放其他技能后会失去加成效果，道具不会产生影响"
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv25_2"				"【不灭之火】主火焰的移动速度减缓90%%，同时次级火焰只会像前方移动，产生所需移动距离减少70%%"
"DOTA_Tooltip_ability_Advanced_dragon_slave_note_lv25_3"				"【焦土】释放技能将会将自己脚下的土地化为焦土，每3秒对500范围内敌人造成一次技能伤害，焦土的持续时间为永久，但最多只能同时存在八个。"



"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv5"				"【龙胆+】需求范围减少至400，伤害提升不再限于攻击"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv10"			"【绝境+】需求生命值增加至30%%，全属性提升增加至70"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv15"			"【霹雳一闪】攻击将延伸至目标身后的600码（内置冷却1秒）"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv20"			"【霹雳一闪+】冷却时间减少至0.5秒"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_base_Info"      "攻击速度加成：+1%%/级<br/>移动速度加成：+1%%/级<br/>"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv25_1"				"【境界突破】'龙胆'与'绝境'效果不再拥有限制,前者加成提升至50%%，后者加成加倍"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv25_2"				"【永恒】转变为被动技能，技能被动效果常驻化"
"DOTA_Tooltip_ability_Advanced_unrivaled_note_lv25_3"				"【奥尼克斯的降世之枪】'霹雳一闪'转变为360°的横扫，且冷却时间降低至0.2秒"


"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv5"				"【连锁龙雷+】次级目标加一"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv10"			"【魔力穿透+】魔法抗性削减效果提升35%%(包括最大值)"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv15"			"【闪电碎裂】由每50码增加一道闪电变更为每35码"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv20"			"【充能】每道闪电都将电击自己，使本技能的冷却时间减少当前冷却时间的1%%"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_base_Info"      "基础伤害：+30/级<br/>伤害智力乘数：+0.3/级<br/>每50码额外伤害智力乘数：+0.01/级<br/>"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv25_1"				"【巴尔的降世之雷】闪电不再以自己为起点，而是从高空落下，高度为100*x的平方根, x=智力，如果少于本身的施法距离则取基本值，受到施法距离加成影响，同时次级闪电的最多数量提升至200，降下的雷霆将分出8道分叉"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv25_2"				"【雷霆之枪】技能冷却减少50%%，同时小型闪电伤害增加100%%且将连锁到目标周围500范围的随机三个单位身上"
"DOTA_Tooltip_ability_Advanced_Dragons_Lighting_note_lv25_3"				"【万雷天阵】'闪电碎裂'可以被动生成,'充能'效果提升一倍，在周围生成闪电风暴，每2秒电击2000范围内至多10名敌人，该效果造成的伤害为自身魔法的40%%"


"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv5"				"【神灭直斩+】伤害提高至50%%"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv10"			"【魂匣+】最大伤害提升至智力*17"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv15"			"【七星七连】神灭斩将弹射七次(700码)"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv20"			"【灭神一击】对单个敌人时伤害提高50%%（七星七连都不触发时）"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_base_Info"      "基础伤害：+60/级<br/>伤害智力乘数：+0.5/级<br/>"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv25_1"				"【原子击碎】超强的能量将目标灰飞烟灭，受到影响的单位在受到伤害前如果生命值低于伤害量的两倍则造成即死（这个值仅受到技能伤害影响）"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv25_2"				"【万物之能】'魂匣'加成默认最大化，释放时将吸收周围友军的能量，使神灭斩伤害增加(英雄攻击力之和+至多10名召唤单位的攻击力之和)的伤害"
"DOTA_Tooltip_ability_Advanced_laguna_blade_note_lv25_3"				"【灵魂核心】失去除了'魂匣'之外的效果，转变为被动技能，生成三个能量核心围绕自身移动，能量核心将搜寻自身1000范围内的敌人，对其施加一次神灭斩伤害，然后进入10秒冷却（彼此独立受到冷却缩减影响）"

"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv5"				"【无尽折磨+】魔法消耗增加的效果减少至0.6%%/层"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv10"			"【能量吸收】增加的这部分智力的50%%不再纳入消耗魔法计算范围内"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv15"			"【延展】每层【无尽折磨】提高5点作用范围，但最高1000"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv20"			"【虚无】每次有25%%不需要消耗魔法"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_base_Info"      "基础伤害：+4/级<br/>伤害智力乘数：+0.04/级<br/>"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv25_1"				"【灵体脉冲】 受到脉冲伤害的敌人有10%%几率强制其进入虚无状态，无法攻击，也无法受到物理伤害，但魔法抗性减少100%%，持续3秒，同一名敌人拥有5秒内置冷却。"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv25_2"				"【万灭】将汇聚区域内敌人数量*伤害值的200%%的伤害，随后对单名敌人造成伤害并消耗等同于其当前生命值的累计值。"
"DOTA_Tooltip_ability_Advanced_pulse_nova_note_lv25_3"				"【时空的密使】'能量吸收'的智力上限提升至1000，但超过200的奖励值不被减免"


"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv5"				"【充能打击+】没有其他敌人时可以进行重复打击，但只造成30%%伤害"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv10"			"【能量吸收】持续时间提升至45秒"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv15"			"【极致】减速效果提升至999%%"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv20"			"【元素狂乱】打击重复敌人时不再降低伤害，同时每次闪电都会提升7%% 伤害（最多400%%），弹跳后都有40%% 概率不减少弹跳次数（每次触发都会增加少量概率），最大概率90%%"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_base_Info"      "基础伤害：+10/级<br/>伤害智力乘数：+0.08/级<br/>"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv25_1"				"【魔力充能】可以开启自动施法，当没有弹跳次数时可以消耗100点魔法使其再次弹跳(最多35次)，这个效果可以随时关闭，伤害增幅最高提升至40倍，最大概率95%%"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv25_2"				"【熵增】每当自身造成技能伤害时（此技能除外），只要伤害大于50便可以对其附加一次单体的闪电风暴，同一个目标3秒内最多触发一次"
"DOTA_Tooltip_ability_Advanced_lightning_storm_note_lv25_3"				"【环球风暴】转变为被动技能，每移动500距离可以对周围1000范围随机一个敌人释放技能，但每2.5秒最多触发一次"

"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv5"				"【转换+】提升至3%%最大生命值恢复效果"
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv10"			"【延续】持续时间提升至12秒"
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv15"			"【庇护】额外提供35%%魔法抗性"
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv20"			"【吸收】每秒放出的冰霜每影响到一个单位，将恢复状态拥有者10点魔法"
"DOTA_Tooltip_ability_Advanced_frost_armor_note_base_Info"      "物理攻击伤害减低：+0.7%%/级<br/>基础伤害：+4/级<br/>智力乘数：+0.02/级<br/>"
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv25_1"				"【金刚石库利南】状态持续期间增加500点防御，同时状态结束时将对周围600范围的敌人造成受到的物理伤害的200%%的魔法伤害"
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv25_2"				"【大缓速】在状态持续期间，每当敌人攻击目标时有10%%几率使攻击速度下降1000，持续2秒"
"DOTA_Tooltip_ability_Advanced_frost_armor_note_lv25_3"				"【连霜】转变为被动技能，每2秒自动对1500范围内随机一个友军施加技能效果，优先英雄"


"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv5"				"【精准一击+】触发几率提升至45%%"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv10"			"【银影天仇+】基础触发几率提升至14%%，对于奖励攻击触发几率下降60%%"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv15"			"【坚冰之心】触发额外伤害时，有20%%几率使这次攻击成为两次攻击成立。(额外的成立可以再次触发本效果)"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv20"			"【癫魔之境】提升当前英雄等级*2的敏捷"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_base_Info"      "精准一击：+10/级<br/>"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv25_1"				"【狂人境界】攻击同一名敌人时，每次攻击将提高2%%的攻击伤害，最多到达500%%"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv25_2"				"【风之追忆】'银影天仇'增加被动效果，每秒发出5只箭矢，只要最后攻击的目标还存活就会一直生效，同时继承全额攻击力百分比提升至70%%。"
"DOTA_Tooltip_ability_Advanced_marksmanship_note_lv25_3"				"【精灵王的传承】当距离目标500距离以上时，必定触发精准一击"




"DOTA_Tooltip_ability_Advanced_split_earth_note_lv5"				"【颤魂+】持续时间提升至180秒"
"DOTA_Tooltip_ability_Advanced_split_earth_note_lv10"			"【多段+】触发多段时仅判定1次：50%% 的概率震动次数+1"
"DOTA_Tooltip_ability_Advanced_split_earth_note_lv15"			"【永续魔法】震动将额外发生1次，且每次额外震动有75%% 独立几率再次重复，以此触发的重复次数不会超过5次。最大概率90%%"
"DOTA_Tooltip_ability_Advanced_split_earth_note_lv20"			"【共鸣】造成伤害时，如果英雄有高阶闪电风暴，则对目标释放一次单体的闪电风暴,但最多对20个单位触发"
"DOTA_Tooltip_ability_Advanced_split_earth_note_base_Info"      "基础伤害：+25/级<br/>"
// "DOTA_Tooltip_ability_Advanced_split_earth_note_lv25_1"				"【世界崩塌】技能效果可以改变坐标位置，如果被释放时区域内没有任何敌人，则会移动到1500范围内任意一个敌人的坐标上，同时'永续魔法'的效果升级为85%%独立概率，最大概率93%%，最少触发15次，且没有上限"
"DOTA_Tooltip_ability_Advanced_split_earth_note_lv25_2"				"【肉体塌陷】直接击杀生命值低于10%%的敌人"
"DOTA_Tooltip_ability_Advanced_split_earth_note_lv25_3"				"【灵魂毁灭】'颤魂'效果提升至每层5%%，同时变为永久效果(但最多100层)"
"DOTA_Tooltip_ability_Advanced_split_earth_Note0"               "额外说明：受概率加成影响，在施法时计算，乘法叠加，触发次数平均值为1/【1-x】"            

"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv5"				"【奥数掌握+】消耗减少效果提升至30%%"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv10"			"【魔精转换+】转换效果提升至3.3%%"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv15"			"【集中】额外提供15%%技能伤害(对自身为1.5倍)"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv20"			"【能量共通】光环拥有者可以发出一个小型光环，对500范围内的友军提供10%%技能伤害（不被增幅）"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_base_Info"      "魔法恢复加成：+0.8/级<br/>"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv25_1"				"【隆冬之种】在光环下的友军释放法术时可以在光环拥有者身上累计寒气，数值等同于技能的冷却时间。当寒气值到达100时将进行释放，冰封周围1000范围内所有敌人5秒（被状态抗性与负面状态增强影响，但最少也有0.5秒持续时间），被冰封的敌人额外受到100%%的魔法伤害。有5秒冷却时间，冷却时不累计寒气。"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv25_2"				"【咏唱的极致】光环下的友军将不再有施法前摇"
"DOTA_Tooltip_ability_Advanced_Arcane_Aura_note_lv25_3"				"【奥术觉醒】光环下的友军的技能伤害有15%%几率造成三倍伤害，如果未触发，则有20%%造成两倍伤害"



"DOTA_Tooltip_ability_Advanced_overpower_note_lv5"				"【怒气增幅+】变更为每1.4秒增加一次"
"DOTA_Tooltip_ability_Advanced_overpower_note_lv10"			"【怒气外溢+】触发几率提升至35%%"
"DOTA_Tooltip_ability_Advanced_overpower_note_lv15"			"【狂躁】每层状态将增加10点攻击伤害"
"DOTA_Tooltip_ability_Advanced_overpower_note_lv20"			"【持久力】技能冷却时状态每秒将增加0.2秒"
"DOTA_Tooltip_ability_Advanced_overpower_note_base_Info"      "攻击速度：+20/级<br/>攻击次数：+0.5/级<br/>持续时间：+0.5秒/级<br/>"
"DOTA_Tooltip_ability_Advanced_overpower_note_lv25_1"				"【过载化】攻击次数翻倍，同时将会使攻击速度提升至极限"
"DOTA_Tooltip_ability_Advanced_overpower_note_lv25_2"				"【远古之力】每次释放技能时候将获取周围1000范围友方英雄与至多10名友方召唤物的攻击力，将其总和的40%%储存起来，在状态持续期间将附着前八次释放时储存的攻击值的平均值的攻击伤害。初始皆为0"
"DOTA_Tooltip_ability_Advanced_overpower_note_lv25_3"				"【常驻化】技能变为永久持续时间，能量点数消耗完也不会移除状态，同时每秒的叠加速度提升两倍，但'狂躁'的最大有效层数限制为500"



"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv5"				"【千钧一击+】攻击力加成增加100点"
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv10"			"【癫狂+】触发几率提升至7%%，每次触发增加的冷却时间减少至1秒"
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv15"			"【潮汐】技能冷却速度从从-30%%-200%%钟摆式变化"
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv20"			"【碎甲】降低受到影响单位1.5护甲，独立计算时间持续15秒(不被状态抗性与负面状态增强影响，不可驱散)"
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_base_Info"      "攻击加成:+6/级<br/>力量乘数:+0.1/级"
"DOTA_Tooltip_ability_Advanced_Anchor_Smash_note_lv25_1"				"【嵌入化】将技能与英雄融合，不再具有'潮汐'效果，但不再占用技能槽，成为常驻状态，攻击有10%%几率触发技能效果，然后增加1秒冷却时间，冷却时间大于10秒时不触发(将记录解锁时的技能数据，融合后可以继续学习锚击，但再次解锁本奥义无效')"
