"npc_monster_wave_1_2"	"近战爪牙"
"npc_hd_fire_dragon"	"火焰之父·斯莱瑞克"
"npc_hd_lina"	"火之本源·莉娜"
"npc_monster_harpy"	"鹰身女妖"
"npc_monster_Medium_water_element"	"中级水元素"
"npc_monster_Advanced_lackeys"	"高阶近战爪牙"
"npc_dota_creature_ogre_tank"	"食人魔棒槌手"
"npc_monster_little_greevil"	"小贪魔"
"npc_monster_mega_greevil"	"地狱贪魔"
"npc_monster_darkreef_prisoner_crab"	"暗黑之礁的深海蟹"
"npc_dota_creature_troll"	"山洞巨魔"
"npc_dota_creature_cyclops"	"独眼巨人"
"npc_monster_warewolf"	"血夜狼人"
"npc_monster_big_crab"	"暗黑之礁的深海蟹成体"
"npc_hd_Claszian_Apostasy_phantom"	"超维逆族的幻影"
"npc_hd_Claszian_Apostasy"	"超维逆族本尊"
"npc_monster_king_crab"	"暗黑之礁的深海蟹王"

"npc_hd_Supreme_Nevermore"  "奈文摩尔，阴影与灵魂之王"




"npc_monster_middle_fire_element"	"中级火元素"
"npc_monster_middle_earth_element"	"中级土元素"
"npc_monster_middle_earth_element_statue" "土相"




// 苦难boss
"npc_hd_white_dragon"	"天空巨龙埃斯瑞克"
"npc_monster_challenge_001"	"奈文摩尔的化身"
"npc_monster_challenge_002"	"斯拉克之影"
"npc_monster_challenge_003"	"谜团的碎片"
"npc_monster_challenge_004"	"狼王之心"
"npc_monster_challenge_005"	"冰霜巨人"
"npc_monster_challenge_006"	"深渊领主"
"npc_monster_challenge_007"	"暗月骑士军团长"
"npc_monster_challenge_008"	"闪电幽魂"
"npc_monster_challenge_009"  "Somnus丶M的化身"
"npc_Portal2"	"传送门"
"npc_Portal"	"传送门"

"npc_fallenSky_unit"	"天罚"









// 召唤物

"npc_eidolon"	"虚灵体"
"npc_eidolon_hype"	"诞生于虚空之中，不断汲取太初之能。"
"npc_eidolon_2"	"虚灵体2"
"npc_eidolon_2_hype"	"诞生于虚空之中，不断汲取太初之能。"
"npc_eidolon_3"	"虚灵体3"
"npc_eidolon_3_hype"	"诞生于虚空之中，不断汲取太初之能。"
"npc_hd_healing_ward"	"意志图腾"
"npc_hd_earth_element"	"土元素"
"npc_hd_jack_the_ripper"	"开膛手杰克"
"npc_hd_aghanim"	"大聪明阿哈利姆"
"npc_hd_Slime"	"史莱姆"
"npc_nether_ward"	"幽冥守卫"
"npc_hd_water_element"	"水元素"
"npc_hd_Dave_Chisnall"	"克里斯纳尔"
"npc_Advanced_Plague_Ward"	"剧毒守卫"
"npc_Advanced_Plague_Ward_2"	"剧毒守卫（次）"
"npc_hd_skeleton_archer"	"死灵射手"
"npc_hd_skeleton_archer_warrior"	"死灵战士"
"npc_hd_balnock"	"巴尔诺克之魂"
"npc_hd_blood_wolf"	"血狼"
"npc_dota_wisp_spirit"	"幽魂"
"npc_hd_normal_wolf"	"狼"
"npc_hd_Golem"	"地狱火"
"npc_hd_elder_little_dragon"	"dragon"
"npc_hd_double"	"仿身泪腺"
"npc_hd_mars_spear"	"斯巴达战士"
"npc_forge_spirit" "熔炉精灵"
"npc_hd_shadowshaman_totem"	"毒蛇守卫"
"npc_hd_sk_double"	"不死者之王"
"npc_hd_water_element_advanced"	"上级水元素"
"npc_hd_Beast_King_Guard"	"野猪护卫"
"npc_hd_red_wolf"	"猩红之狼"
"npc_hd_wild_bear"	"丛林霸主"
"npc_hd_cadaver_collector"	"尸体收藏者"
"npc_hd_undead_archmage"  "死者大法师"
"npc_hd_lightning_sphere_element"  "闪电元素球"
"npc_hd_advanced_lightning_sphere_element"  "根源闪电元素球"
"npc_hd_verdant_predator"  "青翠天敌"
"npc_hd_chaotic_executive"  "混乱执行官"
"npc_hd_astral_earth_element"  "星辰土元素"
"npc_hd_fanged_seeker"  "尖牙追寻者"
"npc_hd_healing_guard"  "冰心之伊尔"
"npc_hd_spirit_of_miyamoto"  "伏龙岛之剑"



"npc_hd_chaos_unit"	"小型混沌怪"
"npc_hd_little_zombie"	"小型僵尸"
"npc_hd_phantom_man"	"女装幻影刺客"

"npc_hd_dawn_breaker_man"	"男装破晓晨星"
"npc_hd_spider"	"小型蜘蛛"

"npc_hd_embodiment_of_the_terror_blade"  "化身·恐怖利刃"


"npc_hd_dark_rift"  "恶魔之扉"
"npc_hd_small_demon_1"  "小恶魔"
"npc_hd_super_mecha"  "殁世机甲"
"npc_hd_cave_troll"  "山洞巨魔"
"npc_hd_wind_element" "风元素"
"npc_hd_immortal_sarcophagus" "不朽石棺"
"npc_hd_the_wings_of_oberis" "欧贝里斯之翼"
"npc_hd_Golem_5"    "混沌地狱火"
"npc_act1_gold" "噬魔之王的看门人"
