"DOTA_Tooltip_modifier_hd_cleave_damage"                   "Cleave damage"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Aethrak_effect"                   "Advanced Aethrak’s soul"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Aethrak_effect_Description"       "Grants bonus attack speed and bonus movement speed." 




"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark_buff"                   "Essence Shift"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark_buff_Description"       "Grants bonus agility" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_skywrath_mage_buff"                   "Insight"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_skywrath_mage_buff_Description"       "Grants bonus intelligence and bonus armor." 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_tidehunter_effect"                   "Ravage"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_tidehunter_effect_Description"       "Grants status resistance, magic resistance, bonus strength." 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_effect_move"                   "balance"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_effect_move_Description"       "Grant bonus attack damage" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_effect_notMove"                   "balance"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_effect_notMove_Description"       "Grant bonus movement speed" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_earthshaker_buff"                   "echo"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_earthshaker_buff_Description"       "Grant bonus strength" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_storm_spirit_debuff"                   "Overload"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_storm_spirit_debuff_Description"       "Slowdown attack speed and movement speed." 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lina_buff"                   "Fiery Soul"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lina_buff_Description"       "Grants bonus attack speed and cast speed" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_gyrocopter"                   "side machine gun"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_gyrocopter_Description"       "Grant additional attack effect" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_legion_commander_effect"                   "duel"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_legion_commander_effect_Description"       "Grant bonus attack damage" 




"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_doom_bringer"                   "Lord"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_doom_bringer_Description"       "Grant bonus attack damage, increase defense and magic resistance." 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pudge"                   "Flesh Heap"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pudge_Description"       "Grant bonus strength" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_ember_spirit"                   "Afterglow"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_ember_spirit_Description"       "Grants immunity to death" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_void_spirit"                   "Shield of void"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_void_spirit_Description"       "Grant damage immunity." 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_snapfire_buff"                   "Lil' Shredder"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_snapfire_buff_Description"       "Grants ignoring armor and bonus attack speed." 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_dawnbreaker_buff"                   "Soul of Star"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_dawnbreaker_buff_Description"       "Grant bonus all attribute" 



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_marci_effect"                   "Sidekick "
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_marci_effect_Description"       "Grants the ability to restore health to allies " 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_elder_titan_effect"                   "Natural Order"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_elder_titan_effect_Description"       "Reduce armor and magic resistance" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_clinkz_damage"                   "Death Pact"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_clinkz_damage_Description"       "Grants bonus attack power." 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_clinkz_health"                   "Death Pact"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_clinkz_health_Description"       "Grant bonus health" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_drow_ranger_effect"                   "Precision Aura"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_drow_ranger_effect_Description"       "Gives bonus agility" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_active"                   "Eye of the Storm"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_active_Description"       "Reduce armor" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_venomancer_active"                   "toxins"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_venomancer_active_Description"       "Reduce status resistance" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_templar_assassin_effect"                   "Refraction"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_templar_assassin_effect_Description"       "Grant damage immunity" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_vengefulspirit_effect"                   "Vengeance"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_vengefulspirit_effect_Description"       "increase incoming damage to this unit" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_arua_debuff"                   "Song of the Siren"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_arua_debuff_Description"       "Grant health regeneration, but it cannot move." 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_arua"                   "Song of the Siren"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_arua_Description"       "Channelling" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_troll_warlord"                   "Fervor "
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_troll_warlord_Description"       "Grant bonus attack speed" 




"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_nevermore_effect"                   "Presence of the Dark Lord"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_nevermore_effect_Description"       "Reduce armor" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_hoodwink"                   "Acorn Shot"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_hoodwink_Description"       "Grant bonus damage" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_ursa_debuff"                   "Fury Swipes"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_ursa_debuff_Description"       "Ursa deals additional damage through its attacks." 




"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_medusa_effect"                   "Stone Gaze"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_medusa_effect_Description"       "This unit could be petrified at any time." 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_medusa_stone"                   "Stone Gaze "
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_medusa_stone_Description"       "take extra physical damage." 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_medusa_delay"                   "Interval of Stone Gaze"



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_puck_effect"                   "Half step evolution"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_puck_effect_Description"       "Grant  bonus spell damage" 



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pugna"                   "Annihilation"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pugna_Description"       "Grant increase in spell" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_disruptor_effect"                   "Thunder Strike"


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_leshrac_effect"                   "nihility"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_leshrac_effect_Description"       "Reduce magic resistance " 



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_necrolyte_effect"                   "Domain of Death"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_necrolyte_effect_Description"       "Reduce healing enhancements" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet"                   "death overdraft"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet_Description"       "Grant bonus spell damage" 



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_shadow_shaman_debuff"                   "Hex"



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_visage"                   "Gravekeeper's Cloak"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_visage_Description"       "Grant damage immunity" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lion_effect"                   "Mana Drain"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lion_effect_Description"       "Lion is absorbing magical energies" 



"DOTA_Tooltip_modifier_Advanced_summons_undead_jack_the_ripper_buff"                   "bloodthirsty"
"DOTA_Tooltip_modifier_Advanced_summons_undead_jack_the_ripper_buff_Description"       "Grant bonus attack damage." 

"DOTA_Tooltip_modifier_Advanced_summons_undead_jack_the_ripper_debuff"                   "Gaping Wound "
"DOTA_Tooltip_modifier_Advanced_summons_undead_jack_the_ripper_debuff_Description"       "enemies have Lifesteal effect when attack this unit" 





"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Vahdrak_effect"                   "Force of Chaos"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Vahdrak_effect_Description"       "Grants bonus attack damage" 
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Vahdrak_effect"                   "Force of Chaos"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Vahdrak_effect_Description"       "Grants bonus attack damage" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Vahdrak_effect"                   "Force of Chaos"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Vahdrak_effect_Description"       "Grants bonus attack damage" 



"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Uldorak_effect"                   "Force of earth"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Uldorak_effect_Description"       "Grants bonus armor" 

"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Uldorak_effect"                   "Force of earth"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Uldorak_effect_Description"       "Grants bonus armor" 


"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Uldorak_effect"                   "Force of earth"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Uldorak_effect_Description"       "Grants bonus armor" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Uldorak_buff"                   "time lock"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Uldorak_buff_Description"       "Selfs from multi dimensions are affecting each other." 



"DOTA_Tooltip_modifier_Primary_summons_ward_Aghanim_the_Wisest_buff_effect"                   "Power of wise Aghanim"
"DOTA_Tooltip_modifier_Primary_summons_ward_Aghanim_the_Wisest_buff_effect_Description"       "Grant bonus spell damage" 

"DOTA_Tooltip_modifier_Middle_summons_ward_Aghanim_the_Wisest_buff_effect"                   "Power of wise Aghanim"
"DOTA_Tooltip_modifier_Middle_summons_ward_Aghanim_the_Wisest_buff_effect_Description"       "Grant bonus spell damage" 


"DOTA_Tooltip_modifier_Advanced_summons_ward_Aghanim_the_Wisest_buff_effect"                   "Power of wise Aghanim"
"DOTA_Tooltip_modifier_Advanced_summons_ward_Aghanim_the_Wisest_buff_effect_Description"       "Grant bonus spell damage" 


"DOTA_Tooltip_modifier_Advanced_Rot_slow"                   "Advanced Rotten"
"DOTA_Tooltip_modifier_Advanced_Rot_slow_Description"       "Take continuous damage and explode on death" 



"DOTA_Tooltip_modifier_Primary_Blood_grudge_Dagger"                   "Primary grudge dagger"
"DOTA_Tooltip_modifier_Primary_Blood_grudge_Dagger_Description"       "Take continuous damage per second" 

"DOTA_Tooltip_modifier_Middle_Blood_grudge_Dagger"                   "Middle grudge dagger"
"DOTA_Tooltip_modifier_Middle_Blood_grudge_Dagger_Description"       "Take continuous damage per second" 


"DOTA_Tooltip_modifier_Advanced_Blood_grudge_Dagger"                   "Advanced grudge dagger"
"DOTA_Tooltip_modifier_Advanced_Blood_grudge_Dagger_Description"       "Take continuous damage per second" 








"DOTA_Tooltip_modifier_Middle_clock_and_dagger"                   "Middle clock and dagger"
"DOTA_Tooltip_modifier_Middle_clock_and_dagger_Description"       "Grant bonus attack damage" 
"DOTA_Tooltip_modifier_Advanced_clock_and_dagger"                   "Advanced clock and dagger"
"DOTA_Tooltip_modifier_Advanced_clock_and_dagger_Description"       "Grant bonus attack damage" 

"DOTA_Tooltip_modifier_Advanced_clock_and_dagger_delay"                   "Hidden in the city"
"DOTA_Tooltip_modifier_Advanced_clock_and_dagger_delay_Description"       "Delay launch" 





"DOTA_Tooltip_modifier_Primary_necromastery"                   "Primary Necromastery "
"DOTA_Tooltip_modifier_Primary_necromastery_Description"       "Grants bonus attack damage" 
"DOTA_Tooltip_modifier_Middle_necromastery"                   "Middle Necromastery "
"DOTA_Tooltip_modifier_Middle_necromastery_Description"       "Grants bonus attack damage" 
"DOTA_Tooltip_modifier_Advanced_necromastery"                   "Advanced Necromastery "
"DOTA_Tooltip_modifier_Advanced_necromastery_Description"       "Grants bonus attack damage" 

"DOTA_Tooltip_modifier_Advanced_necromastery_bonus"                   "temporary soul"
"DOTA_Tooltip_modifier_Advanced_necromastery_bonus_Description"       "Grants bonus attack damage" 

"DOTA_Tooltip_modifier_Advanced_necromastery_debuff"                   "soul extraction"
"DOTA_Tooltip_modifier_Advanced_necromastery_debuff_Description"       "Take additional physical damage " 


"DOTA_Tooltip_modifier_Middle_Corrosive_Skin"                   "Middle Corrosive Skin"
"DOTA_Tooltip_modifier_Middle_Corrosive_Skin_Description"       "Grant bonus magic resistance " 
"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin"                   "Advanced Corrosive Skin"
"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin_Description"       "Grant bonus magic resistance " 

"DOTA_Tooltip_modifier_Primary_Corrosive_Skin_debuff"                   "Primary Corrosive Skin"
"DOTA_Tooltip_modifier_Primary_Corrosive_Skin_debuff_Description"       "Reduces attack speed and takes continuous damage" 
"DOTA_Tooltip_modifier_Middle_Corrosive_Skin_debuff"                   "Middle Corrosive Skin"
"DOTA_Tooltip_modifier_Middle_Corrosive_Skin_debuff_Description"       "Reduces attack speed and takes continuous damage" 
"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin_debuff"                   "Advanced Corrosive Skin"
"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin_debuff_Description"       "Reduces attack speed and takes continuous damage" 




"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin_debuff2"                   "Poison Fountain"
"DOTA_Tooltip_modifier_Advanced_Corrosive_Skin_debuff2_Description"       "Reduces attack speed and takes continuous damage" 





"DOTA_Tooltip_modifier_Primary_empower"                   "Primary Empower"
"DOTA_Tooltip_modifier_Primary_empower_Description"       "Grant bonus attack damage by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%, cleave damage by %dMODIFIER_PROPERTY_TOOLTIP%%%" 
"DOTA_Tooltip_modifier_Middle_empower"                   "Middle Empower"
"DOTA_Tooltip_modifier_Middle_empower_Description"       "Grant bonus attack damage by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%, cleave damage by %dMODIFIER_PROPERTY_TOOLTIP%%%" 
"DOTA_Tooltip_modifier_Advanced_empower"                   "Advanced Empower"
"DOTA_Tooltip_modifier_Advanced_empower_Description"       "Grant bonus attack damage by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%, cleave damage by %dMODIFIER_PROPERTY_TOOLTIP%%%" 


"DOTA_Tooltip_modifier_Advanced_hyakkiyakou_debuff"                   "Sleep"
"DOTA_Tooltip_modifier_Advanced_hyakkiyakou_debuff_Description"       "Falls into deep sleep" 


"DOTA_Tooltip_modifier_Primary_fear_arua_effect"                   "Fear "
"DOTA_Tooltip_modifier_Primary_fear_arua_effect_Description"       "Reduce attack power and take additional damage"
"DOTA_Tooltip_modifier_Advanced_fear_arua_effect"                   "Fear "
"DOTA_Tooltip_modifier_Advanced_fear_arua_effect_Description"       "Reduce attack power and take additional damage"
"DOTA_Tooltip_modifier_Middle_fear_arua_effect"                   "Fear "
"DOTA_Tooltip_modifier_Middle_fear_arua_effect_Description"       "Reduce attack power and take additional damage"

"DOTA_Tooltip_modifier_Advanced_fear_arua_debuff"                   "Panic"
"DOTA_Tooltip_modifier_Advanced_fear_arua_debuff_Description"       "Take additional damage"
"DOTA_Tooltip_modifier_Middle_fear_arua_debuff"                   "Panic"
"DOTA_Tooltip_modifier_Middle_fear_arua_debuff_Description"       "Take additional damage"


"DOTA_Tooltip_modifier_Advanced_fear_arua_force_debuff"                   "concentrated fear"
"DOTA_Tooltip_modifier_Advanced_fear_arua_force_debuff_Description"       "Reduce healing effect and status resistance"
"DOTA_Tooltip_modifier_Advanced_fear_arua_force_debuff"                   "Fear transmission"
"DOTA_Tooltip_modifier_Advanced_fear_arua_force_debuff_Description"       "Reduce status resistance"




"DOTA_Tooltip_modifier_Primary_water_prison"                   "Primary water prison"
"DOTA_Tooltip_modifier_Primary_water_prison_Description"       "Unable to move" 
"DOTA_Tooltip_modifier_Middle_water_prison"                   "Middlewater prison"
"DOTA_Tooltip_modifier_Middle_water_prison_Description"       "Unable to move" 
"DOTA_Tooltip_modifier_Advanced_water_prison"                   "Advanced water prison"
"DOTA_Tooltip_modifier_Advanced_water_prison_Description"       "Unable to move" 


"DOTA_Tooltip_modifier_Middle_water_prison_debuff"                   "Cushion area"
"DOTA_Tooltip_modifier_Middle_water_prison_debuff_Description"       "Reduce movement speed" 
"DOTA_Tooltip_modifier_Advanced_water_prison_debuff"                   "water prison"





"DOTA_Tooltip_modifier_Slime_arua_effect"                   "Protected "
"DOTA_Tooltip_modifier_Slime_arua_effect_Description"       "Damage is taken by Slime" 



"DOTA_Tooltip_modifier_Primary_bash_of_the_deep"                   "Primary bash of the deep"
"DOTA_Tooltip_modifier_Primary_bash_of_the_deep_Description"       "Trigger heave bash when reaching a certain number of points." 



"DOTA_Tooltip_modifier_Primary_bash_of_the_deep_debuff"                   "Primary bash of the deep waek"
"DOTA_Tooltip_modifier_Primary_bash_of_the_deep_debuff_Description"       "Reduce effect of stun " 




"DOTA_Tooltip_modifier_Middle_Boundless_Strike_effect"                   "Sea stabiliser"
"DOTA_Tooltip_modifier_Middle_Boundless_Strike_effect_Description"       "Grant attack damage and attack range bonus" 
"DOTA_Tooltip_modifier_Advanced_Boundless_Strike_effect"                   "Sea stabiliser"
"DOTA_Tooltip_modifier_Advanced_Boundless_Strike_effect_Description"       "Grant attack damage and attack range bonus" 

"DOTA_Tooltip_modifier_Advanced_Boundless_Strike_buff2"                   "Fight with sky"
"DOTA_Tooltip_modifier_Advanced_Boundless_Strike_buff2_Description"       "Grant ranged attack effect" 


"DOTA_Tooltip_modifier_Advanced_assassinate_effect"                   "Plasma Ammo"
"DOTA_Tooltip_modifier_Advanced_assassinate_effect_Description"       "fire plasma ammo when ready" 








"DOTA_Tooltip_modifier_Primary_corrosive_haze"                   "Primary Corrosive Haze"
"DOTA_Tooltip_modifier_Primary_corrosive_haze_Description"       "reduce armor" 
"DOTA_Tooltip_modifier_Middle_corrosive_haze"                   "Middle Corrosive Haze"
"DOTA_Tooltip_modifier_Middle_corrosive_haze_Description"       "reduce armor" 
"DOTA_Tooltip_modifier_Advanced_corrosive_haze"                   "Advanced Corrosive Haze"
"DOTA_Tooltip_modifier_Advanced_corrosive_haze_Description"       "reduce armor" 

"DOTA_Tooltip_modifier_Advanced_corrosive_haze_debuff"                   "mental erosion"
"DOTA_Tooltip_modifier_Advanced_corrosive_haze_debuff_Description"       "Increase base damage" 

"DOTA_Tooltip_modifier_Advanced_invincible_army_buff"                   "realm of thunder"
"DOTA_Tooltip_modifier_Advanced_invincible_army_buff_Description"       "Increase damage" 




"DOTA_Tooltip_modifier_novice_player"                   "Awakening"
"DOTA_Tooltip_modifier_novice_player_Description"       "If there are less than 70 unlocked spells or less than 15 spells above advanced level 15, will be judged as new players.Reliable experience and aurum in game settlement reward will increase by 15%%（*new players count）.The new player self will increase by 40%%(plus 15%%*count).(Linear superposition)" 





"DOTA_Tooltip_modifier_underlord_challenge_Atrophy_Aura_effect"                   "Atrophy"
"DOTA_Tooltip_modifier_underlord_challenge_Atrophy_Aura_effect_Description"       "reduce base attack damage" 


"DOTA_Tooltip_modifier_underlord_challenge_Pit_of_Malice_effect"                   "Pit of Malice"
"DOTA_Tooltip_modifier_underlord_challenge_Pit_of_Malice_effect_Description"       "When coiled, take additional damage, reducing damage dealt to Underlord" 

"DOTA_Tooltip_modifier_underlord_challenge_Firestorm_effect"                   "Firestorm"
"DOTA_Tooltip_modifier_underlord_challenge_Firestorm_effect_Description"       "Take continuous damage" 




"DOTA_Tooltip_modifier_luna_challenge_Lunar_Blessing_effect"                   "Lunar’s blessing"
"DOTA_Tooltip_modifier_luna_challenge_Lunar_Blessing_effect_Description"       "Grant bonus attack powe" 




"DOTA_Tooltip_modifier_Advanced_Stifling_Dagger_Unlock1_effect"                   "squally showers"
"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_units_buff"                   "Pandora's box"
"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_units_buff_Description"       "Grant bonus to all attributes" 

"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_have_father"                   "father's promise"
"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_have_father_Description"       "already have a father" 
"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_father"                   "Father and son"
"DOTA_Tooltip_modifier_Advanced_Greevils_Greed_father_Description"       "father of a hero" 

"DOTA_Tooltip_modifier_Advanced_Lightning_Bolt_debuff"                   "Electrical Penetration"
"DOTA_Tooltip_modifier_Advanced_Lightning_Bolt_debuff_Description"       "Take more lightning damage" 


"DOTA_Tooltip_modifier_unit_cooldownReduction"                   "Cooldown Reduction"
"DOTA_Tooltip_modifier_unit_cooldownReduction_Description"       "Cooldown reduction increased by %fMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%%" 




"DOTA_Tooltip_modifier_Advanced_Static_Field_bound_fields_thinker"                   "Gaussian bound field"
"DOTA_Tooltip_modifier_Advanced_Static_Field_bound_fields_thinker_Description"       "Limits movement speed of surrounding enemies and deals continuous damage." 


"DOTA_Tooltip_modifier_Advanced_Anchor_Smash_Unlock1"                   "merge"
"DOTA_Tooltip_modifier_Advanced_Anchor_Smash_Unlock1_Description"       "Grants the full effect of Anchor Smash" 

"DOTA_Tooltip_modifier_Advanced_Soul_Link"                   "Soul Link"
"DOTA_Tooltip_modifier_Advanced_Soul_Link_Description"       "Grant Summoning Enhancement" 

"DOTA_Tooltip_modifier_Advanced_Soul_Link_unlock3_buff"                   "soul change"
"DOTA_Tooltip_modifier_Advanced_Soul_Link_unlock3_buff_Description"       "Grant bonus all attribute" 


"DOTA_Tooltip_modifier_Advanced_Blood_Lust_unlock3"                   "Blood Thirst mark"
"DOTA_Tooltip_modifier_Advanced_Blood_Lust_unlock3_Description"       "Grant big boost in combat power" 

"DOTA_Tooltip_modifier_Advanced_Blood_Lust_unlock3_sub"                   "Blood Thirst "
"DOTA_Tooltip_modifier_Advanced_Blood_Lust_unlock3_sub_Description"       "Grant big boost in combat power" 

"DOTA_Tooltip_modifier_Advanced_aether_remnant_passive"                   "Dimension coincidence"
"DOTA_Tooltip_modifier_Advanced_aether_remnant_passive_Description"       "Grants Attack Triggering Remnant" 


"DOTA_Tooltip_modifier_Advanced_Dispersion_receive_point"                   "diffraction aperture "
"DOTA_Tooltip_modifier_Advanced_Dispersion_receive_point_Description"       "act as a refraction diffraction aperture" 


"DOTA_Tooltip_modifier_Advanced_Dispersion_unlock3_effect"                   "refraction"
"DOTA_Tooltip_modifier_Advanced_Dispersion_unlock3_effect_Description"       "settle damage after status expires" 

"DOTA_Tooltip_modifier_Advanced_Counter_Helix"                   "counterattack storm"
"DOTA_Tooltip_modifier_Advanced_Counter_Helix_Description"       "Store counter attack points" 

"DOTA_Tooltip_modifier_Advanced_Coup_De_Grace_unlock2"                   "fate"
"DOTA_Tooltip_modifier_Advanced_Coup_De_Grace_unlock2_Description"       "God like" 

"DOTA_Tooltip_modifier_Advanced_metamorphosis_Aura_effect"                   "coercion "
"DOTA_Tooltip_modifier_Advanced_metamorphosis_Aura_effect_Description"       "Reduce armor" 


"DOTA_Tooltip_modifier_king_of_translation"                   "God of translation"
"DOTA_Tooltip_modifier_king_of_translation_Description"       "This person almost finished the Russian translation in a week with lightning speed. Among them, he didn't sleep for three consecutive days. To show my gratitude, I gave him some attributes" 




"DOTA_Tooltip_modifier_Advanced_purifying_flame_active_unlock3"                   "Eternal Prophecy Shimmer"
"DOTA_Tooltip_modifier_Advanced_purifying_flame_active_unlock3_Description"       "Grant continuous healing" 

