

"DOTA_Tooltip_ability_chaotic_fire_storm"	"Fire Storm"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_duration"	"Shield destruction duration:"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_advanced_duration"	"Resistance reduction duration:"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_armor_reduction"	"☆Armor Reduction:"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_magical_res_reduction"	"%☆Magic Resistance Reduction:"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_count"	"Maximum number of targets:"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_radius"	"Area of effect:"  
"HUD_Spell_Rune_chaotic_ruby_reverse_radiation_cast_range" "Cast Range"  
"DOTA_Tooltip_modifier_chaotic_ruby_reverse_radiation"                   "Ruby Reverse Radiation"  
"DOTA_Tooltip_modifier_chaotic_ruby_reverse_radiation_Description"       "Shield destroyed"  
"DOTA_Tooltip_modifier_chaotic_ruby_reverse_radiation_advanced_debuff"                   "Ruby Reverse Radiation"  
"DOTA_Tooltip_modifier_chaotic_ruby_reverse_radiation_advanced_debuff_Description"       "Reduces %dMODIFIER_PROPERTY_TOOLTIP% armor and %dMODIFIER_PROPERTY_TOOLTIP%%% magic resistance"  
"DOTA_Tooltip_modifier_chaotic_ruby_reverse_radiation_advanced_buff"                   "Ruby Reverse Radiation"  
"DOTA_Tooltip_modifier_chaotic_ruby_reverse_radiation_advanced_buff_Description"       "Increases %dMODIFIER_PROPERTY_TOOLTIP% armor and %dMODIFIER_PROPERTY_TOOLTIP%%% magic resistance"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_rune_1"              "Immortal I: Crimson Reflection"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_rune_1_Description"  "Can be cast on allies: grants bonus armor and magic resistance, with duration increased by %rune_1_bonus% times"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_rune_2"              "Immortal II: Mirror Focus"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_rune_2_Description"  "Burn application increased by %rune_2_bonus%%% [×]. If the target is already <font color='#cd5c5c'>Burned</font>, burn application is further increased by %rune_2_bonus_2%%% [×]"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_rune_3"              "Immortal III: Destructive Ray"  
"DOTA_Tooltip_ability_chaotic_ruby_reverse_radiation_rune_3_Description"  "While the enemy's resistances are reduced, their passives are also <font color='#9370db'>disabled</font>, but the initial duration of resistance reduction is reduced by %rune_3_duration% seconds"



"DOTA_Tooltip_ability_chaotic_regenerate"	"Regenerate"
"DOTA_Tooltip_ability_chaotic_regenerate_Description"	"Touch a friendly unit, triggering its natural healing abilities, significantly increasing its life regeneration rate. Immediately after casting, it provides an initial burst of healing."
"DOTA_Tooltip_ability_chaotic_regenerate_Lore"	"While this spell can only be used on a single target, its potent healing capabilities are so formidable that it can even regenerate severed limbs. If there are severed parts, as long as they are affixed to the stump, the spell will immediately bind the limb and the severed part together."


"DOTA_Tooltip_ability_chaotic_regenerate_base_damage"	"Base Healing:"
"DOTA_Tooltip_ability_chaotic_regenerate_bonus_damage"	"Bonus Healing:Primary Attribute x "
"DOTA_Tooltip_ability_chaotic_regenerate_bonus_health_regen_amp"	"%Bonus Health Regen Amp:"
"DOTA_Tooltip_ability_chaotic_regenerate_bonus_health_regen"	"Bonus Health Regen:"
"DOTA_Tooltip_ability_chaotic_regenerate_duration"	"Duration:"



"DOTA_Tooltip_modifier_chaotic_regenerate"                   "Regenerate"
"DOTA_Tooltip_modifier_chaotic_regenerate_Description"       "Health Regen increased by %dMODIFIER_PROPERTY_TOOLTIP%, Health Regen Amp increased by%dMODIFIER_PROPERTY_TOOLTIP%%%" 


"DOTA_Tooltip_ability_chaotic_regenerate_rune_1"              "Mana Regeneration"
"DOTA_Tooltip_ability_chaotic_regenerate_rune_1_Description"  "You can convert %rune_1_bonus%%% of the effective healing you inflict on the target into an equivalent amount of magic restoration."




"DOTA_Tooltip_ability_chaotic_eurythmics"	"Eurythmics"
"DOTA_Tooltip_ability_chaotic_eurythmics_Description"	"Choose a willing ally and forcefully synchronize their body with the world's rhythm, cutting it into beats. For the duration, the target is unable to cast chaotic spells beyond the level 3, but the effectiveness of spells within the third ring is multiplied several times."
"DOTA_Tooltip_ability_chaotic_eurythmics_Lore"	"This is a spell that intricately rewoven the magic web with a refined technique. While the rewoven web becomes more powerful, it is challenging to withstand the energy of high-level spells."
"DOTA_Tooltip_ability_chaotic_eurythmics_Note0"	"Note: Enabling 'Disable Help' can reject teammates from applying this effect on you."



"DOTA_Tooltip_ability_chaotic_eurythmics_bonus_effect"	"%Bonus Effectiveness:"
"DOTA_Tooltip_ability_chaotic_eurythmics_bonus_mana_cost"	"%Mana Cost Multiplier:"
"DOTA_Tooltip_ability_chaotic_eurythmics_duration"	"Duration:"
"HUD_Spell_Rune_chaotic_eurythmics_cooldown_time" "Cooldown Time"





"DOTA_Tooltip_modifier_chaotic_eurythmics"                   "Eurythmics"
"DOTA_Tooltip_modifier_chaotic_eurythmics_Description"       "Spell below level 3's effect increased by %dMODIFIER_PROPERTY_TOOLTIP%%% , while increasing mana consumption by %dMODIFIER_PROPERTY_TOOLTIP%%%." 

"DOTA_Tooltip_ability_chaotic_eurythmics_rune_1"              "Potent"
"DOTA_Tooltip_ability_chaotic_eurythmics_rune_1_Description"  "The applicable levels increase by 1"



"DOTA_Tooltip_ability_chaotic_doom_execution"	"Doom Execution"
"DOTA_Tooltip_ability_chaotic_doom_execution_Description"	"In auto-cast mode, it is considered an active skill. Each instance of dealing physical damage will consume your current health , but significantly boost the damage inflicted."
"DOTA_Tooltip_ability_chaotic_doom_execution_Lore"	"A technique classified as forbidden, requiring the practitioner to pay the price with their life force. However, simultaneously, their combat prowess will significantly increase. Typically, it is only employed in situations where victory seems unattainable."

"DOTA_Tooltip_ability_chaotic_doom_execution_health_cost"	"Base Health Cost:"
"DOTA_Tooltip_ability_chaotic_doom_execution_health_cost_percentage"	"%Current Health Cost:"
"DOTA_Tooltip_ability_chaotic_doom_execution_bonus_damage"	"%Bonus Damage:"




"DOTA_Tooltip_ability_chaotic_indomitable_will"	"Indomitable Will"
"DOTA_Tooltip_ability_chaotic_indomitable_will_Description"	"Gain a percentage increase in ehalth regen based on the percentage of lost health. When you receive fatal damage, become immune to damage for a certain duration and enhance the regen effect of this ability."
"DOTA_Tooltip_ability_chaotic_indomitable_will_Lore"	"Only by willpower breaking through one's own limits, never yielding to fate, can you master your own destiny."

"DOTA_Tooltip_ability_chaotic_indomitable_will_health_regen"	"%Maximum Health Regen Conversion Rate:"
"DOTA_Tooltip_ability_chaotic_indomitable_will_duration"	"Buff Duration:"
"DOTA_Tooltip_ability_chaotic_indomitable_will_health_regen_gain"	"%Bonus Regen:"

"DOTA_Tooltip_modifier_chaotic_indomitable_will_buff"                   "Indomitable Will"
"DOTA_Tooltip_modifier_chaotic_indomitable_will_buff_Description"       "immune all damage" 


"HUD_Spell_Rune_chaotic_indomitable_will_cooldown_time"  "Cooldown Time"


"DOTA_Tooltip_ability_chaotic_indomitable_will_rune_1"              "Spare Will"
"DOTA_Tooltip_ability_chaotic_indomitable_will_rune_1_Description"  "Can have an additional %rune_1_bonus% charge points."














"DOTA_Tooltip_ability_chaotic_taunt_constitution"	"Taunt Constitution"
"DOTA_Tooltip_ability_chaotic_taunt_constitution_Description"	"At regular intervals, taunts surrounding enemies. Each taunted enemy restores a certain amount of health to oneself, and taunted enemies deal reduced damage to you."
"DOTA_Tooltip_ability_chaotic_taunt_constitution_Lore"	"The purpose of the front line is to help draw fire for your backline teammates. If you can't achieve this, then you don't deserve to be called the front line."

"DOTA_Tooltip_ability_chaotic_taunt_constitution_radius"	"Effect Radius:"
"DOTA_Tooltip_ability_chaotic_taunt_constitution_health_regen"	"%Health Regen for each taunted target: Current health x"
"DOTA_Tooltip_ability_chaotic_taunt_constitution_effect_count"	"Effect Count"
"DOTA_Tooltip_ability_chaotic_taunt_constitution_duration"	"Taunt Duration:"
"DOTA_Tooltip_ability_chaotic_taunt_constitution_damage_reduction"	"%Damage Reduction:"



"DOTA_Tooltip_modifier_chaotic_taunt_constitution_debuff"                   "Taunted"
"DOTA_Tooltip_modifier_chaotic_taunt_constitution_debuff_Description"                   "Reduces damage dealt to the taunter by%dMODIFIER_PROPERTY_TOOLTIP%%%"


"HUD_Spell_Rune_chaotic_taunt_constitution_cooldown_time"  "Cooldown Time"




"DOTA_Tooltip_ability_chaotic_taunt_constitution_rune_1"              "recovery strength"
"DOTA_Tooltip_ability_chaotic_taunt_constitution_rune_1_Description"  "Turn recovery into self-healing"



"DOTA_Tooltip_ability_chaotic_pain_dullness"	"Pain Dullness"
"DOTA_Tooltip_ability_chaotic_pain_dullness_Description"	"Gains damage reduction, but a portion of the reduced damage will be evenly distributed and settled over the next %damage_interval% seconds, settling every %damage_interval% seconds."
"DOTA_Tooltip_ability_chaotic_pain_dullness_Lore"	"Temporarily numbing your sense of pain to gain more sustained offensive capability, but damage is inevitable."
"DOTA_Tooltip_ability_chaotic_pain_dullness_damage_reduction"	"%Damage Reduction:"
"DOTA_Tooltip_ability_chaotic_pain_dullness_duration"	"Settlement Duration: "
"DOTA_Tooltip_ability_chaotic_pain_dullness_damage_changing"	"%Converted Into Wounds:"

"DOTA_Tooltip_modifier_chaotic_pain_dullness"              "Pain Dullness"
"DOTA_Tooltip_modifier_chaotic_pain_dullness_Description"  "Remaining %dMODIFIER_PROPERTY_TOOLTIP% damage awaiting settlement"



"DOTA_Tooltip_ability_chaotic_pain_dullness_rune_1"              "Wound Repair"
"DOTA_Tooltip_ability_chaotic_pain_dullness_rune_1_Description"  "Each time damage is settled, reduce damage by %rune_1_bonus%%% of current health."










"DOTA_Tooltip_ability_chaotic_night_dance"	"Night Dance"
"DOTA_Tooltip_ability_chaotic_night_dance_Description"	"At night, you gain additional evasion. If you are attacked, there is a chance to receive an attack speed boost, independently stacking for a certain duration with an upper limit. Additionally, upon killing an enemy, you permanently increase agility (tied to the skill)."
"DOTA_Tooltip_ability_chaotic_night_dance_Lore"	"A martial technique that can unleash tremendous power in the darkness, holding infinite allure for warriors aspiring to strength."
"DOTA_Tooltip_ability_chaotic_night_dance_Note0"	"Note: Killing elites has %elite_factor% times the effect."
"DOTA_Tooltip_ability_chaotic_night_dance_miss"	"%Bonus Evasion:"
"DOTA_Tooltip_ability_chaotic_night_dance_chance"	"%Proc Chance:"
"DOTA_Tooltip_ability_chaotic_night_dance_bonus_attack_speed" "Bonus Attack Speed Per Stack:"
"DOTA_Tooltip_ability_chaotic_night_dance_duration" "Duration:"
"DOTA_Tooltip_ability_chaotic_night_dance_bonus_attack_speed_max" "Max Bonus Attack Speed:"
"DOTA_Tooltip_ability_chaotic_night_dance_bonus_agility" "Bonus Agi Per Kill:"

"DOTA_Tooltip_modifier_chaotic_night_dance"              "Night Dance"
"DOTA_Tooltip_modifier_chaotic_night_dance_Description"  "Gains %dMODIFIER_PROPERTY_TOOLTIP%%% evasion, %dMODIFIER_PROPERTY_TOOLTIP% attack speed, and a permanent agility bonus of %fMODIFIER_PROPERTY_TOOLTIP%."


"DOTA_Tooltip_ability_chaotic_night_dance_rune_1"              "All Night"
"DOTA_Tooltip_ability_chaotic_night_dance_rune_1_Description"  "Can be cast actively; for the next %rune_1_duration% seconds, you gain the Night's Blessing, costing %rune_1_health_cost% health and with a cooldown of %rune_1_cooldown% seconds."


"DOTA_Tooltip_modifier_chaotic_night_dance_rune_1_buff"              "All Night"
"DOTA_Tooltip_modifier_chaotic_night_dance_rune_1_buff_Description"  "Go into night state"









"DOTA_Tooltip_ability_chaotic_live_in_peace_magic"	"Refuge Spell"
"DOTA_Tooltip_ability_chaotic_live_in_peace_magic_Description"	"raws a circle on the ground. Enemies entering the circle for the first time are pushed away and have their movement speed reduced for a duration. Enemies entering the circle for the second time will have their armor and magic resistance reduced."
"DOTA_Tooltip_ability_chaotic_live_in_peace_magic_Lore"	"Monk asks: 'How does one learn when not grounded?' Teacher responds: 'Where do you seek to dwell and find purpose?'"




"DOTA_Tooltip_ability_chaotic_live_in_peace_magic_radius"	"Effect Radius:"
"DOTA_Tooltip_ability_chaotic_live_in_peace_magic_distance"	"Push distance:"
"DOTA_Tooltip_ability_chaotic_live_in_peace_magic_move_speed_reduction" "Move Slow:"
"DOTA_Tooltip_ability_chaotic_live_in_peace_magic_slow_duration" "Move Slow Duration:"
"DOTA_Tooltip_ability_chaotic_live_in_peace_magic_duration" "Duration:"
"DOTA_Tooltip_ability_chaotic_live_in_peace_magic_armor_reduction" "Armor Reduction:"
"DOTA_Tooltip_ability_chaotic_live_in_peace_magic_magic_resistance_reduction" "%Magic Resistance Reduction"

"DOTA_Tooltip_modifier_chaotic_live_in_peace_magic_debuff"              "Refuge Spell"
"DOTA_Tooltip_modifier_chaotic_live_in_peace_magic_debuff_Description"  "Move speed reduced by %dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_chaotic_live_in_peace_magic_debuff_aura_debuff"              "Refuge Spell"
"DOTA_Tooltip_modifier_chaotic_live_in_peace_magic_debuff_aura_debuff_Description"  "Armor reduced by %dMODIFIER_PROPERTY_TOOLTIP%, magic resistance reduced by %dMODIFIER_PROPERTY_TOOLTIP%%%"






"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element"	"Spirit Summon: Lightning Element Orb"
"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_Description"	"Create a lightning element orb that periodically releases a level 3 Lightning Bolt targeting the aggro target."
"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_Lore"	"This is a gathering of magical energy, although relatively fragile, the ability it can release are also relatively low-level. But remember, even if it's low, it's still a three-ring skill."
"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_Note0"	"Note: Skills cast with this ability use attack damage as damage instead of the primary attribute."

"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_base_damage"	"☆Base Attack Damage:"
"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_bonus_damage"	"%Attack Damage Inheritance:"
"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_bonus_health"	"%Health Inheritance:"
"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_bonus_armor"	"%Armor Inheritance:"
"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_interval"	"Spell Interval:"
"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_duration"	"Duration:"

"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_max_count"	"Maximum Summon Count:"

"DOTA_Tooltip_modifier_chaotic_summon_lightning_sphere_element_buff"              "Lightning Orb"
"DOTA_Tooltip_modifier_chaotic_summon_lightning_sphere_element_buff_Description"  "It can cast the spell for each %1fMODIFIER_PROPERTY_TOOLTIP% seconds"

"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_rune_1"              "Overcharge"
"DOTA_Tooltip_ability_chaotic_summon_lightning_sphere_element_rune_1_Description"  "You can enable automatic casting, consuming %rune_1_bonus%%% of your current mana. For every %rune_1_require% mana consumed, the interval between the casting reduced by %rune_1_reduce% seconds, with a maximum additional cost of %rune_1_max_cost% mana."




"DOTA_Tooltip_ability_chaotic_haste_grant"	"Haste Grant"
"DOTA_Tooltip_ability_chaotic_haste_grant_Description"	"When you summon a minion, you can apply a level 3 Haste to it, which have a bonus effect."
"DOTA_Tooltip_ability_chaotic_haste_grant_Lore"	"By linking low-level ability, you can obtain a readily available means of empowerment, greatly enhancing your companions, especially when engaging in spirit summoning."
"DOTA_Tooltip_ability_chaotic_haste_grant_bonus_gain"	"%Bonus Effect:"

"HUD_Spell_Rune_chaotic_haste_grant_AbilityChargeRestoreTime"  "Charge Restore Time"
"HUD_Spell_Rune_chaotic_haste_grant_AbilityCharges"  "Max Charge Points"

"DOTA_Tooltip_ability_chaotic_haste_grant_rune_1"              "Overgrant"
"DOTA_Tooltip_ability_chaotic_haste_grant_rune_1_Description"  "Can enable automatic casting, consuming all charged points at once. Each additional point spent enhances the effectiveness by %rune_1_bonus%%%[+].%rune_1_bonus%%%[+]"

"DOTA_Tooltip_ability_chaotic_summon_healing_guard"	"Spirit Summon: Iceheart Yil"
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_Description"	"Summons Yil, who cannot attack but uses 'Mass Healing Mantra' and 'Ice Storm' in combat. Additionally, it has an Iceheart Aura that enhances summon creatures within a %radius% range."
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_Lore"	"Iceheart Yil, an elf born from the Blue Heart Glacier."
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_bonus_damage"	"%Inherited Attack Damage:"
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_bonus_health"	"%Inherited Health Points:"
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_bonus_armor"	"%Inherited Armor Points:"
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_duration"	"Duration:"
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_ally_outgoing"	"%Iceheart Aura - Increased Outgoing Damage:"
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_ally_incoming"	"%Iceheart Aura - Reduced Incoming Damage:"
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_ally_elemental"	"%Iceheart Aura - Increased Elemental Damage:"
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_max_count"	"Maximum Number of Simultaneous Summons:"
"DOTA_Tooltip_modifier_chaotic_summon_healing_guard_buff"	"Iceheart Aura"
"DOTA_Tooltip_modifier_chaotic_summon_healing_guard_buff_Description"	"Enhances allied summon creatures in the vicinity."
"DOTA_Tooltip_modifier_chaotic_summon_healing_guard_buff_effect"	"Iceheart"
"DOTA_Tooltip_modifier_chaotic_summon_healing_guard_buff_effect_Description"	"Increases outgoing damage by %fMODIFIER_PROPERTY_TOOLTIP%%% [+]<br>Reduces incoming damage by %fMODIFIER_PROPERTY_TOOLTIP%%% [+]<br>Increases elemental damage by %fMODIFIER_PROPERTY_TOOLTIP%%% [×]"

"DOTA_Tooltip_ability_chaotic_summon_healing_guard_rune_1"              "Immortal I: Adaptive Healing"
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_rune_1_Description"  "Yil's 'Mass Healing Mantra' can be stored and will only be released when there are units with lost health points nearby."
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_rune_2"              "Immortal II: None"
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_rune_2_Description"  ""
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_rune_3"              "Immortal III: None"
"DOTA_Tooltip_ability_chaotic_summon_healing_guard_rune_3_Description"  ""



"DOTA_Tooltip_ability_chaotic_queenbee_attack"	"Wasp Killing Technique"
