"DOTA_Tooltip_ability_chaotic_ice_age"	"Ice Age"
"DOTA_Tooltip_ability_chaotic_sky_fire_rune_1"              "Immortal I: Divine Power"
"DOTA_Tooltip_ability_chaotic_sky_fire_rune_1_Description"  "If holding 'Rune XI: Am', then the additional damage it causes is reduced by %rune_1_crit_damage%%% [+], but 'Celestial Obstruction Meteor' will always trigger its extra damage;<br>If not holding 'Rune XI: Am', the damage of 'Celestial Obstruction Meteor' increases by %rune_1_index%%% [×]"
"DOTA_Tooltip_ability_chaotic_sky_fire_rune_2"              "Immortal II: Annihilation"
"DOTA_Tooltip_ability_chaotic_sky_fire_rune_2_Description"  "'Celestial Obstruction Meteor' deals distance-based damage, with units at the center of the impact receiving %rune_2_index_max%%% damage and those furthest away, at a distance of %rune_2_radius%, receiving %rune_2_index_min%%% damage"
"DOTA_Tooltip_ability_chaotic_sky_fire_rune_3"              "Immortal III: Blaze Bloodline"
"DOTA_Tooltip_ability_chaotic_sky_fire_rune_3_Description"  "'Celestial Obstruction Meteor' no longer requires initial mana cost"

"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath"	"Thundergod's Wrath"
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_Description"	"Unleashes lightning upon up to %max% enemies across the entire map, dealing lightning damage and stunning them. Damage increases with the caster's maximum mana.<br><br>Damage from Thundergod's Wrath is increased by %index%%% against enemies in the <font color='#6481d9'>Elecshocking</font> state.<br><br>The cooldown of Thundergod's Wrath is fixed, but can be affected by cooldown reduction and cooldown返还 (cooldown return)."
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_Lore"	"Chaos in the spacetime stream mutates the ability."
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_basic_damage"	"Base Damage:"
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_bonus_damage"	"Bonus Damage: Primary Attribute ×"
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_mp_damage"	"% Bonus Damage: Maximum Mana ×"
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_duration"	"Stun Duration:"
"DOTA_Tooltip_modifier_chaotic_Thundergods_Wrath_debuff"	"Thundergod's Wrath Stun"
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_cd"	"Cooldown:"
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_rune_1"              "Immortal I: Lightning Rod"
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_rune_1_Description"  "Upon casting, locks onto the enemy with the highest current health. If an enemy is killed by this Thundergod's Wrath, fires a lightning bolt at the locked target, dealing pure lightning damage equal to the original damage × %rune_1_index%%%"
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_rune_2"              "Immortal II: Divine Wrath"
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_rune_2_Description"  "Strikes enemies sequentially from lowest to highest health. Enemies killed by the lightning increase the damage of remaining strikes by %rune_2_bonus%%% [+] but also consume %rune_2_mp%%% of the caster's maximum mana"
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_rune_3"              "Immortal III: Dark Cloud Surge"
"DOTA_Tooltip_ability_chaotic_Thundergods_Wrath_rune_3_Description"  "Instead pollutes the area within %rune_3_radius% range around the caster for %rune_3_duration% seconds. Every %rune_3_cd% seconds, unleashes a single-target 'Thundergod's Wrath' with efficiency %rune_3_index%%% against the enemy with the highest health within the area. 'Thundergod's Wrath' is considered both lightning and dark damage."

"DOTA_Tooltip_ability_chaotic_deafening_blast"	"Deafening Blast"
"DOTA_Tooltip_ability_chaotic_deafening_blast_Description"	"Fires three long-range destructive sonic waves forward, dealing fire, ice, and lightning damage to enemies they hit, then <font color='#9370db'>disarms</font> and knocks them back a short distance. Enemies hit by multiple waves simultaneously take reduced subsequent damage."
"DOTA_Tooltip_ability_chaotic_deafening_blast_Lore"	"We pray here: The world shall return to pure whiteness, white purity."
"DOTA_Tooltip_ability_chaotic_deafening_blast_knock_dis"	"Knockback distance:"
"DOTA_Tooltip_ability_chaotic_deafening_blast_disarm_duration"	"Disarm duration:"
"DOTA_Tooltip_ability_chaotic_deafening_blast_damage"	"Base damage:"
"DOTA_Tooltip_ability_chaotic_deafening_blast_bonus_damage"	"Bonus damage: Primary Attribute ×"
"DOTA_Tooltip_ability_chaotic_deafening_blast_index"	"% Multi-wave damage multiplier:"
"DOTA_Tooltip_ability_chaotic_deafening_blast_rune_1"              "Immortal I: Perfect Golden Spiral"
"DOTA_Tooltip_ability_chaotic_deafening_blast_rune_1_Description"  "Increases the wave's range to %rune_1_long%%% of the original. Now also fires a secondary spiral wave with a delay, with the range of each successive wave in the spiral decreasing to %rune_1_short%%% of the original range"
"DOTA_Tooltip_ability_chaotic_deafening_blast_rune_2"              "Immortal II: Unavailable"
"DOTA_Tooltip_ability_chaotic_deafening_blast_rune_2_Description"  ""
"DOTA_Tooltip_ability_chaotic_deafening_blast_rune_3"              "Immortal III: Unavailable"
"DOTA_Tooltip_ability_chaotic_deafening_blast_rune_3_Description"  ""

"DOTA_Tooltip_ability_chaotic_summon_sprite_king"	"Spirit Summon: Sprite King"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_Description"	"Summons a Sprite King that fights using 'Flame Strike', 'Ice Cone', 'Chain Lightning', and ' Vacuum'.<br><br>[Spirit Enhancement] The Sprite King emits an aura that significantly enhances all 'Spirit Summon' summons within %ally_radius% radius, providing them with comprehensive boosts. Additionally, its full attack power is increased based on the number of affected spirits."
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_Lore"	"The Sprite King Motilu, the supreme among elves."
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_base_damage"	"☆Base Attack Damage:"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_bonus_damage"	"%Inherited Attack Damage:"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_bonus_health"	"%Inherited Health Points:"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_bonus_armor"	"%Inherited Armor Points:"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_duration"	"Duration:"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_ally_attack"	"%Spirit Enhancement Attack Power:"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_ally_attack_speed"	"%Spirit Enhancement Attack Speed:"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_ally_armor"	"%Spirit Enhancement Armor:"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_ally_self"	"%Full Attack Power per Affected Spirit:"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_max_count"	"Maximum Number of Simultaneous Summons:"
"npc_hd_chaotic_sprite_king"  "Sprite King Motilu"
"DOTA_Tooltip_modifier_chaotic_summon_sprite_king_buff"	"Spirit Enhancement Aura"
"DOTA_Tooltip_modifier_chaotic_summon_sprite_king_buff_Description"	"Enhances surrounding 'Spirit Summon' summons, granting %fMODIFIER_PROPERTY_TOOLTIP%%% of full attack power and %fMODIFIER_PROPERTY_TOOLTIP%%% damage reduction to itself."
"DOTA_Tooltip_modifier_chaotic_summon_sprite_king_buff_effect"	"Spirit Resonance"
"DOTA_Tooltip_modifier_chaotic_summon_sprite_king_buff_effect_Description"	"Increases attack power by %fMODIFIER_PROPERTY_TOOLTIP%%%.<br>Increases attack speed by %fMODIFIER_PROPERTY_TOOLTIP%%%.<br>Increases armor by %fMODIFIER_PROPERTY_TOOLTIP%%%."
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_rune_1"              "Immortal I: Clustered Spirits"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_rune_1_Description"  "Each spirit under the 'Spirit Enhancement Aura' provides %rune_1_incoming%%% damage reduction [+] to the Sprite King, while the effect of 'Spirit Enhancement Aura' is increased by %rune_1_bonus%%% [×]."
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_rune_2"              "Immortal II: None"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_rune_2_Description"  ""
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_rune_3"              "Immortal III: None"
"DOTA_Tooltip_ability_chaotic_summon_sprite_king_rune_3_Description"  ""

"DOTA_Tooltip_ability_chaotic_black_hole"	"Black Hole"  
"DOTA_Tooltip_ability_chaotic_black_hole_Description"	"Distorts the space-time structure at a targeted location, creating a black hole that continuously pulls in nearby enemies and deals dark attribute damage. The radius of the black hole increases with the caster's primary attribute, and instantly kills enemies inside whose current health is below %kill_line%%% of their maximum health."  
"DOTA_Tooltip_ability_chaotic_black_hole_Lore"	"You're already sucked in, bro!"  
"DOTA_Tooltip_ability_chaotic_black_hole_radius"	"Base Radius:"  
"DOTA_Tooltip_ability_chaotic_black_hole_bonus_radius"	"Bonus Radius: Primary Attribute ×"  
"DOTA_Tooltip_ability_chaotic_black_hole_damage"	"Base Damage:"  
"DOTA_Tooltip_ability_chaotic_black_hole_bonus_damage"	"Bonus Damage: Primary Attribute ×"  
"DOTA_Tooltip_ability_chaotic_black_hole_interval"	"Damage Interval:"  
"DOTA_Tooltip_ability_chaotic_black_hole_duration"	"Maximum Duration:"
"DOTA_Tooltip_ability_chaotic_black_hole_rune_1"              "Immortality I: Stellar Assimilation"  
"DOTA_Tooltip_ability_chaotic_black_hole_rune_1_Description"  "Fuses with the black hole and expands it from your position. The radius of the black hole increases by %rune_1_radius%%% [×]. Each enemy within grants you %rune_1_outgoing%%% bonus outgoing damage [×] for the duration. Elite enemies grant %rune_1_index%x the bonus.<br><br>When the black hole ends, restores all your health and mana, and grants invulnerability for %rune_1_duration% seconds."  
"DOTA_Tooltip_ability_chaotic_black_hole_rune_2"              "Immortality II: None"  
"DOTA_Tooltip_ability_chaotic_black_hole_rune_2_Description"  ""  
"DOTA_Tooltip_ability_chaotic_black_hole_rune_3"              "Immortality III: None"  
"DOTA_Tooltip_ability_chaotic_black_hole_rune_3_Description"  ""

"DOTA_Tooltip_ability_chaotic_Coup_De_Grace"	"Coup De Grace"
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_Description"	"When attacking, there is a chance to deal a devastating critical strike. For enemies with health below a certain percentage, the critical strike multiplier will be increased."
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_Lore"	"One hit, one kill."
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_chance"	"%Critical Strike Chance:"
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_crit_mult"	"%Critical Strike Multiplier:"
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_line"	"%Health Threshold:"
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_crit_mult_add"	"%Additional Critical Strike Multiplier [+]:"
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_rune_1"              "Immortal I: None"
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_rune_1_Description"  ""
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_rune_2"              "Immortal II: None"
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_rune_2_Description"  ""
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_rune_3"              "Immortal III: None"
"DOTA_Tooltip_ability_chaotic_Coup_De_Grace_rune_3_Description"  ""

"DOTA_Tooltip_ability_chaotic_frost_arrows"	"Frost Arrows"  
"DOTA_Tooltip_ability_chaotic_frost_arrows_Description"	    "Attaches frost to ranged attacks, causing additional ice-type damage, slowing, and Frostbite. Upon hitting, bounces once without carrying attack effects."  
"DOTA_Tooltip_ability_chaotic_frost_arrows_damage"	        "Damage: Full Attack ×"  
"DOTA_Tooltip_ability_chaotic_frost_arrows_freezing"	    "Frostbite Applied: Full Attack ×"  
"DOTA_Tooltip_ability_chaotic_frost_arrows_move_slow"	    "Movement Speed Reduced:"  
"DOTA_Tooltip_ability_chaotic_frost_arrows_duration"	    "Duration:"  
"DOTA_Tooltip_ability_chaotic_frost_arrows_radius"	        "Bounce Range:"  
"DOTA_Tooltip_modifier_chaotic_frost_arrows_slow"                   "Frost Arrows"  
"DOTA_Tooltip_modifier_chaotic_frost_arrows_slow_Description"       "Movement speed reduced by %dMODIFIER_PROPERTY_TOOLTIP%Armor reduced by %dMODIFIER_PROPERTY_TOOLTIP%"  

"DOTA_Tooltip_ability_chaotic_frost_arrows_rune_1"              "Immortal I: Shatter-Armor Ice Arrow"  
"DOTA_Tooltip_ability_chaotic_frost_arrows_rune_1_Description"  "Slow duration +%rune_1_duration% seconds, stacks independently up to %rune_1_max_stack% layers, each layer reduces armor by %rune_1_armor%"  
"DOTA_Tooltip_ability_chaotic_frost_arrows_rune_2"              "Immortal II: TBD"  
"DOTA_Tooltip_ability_chaotic_frost_arrows_rune_2_Description"  ""  
"DOTA_Tooltip_ability_chaotic_frost_arrows_rune_3"              "Immortal III: TBD"  
"DOTA_Tooltip_ability_chaotic_frost_arrows_rune_3_Description"  ""


"DOTA_Tooltip_ability_chaotic_tri_comet"	"Trigger Ability: Comet"  
"DOTA_Tooltip_ability_chaotic_tri_comet_Description"	    "Trigger: CometAuto-cast: Consumes trigger charges to summon comets onto up to %count% nearby enemies affected by Frostbite, dealing massive ice-type damage and applying Freeze.If no trigger charges are available, the ability can still be used at the cost of mana, but with doubled cooldown."  
"DOTA_Tooltip_ability_chaotic_tri_comet_cooldown"	    "Cooldown:"  
"DOTA_Tooltip_ability_chaotic_tri_comet_find_radius"	"Targeting Range:"  
"DOTA_Tooltip_ability_chaotic_tri_comet_mana_cost"	    "Mana Cost (when out of charges):"  
"DOTA_Tooltip_ability_chaotic_tri_comet_cost"	        "Trigger Charges Consumed:"  
"DOTA_Tooltip_ability_chaotic_tri_comet_damage"	        "Base Damage:"  
"DOTA_Tooltip_ability_chaotic_tri_comet_bonus_damage"	"Bonus Damage: Primary Attribute ×"  
"DOTA_Tooltip_ability_chaotic_tri_comet_radius"	        "Explosion Radius:"  
"DOTA_Tooltip_ability_chaotic_tri_comet_duration"	    "Freeze Duration:"  

"DOTA_Tooltip_ability_chaotic_tri_comet_rune_1"              "Immortal I: Mystical Surge"  
"DOTA_Tooltip_ability_chaotic_tri_comet_rune_1_Description"  "Number of comets reduced by %rune_1_count%, final radius reduced by %rune_1_radius%, and total damage decreased by %rune_1_damage%%%, but comets now fall in groups of three."  
"DOTA_Tooltip_ability_chaotic_tri_comet_rune_2"              "Immortal II: Shattering Extinction"  
"DOTA_Tooltip_ability_chaotic_tri_comet_rune_2_Description"  "Comet damage increased by %rune_2_damage%%%. However, it only triggers on Frozen targets and no longer applies Freeze."  
"DOTA_Tooltip_ability_chaotic_tri_comet_rune_3"              "Immortal III: TBD"  
"DOTA_Tooltip_ability_chaotic_tri_comet_rune_3_Description"  ""
