"DOTA_Tooltip_ability_Primary_fire_blast"	"Primary Fire Blast"
"DOTA_Tooltip_ability_Advanced_Time_Drain_Description"	"When attacking, there is a chance to steal target's time, reduce cooldown of self's spells/items, and deal damage that is several times target's HP recovery per second. <br><font color=\"#777777\">This spell book can be dropped by defeating the corresponding boss who has this spell</font><br><br><br>[Master of Time Management] When attacked, there is a 10%% chance to hide oneself in Claszureme for 0.1 seconds and reduce incoming damage by 100%%  in the meantime.<br><br>[Stand] search and deal one normal attack to the nearest enemy unit within 300 every second, activating all attack modifiers."
"DOTA_Tooltip_ability_Advanced_Time_Drain_Lore"	"Humans think they control nature, but only [time] is not in."	
"DOTA_Tooltip_ability_Advanced_Time_Drain_Note0"	"Доп. инфа: <br>some incompatible spells and items are not affected. <br>deal multiple damage to enemies with negative health recovery as well, multiplied by a negative number."
"DOTA_Tooltip_ability_Advanced_Time_Drain_cooldown_reduction"	"Steal Time:"
"DOTA_Tooltip_ability_Advanced_Time_Drain_chance"	"% Шанс срабатывания:"
"DOTA_Tooltip_ability_Advanced_Time_Drain_healthRegen_index"	"Health Recovery Multiplier:"







"DOTA_Tooltip_ability_Primary_Double_Hit"	"Primary Double Hit"
"DOTA_Tooltip_ability_Primary_Double_Hit_Description"	"Атаки имеют шанс снова атаковать цель."
"DOTA_Tooltip_ability_Primary_Double_Hit_Note0"	"Доп. инфа:<br>Дополнительные атаки генерируются сразу после удара и могут вызывать эффекты атаки.<br>Будет пассивно отключен Разрушением."
"DOTA_Tooltip_ability_Primary_Double_Hit_Lore"	"Закаленные в боях воины будут иметь привычку наверстывать упущенное."
"DOTA_Tooltip_ability_Primary_Double_Hit_bash_chance"	"% Шанс срабатывания: "

"DOTA_Tooltip_ability_Advanced_Time_Dilation"	"Advanced Time Drain"
"DOTA_Tooltip_ability_Advanced_Time_Dilation_Description"	"Выпустить взрыв энергии во всех направлениях, крадет время у пораженных врагов. Снижает его двойную скорость и усиливает себя, а также заставит навыки затронутого юнита уйти на перезарядку и/или увеличить их перезарядку.<br><br>"
"DOTA_Tooltip_ability_Advanced_Time_Dilation_Lore"	"Существа в межпространственном горизонте обладают абсолютным контролем над временем и, как четырехмерные существа, могут легко украсть время у трехмерных существ."
"DOTA_Tooltip_ability_Advanced_Time_Dilation_cooldown_increase"	"Увеличение перезарядки: "
"DOTA_Tooltip_ability_Advanced_Time_Dilation_cooldown_start"	"Начальное восстановление: "
"DOTA_Tooltip_ability_Advanced_Time_Dilation_radius"	"Радиус: "
"DOTA_Tooltip_ability_Advanced_Time_Dilation_move_slow"	"% Замедление скорости передвижения: "
"DOTA_Tooltip_ability_Advanced_Time_Dilation_attack_slow"	"Скорость атаки снижена: "
"DOTA_Tooltip_ability_Advanced_Time_Dilation_move_bonus"	"% Бонус к скорости передвижения: "
"DOTA_Tooltip_ability_Advanced_Time_Dilation_attack_bonus"	"Бонус к скорости атаки: "


"DOTA_Tooltip_ability_Advanced_Stifling_Dagger"	"Advanced Stifling Dagger"

"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_Description"	"Поражает цель несколькими кинжалами, замедляя их скорость передвижения и нанося эффект атаки с дополнительным уроном.<br><br>[Теневой Клон Кинжала] Поиск До 3 врагов вокруг цели применяют тот же эффект.<br><br>[Непрерывный бросок]Вы можете бросить 2 кинжала в одну и ту же цель.<br><br>"
"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_Lore"	"Кинжал, брошенный мастером ассасинов, контролируется невидимой рукой, и даже если вы сопротивляетесь одной атаке, вы никогда не знаете, когда придет следующая атака, потому что вы уже потеряли свою жизнь."
"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_move_slow"	"Замедление скорости передвижения: "
"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_slow_duration"	"Длительность: "
"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_bonus_damage"	"% Дополнительный бонус атаки: "

"DOTA_Tooltip_ability_Advanced_Stifling_Dagger_Note0"	"Доп. инфа:<br>Большинство модификаторов атаки, активируемых кинжалами, наследуют дополнительный урон от атаки.<br>Атаки не вызывают специальных эффектов, таких как раздельная атака и раздельная стрела.<br><font color=\"#5bc0de\">На него влияет сопротивление эффектам.</font>"


"DOTA_Tooltip_ability_Advanced_Phantom_Strike"	"Advanced Phantom Strike"

"DOTA_Tooltip_ability_Advanced_Phantom_Strike_Description"	"Скачок к цели и увеличение скорости атаки.<br><br>[Экстремальная скорость] получите базовый интервал атаки 0,7 в течение первой секунды.<br><br>[Дух Бога] Скорость передвижения увеличена на 500 единиц."
"DOTA_Tooltip_ability_Advanced_Phantom_Strike_Lore"	"Это как воздух, ты его не видишь, но он реально существует вокруг тебя."
"DOTA_Tooltip_ability_Advanced_Phantom_Strike_bonus_attack_speed"	"Бонус к скорости атаки: "
"DOTA_Tooltip_ability_Advanced_Phantom_Strike_buff_duration"	"Длительность:"


"DOTA_Tooltip_ability_Advanced_Blur"	"Advanced Blur"

"DOTA_Tooltip_ability_Advanced_Blur_Description"	"Размывайте себя, чтобы избежать атаки противника.\n Активное высвобождение: примените слабое рассеивание и станьте неуязвимым на 1 секунду.<br><br>[Побег]Каждый союзный герой в радиусе 700 единиц увеличивает уклонение на 6%%, а каждый союзный юнит увеличивает уклонение на 2%%.Максимальное суммирование составляет 60%%, а основной эффект накладывается нелинейно.<br><br>[Невидимый] Используйте врага, чтобы заблокировать ему обзор и нанести смертельный удар.Каждый враг в радиусе 700 единиц увеличивает силу атаки на 3%."
"DOTA_Tooltip_ability_Advanced_Blur_Lore"	"Этому навыку редко учатся, даже среди мастеров-убийц. Возвращаясь к источнику, кажется, что эту технику изобрел человек по имени Альтаир"
"DOTA_Tooltip_ability_Advanced_Blur_Note0"	"Доп. инфа:<br>Дополнительные бонусы уклонения складываются нелинейно с базовым значением.<br>Иллюзии не дают бонусных характеристик.<br>"
"DOTA_Tooltip_ability_Advanced_Blur_evasion"	"% Шанс уклонения: "
"DOTA_Tooltip_ability_Advanced_Blur_blur_ms"	"Длительность невидимости: "
"DOTA_Tooltip_ability_Advanced_Blur_bonus_evasion_for_base"	"% Каждый миньон дает шанс уклонения: "





"DOTA_Tooltip_ability_Advanced_Fire_Blast"	"Advanced Fire Blast"
"DOTA_Tooltip_ability_Advanced_Fire_Blast_Description"	"Насыщает всех врагов вокруг центра цели летучим химическим веществом, вызывая взрыв. Наносит урон и оглушает, и наносит урон от горения на определенный период времени, а также снижает скорость атаки и скорость передвижения."
"DOTA_Tooltip_ability_Advanced_Fire_Blast_Lore"	"Это один из самых простых навыков высокого уровня для людей-магов.На самом деле, пока вы достаточно хороши в химии, вы можете использовать Промежуточный огненный взрыв для достижения того же эффекта."
"DOTA_Tooltip_ability_Advanced_Fire_Blast_stunned_damage"	"Основной урон: "
"DOTA_Tooltip_ability_Advanced_Fire_Blast_stunned_duration"	"Время оглушения: "
"DOTA_Tooltip_ability_Advanced_Fire_Blast_debuff_duration"	"Время горения: "
"DOTA_Tooltip_ability_Advanced_Fire_Blast_debuff_damage"	"Горящий Урон: "
"DOTA_Tooltip_ability_Advanced_Fire_Blast_move_slow"	"Замедление: "
"DOTA_Tooltip_ability_Advanced_Fire_Blast_attack_slow"	"Замедление атаки: "
"DOTA_Tooltip_ability_Advanced_Fire_Blast_cast_distance"	"Дальность заклинания: "





"DOTA_Tooltip_ability_Advanced_Blood_Lust"	"Advanced Blood Lust"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_Lore"	"Навыки, тесно связанные с берсерками. К сожалению, большинство берсерков могут выучить только базовые навыки. Они лучше владеют навыками, связанными с силой, а не с использованием магии. Так что в некоторых командах с берсерками будут жрецы."
"DOTA_Tooltip_ability_Advanced_Blood_Lust_Description"	"Вызывает безумие у цели и окружающих дружественных юнитов, увеличивая атаку, скорость атаки и скорость передвижения.<br><br>[Певец] Увеличивает дальность заклинания еще на 150, уменьшает размах предварительного заклинания на 40%% и увеличивает урон умения на 10%%. Бонус перед заклинанием не суммируется.<br><br>[Состояние суперпозиции] Состояние может быть наложено, и время рассчитывается независимо, но существует 6%% уменьшающаяся предельная выгода (то есть доход третьего слоя = 0,94*0,94=88,36%)<br><br>"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_buff_duration"	"Длительность: "
"DOTA_Tooltip_ability_Advanced_Blood_Lust_move_bonus"	"% Увеличение скорости передвижения: "
"DOTA_Tooltip_ability_Advanced_Blood_Lust_attack_speed_bonus"	"Увеличение скорости атаки : "
"DOTA_Tooltip_ability_Advanced_Blood_Lust_attack_damage_bonus"	"Увеличение силы атаки: "


"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice"	"Advanced Blood Sacrifice"
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_Description"	"Пожертвуйте своим текущим процентом HP в обмен на благословение Бога Крови и получите как физические, так и магические улучшения.<br><br>[Состояние суперпозиции] Состояние может быть наложено, и время рассчитывается независимо, но существует 6%% уменьшающаяся предельная выгода (то есть доход третьего слоя = 0,94*0,94=88,36%%)<br><br>[Кровавая ярость] Получите 3%% урона от способности вампира. (Эффект не суммируется)"
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_Lore"	"Иногда сдавать кровь нужно просто для того, чтобы отдать кровь, а не из самоотверженности."
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_hp_percent"	"%Жертвы текущего здоровья: "
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_buff_duration"	"Длительность: "
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_attack_speed_bonus"	"Увеличение скорости атаки: "
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_attack_damage_bonus"	"% Увеличение атаки: "
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_ability_damage_bonus"	"%бонус к урону способности: "
"DOTA_Tooltip_ability_Advanced_Blood_Sacrifice_cast_distance"	"Увеличение дальности: "
"DOTA_Tooltip_modifier_Advanced_Blood_Sacrifice_buff"                   "Advanced Blood Sacrifice"
"DOTA_Tooltip_modifier_Advanced_Blood_Sacrifice_buff_Description"                   "Gives combat capability increase"

"DOTA_Tooltip_modifier_Advanced_Blood_Sacrifice_unlock3_buff"                   "Advanced Blood Sacrifice"
"DOTA_Tooltip_modifier_Advanced_Blood_Sacrifice_unlock3_buff_Description"                   "Greatly improve combat capability"









"DOTA_Tooltip_ability_Advanced_Windrun"	"Advanced Windrun"
"DOTA_Tooltip_ability_Advanced_Windrun_Lore"	"Идя против ветра, рейнджеры в лесу Луносвета благословлены стихией ветра, и они рождаются со способностью выполнять превосходные движения ветра.Другим, если они хотят изучить этот навык, им нужно приложить много усилий. усилие."
"DOTA_Tooltip_ability_Advanced_Windrun_Description"	"Увеличивает скорость передвижения и дает 90%% уклонения.<br><br>[Поза ветра] Скорость передвижения превысит лимит<br><br>[Поле ветра] и в этом состоянии враги в радиусе 300 вокруг будут постоянно отбрасываться назад, нанося им урон с ловкостью*0,3 в секунду."
"DOTA_Tooltip_ability_Advanced_Windrun_Note0"	"Доп. инфа:"
"DOTA_Tooltip_ability_Advanced_Windrun_bonus_move_speed"	"% Увеличение скорости передвижения: "
"DOTA_Tooltip_ability_Advanced_Windrun_duration"	"Длительность: "



"DOTA_Tooltip_ability_Advanced_Powershot"	"Advanced Powershot"
"DOTA_Tooltip_ability_Advanced_Powershot_Description"	"Зарядитесь, чтобы выстрелить волшебной стрелой, наносящей урон.<br><br>[Разрушение армии] Пораженные враги будут отброшены на определенное расстояние, а их скорость передвижения будет снижена на 50% на 5 секунд.<br><br>[Штормовой ветер] Атакует пораженного врага."
"DOTA_Tooltip_ability_Advanced_Powershot_Lore"	"Кажется, что он просто пробивает небольшую дыру в фаланге, сформированной десятками миллионов воинов, а на самом деле это удар, который сломит армию, и армия врага рухнет и будет перебита."
"DOTA_Tooltip_ability_Advanced_Powershot_basic_damage"	"Основной урон:"
"DOTA_Tooltip_ability_Advanced_Powershot_attack_damage"	"Множитель силы атаки:"
"DOTA_Tooltip_ability_Advanced_Powershot_range"	"Расстояние:"
"DOTA_Tooltip_ability_Advanced_Powershot_Note0"	"Доп. инфа:<br>Скорость полета 3000.<br>Атаки не вызывают специальных эффектов, таких как раздельные атаки и раздельные стрелы."


"DOTA_Tooltip_ability_Advanced_Focus_Fire"	"Advanced Focus Fire"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_Description"	"Focuses all attention on one target, attacks at extremely fast speed, and gain mobile attack.<br><br>[Pilgrimage] Gain 5 points of additional attack speed for each attack, as focus increases with number of attacks luanched. <br><br>[Allround Shot] attacks have a %chance%% chance to apply 1 stack of [Allround break] to enemies.\n[Allround break]: Reduces armor by %armor_reduce% points, magic resistance by %magic_resist_reduce%%, and movement speed by %move_reduce%, lasting %reduce_duration% seconds. This debuff is not subject to negative amplification or status resistance effects."
"DOTA_Tooltip_ability_Advanced_Focus_Fire_Lore"	"Рейнджеры рождаются с чрезвычайно высокими способностями.Большинство из них могут поражать цели на расстоянии трехсот-четырехсот метров.Если эта способность сосредоточена на цели ближнего действия, они могут поражать друг друга без преднамеренного прицеливания."
"DOTA_Tooltip_ability_Advanced_Focus_Fire_focusfire_damage_reduction"	"%Процент силы атаки:"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_bouns_speed"	"Увеличение скорости за атаку:"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_duration"	"Длительность:"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_Note0"	"Доп. инфа:<br>Все эффекты генерируются только при атаке основной цели.<br>Дополнительные атаки не активируют такие эффекты, как Cleave Attack и Split Arrow"






"DOTA_Tooltip_ability_Advanced_Shallow_Grave"	"Advanced Shallow Grave"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_Description"	"Накладывает на цель тонкое погребение, которое не умирает в течение всего времени действия, но не освобождает от эффекта мгновенной смерти.<br><br>[Траур] 30%% фатального урона, полученного во время действия, будут преобразованы в урон и нанесут урон врагам в радиусе 500 после окончания.(max value = caster's max mana *20)<br><br>[Духовное погребение] Цель получит бонус 30%% ко всем атрибутам заклинателя на время действия эффекта."
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_Lore"	"Ритуал без смерти приходит с частью злого бога Сила, и сила смерти усиливается." 

"DOTA_Tooltip_ability_Advanced_Shadow_Wave"	"Advanced Shadow Wave"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_Description"	"Выпустить прыгающую дугу энергии, которая мгновенно исцеляет союзников и наносит урон ближайшим врагам.<br><br>[Волна Света] Восстанавливает дополнительно 20%% текущего потерянного здоровья союзника, и эта часть значения будет считаться дополнительным уроном.<br><br><br>[Ночной щит] Каждый вылеченный союзник может увеличить значение защиты основной цели на 4 очка на 10 секунд."
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_bounce_radius"	"Расстояние отскока:"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_bounce_number"	"Количество отскоков:"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_duration"	"Длительность:"

"DOTA_Tooltip_ability_Advanced_Shallow_Grave_duration"	"Длительность:"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_cast_range"	"Дальность применения:"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_Note0"	"Доп. инфа:<br><font color=\"#d9534f\">не обновляемый</font><br><br>Эффект погребения на вас не действует."
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_Note0"	"Доп. инфа:<br>Он не учитывает себя при подсчете выброса.<br><font color=\"#5bc0de\">Исцеляющие баффы влияют только на количество исцеления, а не на урон.</font>"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_Lore"	"Может лечить союзников и наносить урон врагам, что может быть лучше, чтобы почтить добродетели?"


"DOTA_Tooltip_ability_Advanced_Bad_Juju"	"Advanced Bad Juju"

"DOTA_Tooltip_ability_Advanced_Bad_Juju_Lore"	"Каждое заклинание Царства Пустоты позволяет ему все дальше проникать в земное окружение."
"DOTA_Tooltip_ability_Advanced_Bad_Juju_Description"	"Уменьшает время восстановления умений и предметов.<br><br>Каждый раз, когда вы произносите заклинание, оно извлекает энергию из пяти врагов в радиусе 1000 ед., уменьшая их силу атаки на 5 % от их интеллекта на 10 секунд. Продолжительность рассчитывается независимо и может суммироваться.<br><br>[Плетение] Каждое применение применяет эффект к пяти врагам в радиусе 1000 от вас, уменьшая их броню на одно очко каждые 5 секунд в течение 20 секунд."
"DOTA_Tooltip_ability_Advanced_Bad_Juju_Note0"	"Доп. инфа:<br>Навыки с кулдауном менее 5 секунд не вызывают дополнительных эффектов.<br>Сначала герои."
"DOTA_Tooltip_ability_Advanced_Bad_Juju_cooldown_reduction"	"%Сокращение перезарядки:"

"DOTA_Tooltip_ability_Advanced_Dual_Breath"	"Advanced Dual Breath"
"DOTA_Tooltip_ability_Advanced_Dual_Breath_Description"	"Выстреливает льдом и огнем вперед, нанося урон в секунду и замедляя.<br><br>[Экстремальная жара] каждую секунду наносит урон, равный 1,5%% от текущего запаса здоровья врага, но максимальное значение составляет 20%% от его собственного максимума маны.<br><br>[Холод] Под отрицательным эффектом скорость атаки будет снижена еще на 2, а скорость передвижения будет уменьшена еще на 4 в секунду."
"DOTA_Tooltip_ability_Advanced_Dual_Breath_damage_per_second"	"Урон в секунду:"
"DOTA_Tooltip_ability_Advanced_Dual_Breath_intelligence_index"	"Урон Множитель интеллекта:"
"DOTA_Tooltip_ability_Advanced_Dual_Breath_move_slow"	"Замедленние движения:"
"DOTA_Tooltip_ability_Advanced_Dual_Breath_attack_speed_slow"	"Замедление атаки: "
"DOTA_Tooltip_ability_Advanced_Dual_Breath_slow_boost"	"Усиление замедления:"
"DOTA_Tooltip_ability_Advanced_Dual_Breath_duration"	"Длительность:"


"DOTA_Tooltip_ability_Advanced_Liquid_Frost"	"Advanced Liquid Frost"
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_Description"	"Выплюнуть в цель облако жидкого льда или зачаровать лед в атаку, вызывая обморожение врагов в радиусе действия, увеличивая урон и снижая скорость передвижения.\n[Поток] Враги, затронутые основным состоянием, будут распространять вторичный эффект на окружающих юнитов в радиусе 500 каждые 2 секунды, вызывая удвоение продолжительности, но вдвое меньше эффекта.\n[Повышение холода] Лед прикрепляется к поверхности врага, и когда накопленный урон составляет 10% от максимального HP в течение 10 секунд, ледяной цветок конденсируется, замораживая врага в радиусе 300 единиц на 0,5 секунды. Вторичные эффекты этого эффекта не наследуются, и на них влияет только 50%% сопротивление эффектам."
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_Lore"	"Жидкий лед находится в переохлажденном состоянии, и только небольшое количество зародышеобразователя может способствовать его превращению в ледяную воду, а жидкий лед, наделенный магической силой, может мгновенно изменить ситуацию при правильном использовании."
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_Note0"	"Доп. инфа:<br>Дальность каста и дальность атаки одинаковы.<br>эффект [Увеличение холода] можно рассеять, но эффект заморозки можно рассеять только сильно, и после рассеивания счетчик урона исчезнет. Каждый жидкий лед можно активировать только один раз, и переключатель триггера сбрасывается при добавлении или обновлении состояния.<br>Не зависит от сопротивления эффектам.<br>"
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_move_slow"	"Замедленние движения:"
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_bonus_damage"	"%Повышение урона:"
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_radius"	"Радиус: "
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_effect_number"	"Количество воздействий:"
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_duration"	"Длительность:"

"DOTA_Tooltip_ability_Advanced_Macropyre_Description"	"Создает пламя в указанном направлении, постоянно нанося урон врагам на пути.<br><br>[Кость нежити] За каждого врага в области урон от огня увеличивается на 3%% (линейно), если противник погибает в огне, урон от умения, наносимого заклинателем в следующие 10 секунд, увеличивается на 4,5 %% .<br><br>[Мимоходный огонь] Каждый враг, убитый в этом районе, будет превращен в дрова, что увеличит продолжительность пламени на 0,5 секунды.Bonus time: up to 35 seconds"
"DOTA_Tooltip_ability_Advanced_Macropyre_Lore"	"Давным-давно мир был хаотичным миром, без различия между небом и землей, только деревья, бессмертные древние драконы и серые скалы, и все было окутано густым туманом. Однако однажды под неким деревом появилась первая печь, так что в мире были свет и тьма, и тогда привлеченные огнём, из тьмы родились существа."
"DOTA_Tooltip_ability_Advanced_Macropyre_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Advanced_Macropyre_intelligence_index"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Advanced_Macropyre_duration"	"Длительность:"

"DOTA_Tooltip_ability_Advanced_Malefice"	"Advanced Malefice"
