


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_antimage"	"Momentary Blink"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_sven_2_Lore"	"The Knights of the Vigil were renowned for their skill in battle. The stories of Sven, Geeta the Wildblade, and Klemens have captured the imagination of so many... you can't throw a rock in the Gardens of Freth without hitting a group of school kids recreating their adventures. But playing a knight is easy... wielding one of their swords is far more challenging.— Jolixia, The Card Faun"


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_keeper_of_the_light"	"форма души"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_keeper_of_the_light_Description"	"Изаро заставляет свое тело светиться, увеличивая скорость применения на 40%% и увеличивая дальность применения на 300 единиц."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_keeper_of_the_light_Lore"	"Во вспышке света Изаро показал свою истинную и изначальную форму."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tinker"	"пополнение"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tinker_Description"	"Через 1 секунду после того, как механик применит обновляемое умение, если умение все еще находится на перезарядке, время восстановления умения будет сброшено, а перезарядку вместо этого поместит его на тинкера скилл."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tinker_Lore"	"Здесь новая батарея, там несколько ракет, а Бош продолжает совершенствовать существующую технику."


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bane"	"Литье страха"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bane_Description"	"Bane's twisted nature grants him %bonus_nega%%% increased duration on negative effects, but at the cost of %posi_down%%% reduced duration on positive effects."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bane_Lore"	"Боль, вызванная источником неприятностей, подобна первой волне кого-то, выбирающего теневого демона 5-го уровня."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_oracle"	"Судьба переписать"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_oracle_Description"	"Оракул может оживлять союзников, не переходя в ослабленное состояние, а это значит, что вы можете оживлять сразу 4 союзников без штрафа."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_oracle_Lore"	"Тщательно интегрируя сложные навыки в свои руки, Оракул может управлять судьбой своих товарищей по команде."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_beastmaster"	"царь зверей"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_beastmaster_Description"	"Повелитель зверей изначально получает 20%% силы призыва и 10%% бонус времени призыва."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_beastmaster_Lore"	"Повелитель зверей является командиром всех зверей и имеет очень высокую склонность к призыву."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dark_seer"	"Стратегия"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dark_seer_Description"	"Dark Seer empowers all allied heroes with %bonus_spell_amp%%% increased spell amplification and healing amplification."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dark_seer_Lore"	"Темные мудрецы способны переломить ход битвы в свою пользу."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_mars"	"Half a blood Arena"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_mars_Description"	"Increases health regeneration speed of allies within 500 radius with Mars’ foot as the centre by %heal%% maximum health/sec."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_mars_Lore"	"Wherever Mars goes, it becomes a battlefield."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_magnataur"	"Гигантский рог"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_magnataur_Description"	"Magnus rushes towards a direction, goring enemy units on his massive tusk to the finish point, dealing damage equal to his STR*5+200, becoming invisible during his sprint."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_magnataur_Lore"	"Для потенциальных торговцев ценность рога получеловека-носорога пропорциональна ущербу, который может нанести рог."


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_phantom_assassin"	"Фантом"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_phantom_assassin_Description"	"В невидимость можно войти, когда в радиусе 400 есть союзники, которые не находятся в невидимости. Эта невидимость не будет снята атакой или произнесением заклинаний.<br><br>Требуется 3 секунды, чтобы войти в невидимость."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_phantom_assassin_Lore"	"На ходу и в тени познай свет."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_techies"	"взрывные работы"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_techies_Description"	"After 1 second of friendly heroes death, deals magic damage equal to 50%% of its own health to enemies within a 700 radius. Also reduces 50%% respawn time of Techies."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_techies_Lore"	"Куда мы идем?"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_silencer"  "Silencing Curse" 
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_silencer_Description"  "Silencer gains %bonus_int% Intelligence for each unit he kills, up to %int_index% times his base Intelligence." 
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_silencer_Lore"  "The Silencer extends silence, absorbing speech."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tidehunter"	"Разрушатель"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tidehunter_Description"	"Когда HP Tide Hunter падает ниже 50%%, он возвращается к своей первоначальной форме, получает бонусы к сопротивлению магии и эффектам на 40%%, а также увеличивает свою силу на 20%% на 20 секунд."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tidehunter_Lore"	"Tidehunter в ярости сокрушил своих врагов."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_terrorblade"	"Разбитая душа"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_terrorblade_Description"	"When taking fatal damage, swaps health with a random allied hero who has a higher percentage of health than %line%% . The result of the health swap will not leave Terrorblade with less than %base%% of his maximum health."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_terrorblade_Lore"	"Вы хотите эту жизнь? Демоны-рейдеры украли именно то, что вам дороже всего."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_morphling"	"Остаток средств"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_morphling_Description"	"Increases attack range by %index%% of the percentage of time spent moving over the past %time% seconds.<br>Increases attack damage by %index%% of the percentage of time spent not moving over the past %time% seconds.\nBoth effects maintain a minimum of %min%% effectiveness."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_morphling_Lore"	"Морфлинг познал истинный смысл поддержания баланса через трансформацию за трансформацией."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_chaos_knight"	"Постановление"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_chaos_knight_Description"	"Chaos Knight's ability to use Chaos gives him a bonus attack damage, but this power is unstable, bonus varying from -50 to 120. "
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_chaos_knight_Lore"	"Chaos theory is a method that combines qualitative thinking and quantitative analysis. It’s used to discuss behaviours in dynamic systems (such as population movement, chemical reaction, climate changes, social behaviour, etc.) that must be explained and predicted by overall, continuous rather than single data relationships"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_meepo"	"Synthetic We Stand"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_meepo_Description"	"Meepo grants a ability point every 4 rounds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_meepo_Lore"	"Multi-line operation is too difficult, and sometimes it is not a bad thing to be integrated into one."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_witch_doctor"	"Hanging Pot To Help The World"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_witch_doctor_Description"	"Witch Doctor's expertise in medicine grants him a healing amplification of %heal_amp%% + %heal_amp_lvl%% * hero level."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_witch_doctor_Lore"	"Zharvakko has a unique understanding of medicine."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_jakiro"	"The Amalgamation Of Ice And Fire"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_jakiro_Description"	"Jakiro's Liquid Ice and Liquid Fire do not consume mana, and the cooldown of Liquid Fire is reduced by %fire_cd_reduce% seconds, while the cooldown of Liquid Ice is reduced by %ice_cd_reduce% seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_jakiro_Lore"	"Trapped within the armature of its monstrous body, the powers of ice and fire combine, and now no enemy is safe."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_enigma"	"Oblivion's Gaze"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_enigma_Description"	"When Enigma activates his Malefice, it deals an additional %damage%%% damage and has an increased area of effect by %radius%%. Moreover, its cooldown before reductions is shortened by %cd_reduce% seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_enigma_Lore"	"The malice from beyond the world cannot directly annihilate the surface realm, yet its impact remains fiercely potent."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_earthshaker"	"The Mountains Echoed"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_earthshaker_Description"	"Increase your strength by %str_bonus% points when allies cast spell and you gain Echo, independent stacking and lasting for 30 seconds"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_earthshaker_Lore"	"Frightens all armies and renowned in the world."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_slardar"	"Water Area"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_slardar_Description"	"Slardar gains phased movement ability, increasing movement speed by 30%% and will not be slowdown."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_slardar_Lore"	"Slardar will transform the ground beneath him into water and exert his power in the ocean."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pangolier"	"Rolling Thunder"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pangolier_Description"	"Pangolier rolled forward in a spell immune orb. Enemies will be knocked back when hit, then take damage equal to Pangolier's Full ATK*1.2, and be stunned for 1.5 second. Lasts 10 seconds"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pangolier_Lore"	"Where his ancestors sought only refuge, the Pangolier saw opportunity…"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pangolier_Note0"	"Note:If automatic casting is turned on. It can be casted when quickly issuing two move commands."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_weaver"	"Geminate Attack"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_weaver_Description"	"Permits Weaver to instantly perform %count% additional attacks, which can trigger non-splitting attack modifiers."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_weaver_Lore"	"Skitskurr's relationship with time is somewhat variable, causing his actions to be witnessed — and felt — more than once."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_weaver_Note0"	"Note:<br>Affected by Spit Shot disabled"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_storm_spirit"	"Overload"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_storm_spirit_Description"	"When cast, an electric charge is generated, which will be released in Storm Spirit’s next attack, dealing 150%% of magic damage to enemies within 350 radius around the target and reducing attack speed by 20 and movement speed by 60%% for 0.6 seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_storm_spirit_Lore"	"Pow! Zip! Zap!"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_storm_spirit_Note0"	"Note: Overload cannot be dispelled, but negative status can be dispelled with weak dispels.  <br>Skills with a cooldown of less than 3 seconds do not trigger"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_chen"	"Divine Favor"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_chen_Description"	"Chen's divine grace envelops friendly non-hero units within a %radius% radius, bestowing them with %incoming_down%%% damage reduction and enhancing their damage output by %bonus_outgoing%%%."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_chen_Lore"	"Chen's zeal is infectious, blessing his allies with vitality and compelling them to his side."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dark_willow"	"Bedlam"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dark_willow_Description"	"Jakiro orbits around Dark Willow, simultaneously launching magical missiles at a random enemy within a %radius% radius of himself every %interval% seconds, dealing damage equal to the total sum of his attributes multiplied by %atb_damage%%%.""DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dark_willow_Lore"	"You'll have to excuse my friend Jex. He's really into murder."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_windrunner"	"Ultimate Source Of Wind"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_windrunner_Description"	"Windrunner can surpass movement speed limits and traverse terrain, and she gains attack speed based on %move_attack_speed%%% of her current movement speed."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_windrunner_Lore"	"The feet born with wings can travel to from earth to heaven."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ancient_apparition"	"Fragility"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ancient_apparition_Description"	"Enemies within %radius% radius around Ancient Apparition have their movement speed slowed by %move_down%% and suffer a %damage_incoming%% reduction in damage mitigation."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ancient_apparition_Lore"	"Ancient storms of ice that flowed out of the Frozen Body of Kaldr froze the inhabitants of this world into monuments of his eternal power"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lina"	"Fiery Passion"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lina_Description"	"<h1>Passive: Soul Ignite</h1>Each time Lina casts a spell, she gains increased movement speed and reduced cast time, stacking independently for a certain duration.\n<font color='#F0FFFF'><h1>Awakening: Blazing Frenzy</h1></font><br>After continuously maintaining the maximum stacks of 'Soul Ignite' for %line% seconds in each combat round, Lina breaks through her movement speed cap and gains skill enhancement equivalent to %index%%% of her movement speed (up to a maximum of %max%%%), lasting until the end of the round."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lina_Lore"	"The dancing flames embody Lina's playful nature, showcasing her true fiery self."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lina_move"	"% Movement Speed per Stack:"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lina_speed"	"% Cast Time Reduction per Stack:"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lina_max_count"	"Maximum Stacks:"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lina_duration"	"Duration:"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lina_Note0"	"<font color='#606060'>Triggered by skills with a cooldown greater than 2 seconds;<br>The Awakening state is exited and progress reset at the start of each round.</font>"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_invoker"	"Invoker"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_invoker_Description"	"Invoker's super memory allows him to learn 1 more skill than others."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_invoker_Lore"	"A new era of knowledge begins."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_wisp"	"Affinity"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_wisp_Description"	"Io unleashes its Affinity Breath, granting all allied heroes %lifesteal%%% lifesteal from attack damage and %bonus_atb_perlvl% attribute gain per level."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_wisp_Lore"	"Io itself is the embodiment of the mysteries of the world."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_batrider"	"Arsonist"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_batrider_Description"	"When Batrider strikes, he ignites a Fuel Zone at the target location, dealing damage equal to the total sum of his attributes multiplied by %atb_damage%%% to enemies within a radius of %radius% every second, lasting for %duration% seconds.""DOTA_Tooltip_ability_heroTalent_npc_dota_hero_batrider_Lore"	"A molotov cocktail is the weapon of choice for Batrider."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bounty_hunter"	"Bounty"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bounty_hunter_Description"	"Increase gold by 20%% as the reward brought by the Suffering challenge (also valid for allies)"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bounty_hunter_Lore"	"Using his elevated senses of sight and smell, Gondar's hits have quite a good chance of success."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bloodseeker"	"Parched"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bloodseeker_Description"	"When entering a round with auto-cast enabled, Bloodseeker will start with only %hp%% of his maximum health, but will gain %suck%% lifesteal and %bonus_attack_speed% bonus attack speed for the duration of the round."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bloodseeker_Lore"	"Strygwyr becomes frenzied when blood is spilled."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_sniper"	"Assassinate"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_sniper_Description"	"Each attack has a %chance%% chance to trigger a Miniature Assassination, dealing %damage_index%% of Sniper's full attack damage as physical damage to the target."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_sniper_Lore"	"In order to fulfill the prophecy and return to his home town, Kardel must make another shot as perfect as the one on the day of his ancient test."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_gyrocopter"	"Side Gunner"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_gyrocopter_Description"	"Gyrocopter can store ammunition, accruing one attack every %time% seconds, up to a maximum of %max_count% stored attacks.\nWhen enemies are within attack range and auto-cast is enabled, fires attacks at the nearest enemy at a rate of %speed_interval% attacks per second, triggering non-splitting attack modifiers."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_gyrocopter_Lore"	"This newly rebuilt gyroplane is equipped with a spare machine gun that can automatically strafe approaching enemies."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_treant"	"Natural partner"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_treant_Description"	"Treant restores %heal%% of his max health to allies within 1000 radius at regular intervals."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_treant_Lore"	"The roots and tendrils of the Treant Protectors are far-reaching, stimulating the growth and rejuvenation of all of nature."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_undying"	"Flesh Golem"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_undying_Description"	"When health is above %ori_need%%, transform into [Blood Flesh Puppet]: Gain %status%% status resistance, %magic_resist%% magic resistance, and %armor% armor.<br><br>If not in [Blood Flesh Puppet] state, regenerate %hp_regen%% health per second."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_undying_Lore"	"The flesh of the recently dead add to the power of Dirge's plague"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_abaddon"	"Endless Malice"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_abaddon_Description"	"Upon taking damage, there is a %chance%% chance to unleash Malice upon up to %max_count% enemies within %radius%, dealing %base_damage% + Strength * %str_index% magical damage and healing Abaddon for the pre-tax value, guaranteed to trigger upon cooldown completion.\n<font color=\"#606060\">This talent can be triggered by damage from any source.</font>"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_abaddon_Lore"	"What should hurt, instead heals."



"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_skeleton_king"	"Ture King"
// "DOTA_Tooltip_ability_heroTalent_npc_dota_hero_skeleton_king_Description"	"skeleton regen health at 2%%maximum health/sec health while moving."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_skeleton_king_Description"	"Wraith King regenerates %heal%% of his maximum health/sec while moving. "


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_skeleton_king_Lore"	"Wraith King never walks normally, which enhances his regeneration ability."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_kunkka"	"Lord of the Ocean"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_kunkka_Description"	"Deals strength*%str_index% amount of damage to enemies in the 500 radius of the target in the next attack and stuns them %stun_duration% seconds as well."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_kunkka_Lore"	"The final ship of the Claddish Navy is nothing but a phantom, but it is all too real to the enemies of the Admiral."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_phoenix"	"Nirvana"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_phoenix_Description"	"In the state of automatic casting, ignores distance limit and allies rescue under week status. In this case, you will lose your life, but the allies will only need 10 seconds to respawn, and neither side will be weakened, and you will respawn in 20 seconds. (Unless you have other respawn skills, in which case reincarnation can't be reduced to 25 even if it is greater than 25 seconds)"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_phoenix_Lore"	"From its flames arise new beacons to wander infinity."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_doom_bringer"	"Lord of the All Demon"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_doom_bringer_Description"	"For every additional demon hero in the team, Doom Bringer will gain 5 armor, 20%% attack damage and 7% magic resistance."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_doom_bringer_Lore"	"Under the seven degrees of hell, only the Doom Bringer can move freely. All demons must submit to his feet, except of course the most lawless ones."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_doom_bringer_Note0"	"Note:<br>Name some demon Heroes: Chaos Knight, Underlord, Clinkz, Shadow Fiend, Terrorblade, Shadow Demon, Queen of Pain, Lion, Night Stalker."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_centaur"	"Strength Yearning"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_centaur_Description"	"Centaur gains bonus power equal to current level * 2.5."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_centaur_Lore"	"Each time the Warrunner increases his level, he will gain more power."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_axe"	"Eliminater"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_axe_Description"	"Enemies whose health is lower than 7%% or lower than their own maximum health* (number of rounds/50) cannot harm you."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_axe_Lore"	"Only one outcome for whoever dares to be the enemy of Axe, die."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_axe_Note0"	"Note:<br>Immune to half of damage from dead units."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pudge"	"Flesh Heap"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pudge_Description"	"When Pudge's allied hero dies, Pudge's strength will be permanently increased by 3 points (up to 20 + current rounds * 5 effective, but can ignore the upper limit and stack), and gain 6 temporary strength for 5 minutes, but up to 200."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pudge_Lore"	"The butcher gave the word ‘meat shield’ a new meaning."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pudge_Note0"	"Note:<br>Не отключается пассивным уничтожением."
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pudge_effect2"                   "Flesh Heap"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pudge_effect2_Description"       "Strength increased by %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%" 





"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bristleback"	"Bristle Strengthening"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bristleback_Description"	"Bristleback initially learn level 3 Bristleback. Increase damage of middle and advanced Quill Spray by 30%%."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bristleback_Lore"	"The honor of law enforcers is tricky to maintain. So is his quill"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_bristleback_Note0"	"Note:None."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_earth_spirit"	"The blessing of the earth"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_earth_spirit_Description"	"All allies gain %bonus_armor% points of armor and %bonus_magic_resist%% Magic resistance, and twice the effects for yourself."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_earth_spirit_Lore"	"The Mother Earth grants you a unique ability."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ember_spirit"	"The blessing of the ash"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ember_spirit_Description"	"Each time one round is completed, stack a layer of 'Afterglow', each layer of which can save you once from death, restoring half of health, which is cost later"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ember_spirit_Lore"	"The Fire God grants you a unique ability."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_brewmaster"	"Drunken Divinity"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_brewmaster_Description"	"%damage_reduction%%% of damage taken is delayed to be resolved over %duration% seconds, but the resolved damage is only %damage_changing%%% of that amount.When kill units,amount reduced by %kill_reduce%%%.<br><font color='#606060'>This talent does not defer self-inflicted damage.</font>"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_brewmaster_Lore"	"Drink to the present, for tomorrow may never come!"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_brewmaster"              "Tipsy Torment"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_brewmaster_Description"  "Still receives %dMODIFIER_PROPERTY_TOOLTIP%%% of the damage"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_void_spirit"	"Ethereal Shield"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_void_spirit_Description"	"Gains a shield equal to the total sum of your attributes multiplied by %atb_shield%. Upon the shield's break, the talent goes on cooldown, during which Void Spirit gains %bonus_attack_pct%%% increased attack damage."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_void_spirit_Lore"	"Wanderers of the Ethereal understand how to harness its subtle currents."
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_void_spirit_break"	"Conflux of Currents"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_void_spirit_break_Description"   "Increases attack damage"

