
"npc_monster_wave_1_2"	"Миньоны ближнего боя"
"npc_monster_Advanced_lackeys"	"Advvanced Melee Pawn"
"npc_dota_creature_ogre_tank"	"Ogre the Mallet"
"npc_monster_little_greevil"	"Little Greevil"
"npc_monster_mega_greevil"	"Hell Greevil"
"npc_monster_darkreef_prisoner_crab"	"Darkreef Small Crab"
"npc_dota_creature_troll"	"Cave Troll"
"npc_monster_warewolf"	"BloodyNight Warewolf"
"npc_monster_big_crab"	"Darkreef Adult Crab"
"npc_monster_king_crab"	"Darkreef King Crab"
"npc_hd_Claszian_Apostasy_phantom"	"Phantom of Claszian Apostasy"
"npc_hd_Claszian_Apostasy"	"Original of Claszian Apostasy"

"npc_hd_Supreme_Nevermore"  "Nevermore,the KING of the Shadow and Soul"



"npc_monster_middle_fire_element"	"Medium Fire Element"
"npc_monster_middle_earth_element"	"Medium Earth Element"
"npc_monster_middle_earth_element_statue" "Earth Statue"







"npc_monster_wave_10_1_clone"	"Ревенант Барнок"
"npc_monster_wave_31_1_clone"	"Ревенант Магнус"

"npc_hd_lina"	"Происхождение Огненной Лины"
"npc_hd_fire_dragon"	"Отец Огня Слирик"

"npc_hd_Brain_worm"	"Неизвестный взрослый мозговой червь"
"npc_hd_Brain_worm_clone"	"Неизвестный взрослый мозговой червь"
"npc_dota_creature_cyclops"	"Cyclops"



"npc_monster_challenge_001"	"Аватара Навинмора"
"npc_monster_challenge_002"	"Тень Сларка"
"npc_monster_challenge_003"	"Кусочки тайны"
"npc_monster_challenge_004"	"Сердце Волчьего Короля"
"npc_monster_challenge_005"	"Морозный великан"
"npc_monster_challenge_006"	"Пит лорд"
"npc_monster_challenge_007"	"Капитан рыцарей Новолуния"
"npc_monster_challenge_008"	"Lightning Revenant"
"npc_monster_challenge_009"  "The avatar of Somnus丶M"


"npc_fallenSky_unit"	"Проклинатель"


"npc_hd_Dave_Chisnall"	"Chisnall"
"npc_dota_wisp_spirit"	"Spirit"
"npc_creater_spawner"	"Спойлер"



"npc_eidolon"	"Eidolon"
"npc_eidolon_hype"	"Рожденный в пустоте, постоянно поглощающий энергию начала."
"npc_eidolon_2"	"Eidolon 2"
"npc_eidolon_2_hype"	"Рожденный в пустоте, постоянно поглощающий энергию начала."
"npc_eidolon_3"	"Eidolon 3"
"npc_eidolon_3_hype"	"Рожденный в пустоте, постоянно поглощающий энергию начала."
"npc_hd_healing_ward"	"Healing ward"
"npc_hd_earth_element"	"Элемент земли"
"npc_hd_jack_the_ripper"	"Джек Потрошитель"
"npc_hd_aghanim"	"Большой умный аганим"
"npc_hd_Slime"	"Слизь"
"npc_nether_ward"	"Страж Пустоты"
"npc_hd_water_element"	"Элемент воды"
"npc_hd_Dave_Chisnall"	"Крис Нолл"
"npc_Advanced_Plague_Ward"	"Plague Ward"
"npc_Advanced_Plague_Ward_2"	"Plague Ward 2"
"npc_hd_skeleton_archer"	"Некромант"
"npc_hd_skeleton_archer_warrior"	"Некромант"
"npc_hd_balnock"	"Душа Балнока"
"npc_hd_blood_wolf"	"Кровавый волк"
"npc_dota_wisp_spirit"	"Призрак"
"npc_hd_normal_wolf"	"Волк"
"npc_hd_Golem"	"Огонь ада"
"npc_hd_elder_little_dragon"	"dragon"
"npc_hd_double"	"Имитация слезной железы"

"DOTA_Tooltip_ability_GAME_Portal1"	"Portal 1"
"DOTA_Tooltip_ability_GAME_Portal2"	"Portal 2"
"npc_hd_mars_spear"	"SPARTAN SOLDIER"

"npc_hd_shadowshaman_totem"	"Serpent Ward "
"npc_hd_sk_double"	"Overlord"
"npc_forge_spirit" "Forge Spirit"
"npc_hd_water_element_advanced"	"Superior Water Element"

"npc_hd_spider"	"Small Spider"



"npc_hd_embodiment_of_the_terror_blade"  "Avatar · Terrorblade"







"npc_hd_dark_rift"  "Dark Rift"
"npc_hd_small_demon_1"  "Small Demon"
"npc_hd_cave_troll"  "Cave Troll"
"npc_hd_wind_element" "Wind Element"
"npc_hd_immortal_sarcophagus" "Immortal Sarcophagus"
"npc_hd_the_wings_of_oberis" "Wings of Oberis"
