"addon_game_name"	"Heroic Road"
"DOTA_HUD_SpecialSpellGoods_Button" "Special Spells"
"DOTA_HUD_BlackMarket_Button"  "Daily BlackMarket"
"DOTA_HUD_OtherGoods_Button"  "Others"
"DOTA_HUD_BuyBack_Button"                   "Buy Back"

"DOTA_HUD_Spellsinfo_exp_Currency"  "Reliable experience"
"DOTA_HUD_Spellsinfo_gold_Currency"  "Aurum"
"DOTA_HUD_Spellsinfo_Platinum_Currency"  "Platinum"
"DOTA_HUD_Spellsinfo_Yuan_Currency"  "$"
"DOTA_HUD_Confirm_Panel"  "Please confirm your purchase"
"DOTA_HUD_Confirm"  "Comfirmed"
"DOTA_HUD_Cancle"  "Cancel"
"DOTA_HUD_CDK_GET_BONUS"  "Get CDK Bonus"
"DOTA_HUD_CDK_Fail_250"  "Invalid CDK"
"DOTA_HUD_CDK_Fail_251"  "You have received it"
"DOTA_HUD_CDK_Fail_252"  "This CDK is bound to someone else"
"DOTA_HUD_CDK_Fail_253"  "This CDK is Expired "
"DOTA_HUD_CDK_Fail_254"  "Thhis CDK has been fully claimed"
"dota_hud_greevils_not_enough_gold"  "Not Enough Gold"
"dota_hud_still_chaghing"  "Current time is under mandatory change"
"dota_hud_not_in_battle"  "Not under combat mode Currently"
"dota_hud_still_night"  "It's already dark"
"dota_hud_still_day"  "It's already daytime"
"dota_hud_no_hammer"  "No hallucination ability at the moment"
"dota_hud_silence_cast"  "Cast ability is disabled"
"dota_hud_not_enough_energy"  "Not Enough Charge Point"
"dota_hud_not_enough_trigger"  "Not Enough Trigger Point"

"DOTA_HUD_playerInfowindowTitle"  "Personal information"
"DOTA_HUD_VIPInfo_Button"        "Existing privileges"
"DOTA_HUD_playerName"                   "Player Name:"
"DOTA_HUD_firstGameTime"                   "Time of first game:"
"DOTA_HUD_vip_info_endday"                   "Expire date:"

"DOTA_NOW_WAVE"  "Current wave:"
"DOTA_HUD_DropSelectTitle_message"                   "Five peices of equipment rewards, namely physical, mana, defense, auxiliary, special "


"Damage_Dealt"   "Demages:"
"Damage_Taken"   "Take Damages:"
"Damage_Healed"   "Healing (effective):"

"DOTA_CUSTOM_Game_Start_info_bonus"   "Message: Join discord and get various rewards and updated information.(new players can unlock 20 spell as a gift"
"DOTA_CUSTOM_Game_Start_info"   "Preparation stage, all players could enter first wave by stepping on the pedal (please remember to turn on highlight and ambient light effects, otherwise the map will be very dark"

"DOTA_CUSTOM_Wave_Start_info1"   "Getting ready for the next wave……"
"DOTA_CUSTOM_Wave_Start_info2"   "Wave starts"
"DOTA_CUSTOM_Wave_Start_reset"   "The wave has not ended for too long. There might be a boxout BUG, all monsters will be moved to the center"

"DOTA_CUSTOM_LoginFailed"                   "<font color=\"#d9534f\">Server information transfer failed. The current server may be unstable, please log in again after 5 seconds. if still unsuccessful, please log out, the current game round will not have rewards.</font>"
"DOTA_CUSTOM_LoginFailed_all"                   "<font color=\"#d9534f\">game failed, because some players failed to log in, the current game round will not have reward.</font>"

"DOTA_CUSTOM_LoginSuccess"                   "<font color=\"#d9534f\">Player data Acquired. </font>"
"DOTA_CUSTOM_LoginSuccess2"                   "<font color=\"#d9534f\">Player data2 Acquired. </font>"

"DOTA_CUSTOM_PlayerGetSpellsBook"                   "Acquired spells book:"
"DOTA_CUSTOM_BONUS_INFO_EXP"                   "Current experience:"
"DOTA_CUSTOM_BONUS_INFO_max_level"                   "Max Level Spell"
"DOTA_CUSTOM_BONUS_INFO_max_level_info"                   "Max level spell will trun the exp to reliable exp"
"DOTA_CUSTOM_BONUS_INFO_bonus_EXP"                   "Reliable experience rewards:"
"DOTA_CUSTOM_BONUS_INFO_bonus_gold"                   "Aurum rewards:"
"DOTA_CUSTOM_NOPlayerGetSpellsBook"                   "No spells book bonus"
"DOTA_CUSTOM_UpdateFailed"                   "<font color=\"#d9534f\">Updates on reward settlement failed. The server may be unstable, and another update attempt in 5 seconds. If fail to save game, please save the screenshot and contact the author.</font>"
"DOTA_CUSTOM_UpdateSuccess"                   "{s:player_name}<font color=\"#d9534f\">Updates on reward settlement is successful, and you can exit the game now. </font>"
"DOTA_CUSTOM_Update_wait"                   "{s:player_name}Waiting for settlement..."


"DOTA_CUSTOM_UpdateSuccess_gift"                   "<font color=\"#d9534f\">The gift pack successfully received</font>"
"DOTA_CUSTOM_UpdateFail_gift"                   "<font color=\"#d9534f\">Failed to receive gift package. The server may be unstable. Please try again, if it still fails, please exit the game</font>"
"DOTA_CUSTOM_Upgradefailed"                   "<font color=\"#d9534f\">Failed to upgrade abilities. The server may be unstable or the data invalid. To avoid data errors, the upgrade option will be disabled and the game will be restareted</font>"
"DOTA_CUSTOM_Upgradefailed_half"                   "<font color=\"#d9534f\">Spell upgrade was successful, but the data update failed. The server may be unstable. To avoid data errors, the upgrade option has been disabled and the game will be restarted (this does not happen often). </font>"

"DOTA_CUSTOM_Upgradefailed_data_error"                   "<font color=\"#d9534f\">Spell upgrade failed and errors in data processing, due to this being a full-level skill. To avoid data errors, the upgrade option has been disabled and the game will be restarted</font>"
"DOTA_CUSTOM_Upgradefailed_unknow_error"                   "<font color=\"#d9534f\">Abilities upgrade failed, an unknown error was sent. To avoid data errors, the upgrade option has been disabled, and the game will be restarted</font>"

"DOTA_CUSTOM_Upgradefailed_new"                   "<font color=\"#d9534f\">Spell upgrade failed. The server may be unstable. Please try again</font>"



"DOTA_CUSTOM_UpgradeSuccess"                   "<font color=\"#5bc0de\">Spell upgraded successfully</font>"
"DOTA_CUSTOM_fail_login_info"                   "<font color=\"#d9534f\">Login failed, please restart the game</font>"


"DOTA_HUD_difficulty_select_1"                   "Operate with Feet"
"DOTA_HUD_difficulty_select_2"                   "Normal Mode: Experience"
"DOTA_HUD_difficulty_select_3"                   "Super Saiyan Three"
"DOTA_HUD_difficulty_select_4"                   "Normal Mode: Standard"
"DOTA_HUD_difficulty_select_5"                   "Trial of Suffering"
"DOTA_HUD_difficulty_select_6"                   "Normal Mode: Hard"
"DOTA_HUD_difficulty_select_7"                   "Leaderboard Normal: Competitive Suffering"
"DOTA_HUD_difficulty_select_8"                   "Leaderboard Normal: Endless Suffering"
"DOTA_HUD_difficulty_select_9"                "Normal Mode: Hundred Wave Layers"

"DOTA_HUD_difficulty_select_10"                "★ Special Mode: Chaotic Era"

"DOTA_HUD_playerChallengeMenuwindowTitle"                   "Endure More Suffering"

"DOTA_HUD_Difficulty_select_1_info"                   "On Easy difficulty, monster health is reduced by 28%, initial base attack damage is reduced by 30%, and skill cooldown is increased by 35%.<br/><br/>Total waves: 10"
"DOTA_HUD_difficulty_select_2_info"                   "Stages: 20<br><br>·Monster Attributes: Low<br>·Monster Spawn Rate: Slow<br>·Monster Skills: Partially Disabled<br>·Monster Affixes: Off<br>·Suffering System: Off"
"DOTA_HUD_difficulty_select_3_info"                   "On Elite difficulty, monster health is increased by 20%, initial base attack damage is increased by 20%, spawn interval is reduced by 20%, bosses have elite skills enabled.<br/><br/>Total waves: 20"
"DOTA_HUD_difficulty_select_4_info"                   "Stages: 20<br><br>·Monster Attributes: Standard<br>·Monster Spawn Rate: Standard<br>·Monster Skills: Enabled<br>·Monster Affixes: Off<br>·Suffering System: On"

"DOTA_HUD_difficulty_select_5_info"                   "Inherits [Impossible] difficulty, monsters gain 20% increased damage and 15% reduced damage, will receive additional affixes with a chance taken from trial difficulty. Maximum stackable affixes per unit: 2, Bosses or elite units will always get maximum affixes. 20% chance to trigger hidden stages."
"DOTA_HUD_difficulty_select_6_info"                   "Stages: 20~25<br><br>·Monster Attributes: High<br>·Monster Spawn Rate: Standard<br>·Monster Skills: Enabled<br>·Monster Affixes: Standard<br>·Suffering System: On<br><br>·Additional Stages: Possible<br>·Endless Stages: On"
"DOTA_HUD_difficulty_select_7_info"                   "Stages: 25<br><br>·Monster Attributes: High<br>·Monster Spawn Rate: Standard<br>·Monster Skills: Enabled<br>·Monster Affixes: Many<br>·Suffering System: On<br><br>·Additional Stages: Guaranteed<br>·Endless Stages: Off"
"DOTA_HUD_difficulty_select_8_info"                   "Stages: 20<br><br>·Monster Attributes: High<br>·Monster Spawn Rate: Standard<br>·Monster Skills: Enabled<br>·Monster Affixes: Many<br>·Suffering System: On<br><br>·Additional Stages: Off<br>·Endless Stages: On"
"DOTA_HUD_difficulty_select_9_info"                   "<font color=\"#f0ad4e\">Layers:</font><br>Use Player 1's current layer as game difficulty, after clearing the layer increases by 1. If Player 1's layer is higher, others increase by 2.<br>Based on leaderboard difficulty, stages: 25, endless rounds: on;<br><br><font color=\"#f0ad4e\">Special Mechanisms:</font><br>1. Each cycle increases monster stats (attack, health) by 5%<br>2. Every 8 layers add 1 phase, each phase provides buffs to all monsters (or debuffs to heroes). Every 1.5 phases give buffs to all players (or debuffs to enemies), every additional half phase (4 layers) increases the effect.<br>3. Initially gain (layer * 2 + 5) attribute points to allocate freely.<br>4. Can disable one nightmare phase and one beneficial phase.<br><br><br><font color=\"#f0ad4e\">Cycle Mechanism:</font><br>1. Reset layers monthly but retain 40%<br>2. Monthly random generation of hundred-phase states, providing buffs and debuffs.<br>(Given no one would play to such high layers, there are only a few states)<br><br><font color=\"#f0ad4e\">Reward Mechanism:</font><br>1. Produce Aghanim's Primal Orbs which enter the player's save file, can be retrieved in-game (but still require in-game gold for crafting, just not reliable experience and gold), higher layers increase the chance and quantity.<br>2. Reliable experience and gold rewards follow leaderboard difficulty, then multiplied by (1 + cycle * 0.015).<br><br><br>Additional Notes:<br>1. Based on the number of players, base buffs to wild monsters are affected (excluding hundred-phase states). For 1-5 players, the ratios are (0.5, 0.6, 0.7, 0.85, 1). For example, at 1 player, the tenth layer monsters only get 50% * 0.5 = 25% additional attributes.<br>2. Only available if there are no new players in the team."


"DOTA_HUD_Challenge_level"                   "Challenge level"
"DOTA_HUD_Challenge_level1"                   "Easy"
"DOTA_HUD_Challenge_level2"                   "Normal"
"DOTA_HUD_Challenge_level3"                   "Elite"
"DOTA_HUD_Challenge_level4"                   "Difficult"
"DOTA_HUD_Challenge_level5"                   "Impossible"



"Player_Challenge1"                   "A certain player bears more pain, and the next battle will be even more difficult..."
"Player_Challenge2"                   "More pain means more gain..."
"Player_Challenge3"                   "Maybe it's a better tomorrow  after all the hardships..."
"Player_Challenge4"                   "The continent is shrouded in dark clouds, and more suffering is coming..."
"Player_Challenge5"                   "more suffering is just a stepping stone in the face of interests ..."

"DOTA_HUD_game_info_pre"   "Move to pedal to start wave"
"DOTA_HUD_game_info_ENDLESS_WAVE"   "Guards killed:"
"DOTA_HUD_game_info_ENDLESS_WAVE_COUNT_CURRENT"  "Current number of Guards："
"DOTA_HUD_GAME_WAVE_NEXT_INFO"  "Next wave:"
"DOTA_HUD_GAME_WAVE_CD_ROOM1"  "Gatekeeper"
"DOTA_HUD_GAME_WAVE_CD_ROOM2"  "Goblin Vanguard"
"DOTA_HUD_GAME_WAVE_CD_ROOM3"  "Five Colors Furbolg Legion"
"DOTA_HUD_GAME_WAVE_CD_ROOM4"  "Spider in the jungle"
"DOTA_HUD_GAME_WAVE_CD_ROOM5"  "Elite·Son of Elite Barnock"
"DOTA_HUD_GAME_WAVE_CD_ROOM6"  "Middle class Gatekeeper"
"DOTA_HUD_GAME_WAVE_CD_ROOM7"  "Kobold family"
"DOTA_HUD_GAME_WAVE_CD_ROOM8"  "Thunderhide vengeance legion"
"DOTA_HUD_GAME_WAVE_CD_ROOM9"  "Aio's troubles"
"DOTA_HUD_GAME_WAVE_CD_ROOM10"  "Gatekeeper of the prologue·Barnock"
"DOTA_HUD_GAME_WAVE_CD_ROOM911"  "Night Wave · Assassin in the Dark Night"
"DOTA_HUD_GAME_WAVE_CD_ROOM912"  "Night Wave· Dark Knight"
"DOTA_HUD_GAME_WAVE_CD_ROOM913"  "Night Wave· elder in the woods"
"DOTA_HUD_GAME_WAVE_CD_ROOM914"  " Night Wave· wolves in the moonlight"
"DOTA_HUD_GAME_WAVE_CD_ROOM15"  "Elite ·Daughter of Farna"
"DOTA_HUD_GAME_WAVE_CD_ROOM916"  " Night Wave·wizard of nature"
"DOTA_HUD_GAME_WAVE_CD_ROOM917"  "Night Wave·Ten-thousand-years old dryad Elder"
"DOTA_HUD_GAME_WAVE_CD_ROOM918"  "Night Wave·ancient stone"
"DOTA_HUD_GAME_WAVE_CD_ROOM19"  "Axe's workout"
"DOTA_HUD_GAME_WAVE_CD_ROOM920"  "The second daughter of the nature · Farner"
"DOTA_HUD_GAME_WAVE_CD_ROOM21"  "The turmoil of the elements · Water"
"DOTA_HUD_GAME_WAVE_CD_ROOM22"  "The turmoil of the elements · Fire"
"DOTA_HUD_GAME_WAVE_CD_ROOM23"  "The turmoil of the elements · Wind"
"DOTA_HUD_GAME_WAVE_CD_ROOM24"  "The turmoil of the elements · Darkness"
"DOTA_HUD_GAME_WAVE_CD_ROOM25"  "Elite · Son of Light and Darkness · Mellund"
"DOTA_HUD_GAME_WAVE_CD_ROOM26"  "The turmoil of the elements · Earth"
"DOTA_HUD_GAME_WAVE_CD_ROOM27"  "The turmoil of the elements · Thunder"
"DOTA_HUD_GAME_WAVE_CD_ROOM28"  "The turmoil of the elements · Ice"
"DOTA_HUD_GAME_WAVE_CD_ROOM29"  "Nature's gift"
"DOTA_HUD_GAME_WAVE_CD_ROOM30"  "Hidden wave · Final Battle · Elemental War"
"DOTA_HUD_GAME_WAVE_CD_ROOM31"  "Collapse· Magnus"
"DOTA_HUD_GAME_WAVE_CD_ROOM32"  "Exiled anonymous brainworm adult"
"DOTA_HUD_GAME_WAVE_CD_ROOM33"  "Mist automatic Guardian"
"DOTA_HUD_GAME_WAVE_CD_ROOM34"  "Hidden wave · Corrupted mid-level melee minions"
"DOTA_HUD_GAME_WAVE_CD_ROOM35"  "Hidden wave · Crystallized army of thieves"
"DOTA_HUD_GAME_WAVE_CD_ROOM36"  "Hidden wave · Crystallized leader of the five-color army"
"DOTA_HUD_GAME_WAVE_CD_ROOM37"  "Hidden wave · Revenant of the past"
"DOTA_HUD_playerGameBonusMenuwindow"  "Game settlement"
"no_spell_map"  "Failed to get player information. Maybe the server is unstable, please try again later"
"DOTA_HUD_GAME_WAVE_CD_ROOM38"  "Hidden wave · Ultimate Source Of Fire"
"DOTA_HUD_GAME_WAVE_CD_ROOM39"  "Elite·Harpy"
"DOTA_HUD_GAME_WAVE_CD_ROOM40"  "The surge of the elements· Water"
"DOTA_HUD_GAME_WAVE_CD_ROOM41"  "Fat family· Ogre the Mallet"
"DOTA_HUD_GAME_WAVE_CD_ROOM42"  "Greedy striker"
"DOTA_HUD_GAME_WAVE_CD_ROOM42"  "Slave of the  Terror Blade"
"DOTA_HUD_GAME_WAVE_CD_ROOM43"  "Predator in the Dark Reef"
"DOTA_HUD_GAME_WAVE_CD_ROOM44"  "Foraging Cyclops"
"DOTA_HUD_GAME_WAVE_CD_ROOM45"  "Noisy Cave"
"DOTA_HUD_GAME_WAVE_CD_ROOM46"  "Terror Blade's minions"
"DOTA_HUD_GAME_WAVE_CD_ROOM47"  "Advanced melee minions"
"DOTA_HUD_GAME_WAVE_CD_ROOM48"  "Bloody Night"
"DOTA_HUD_GAME_WAVE_CD_ROOM49"  "Deep-Sea Diving of the the Dark Reef"
"DOTA_HUD_GAME_WAVE_CD_ROOM50"  "The depths of the the Dark Reef"
"DOTA_HUD_GAME_WAVE_CD_ROOM51"  "Phantom of the Claszian"
"DOTA_HUD_GAME_WAVE_CD_ROOM52"  "Visitors of the Claszian"
"DOTA_HUD_GAME_WAVE_CD_ROOM55"  "Lonely Lair Ranger"
"EggSound_FacelessVoid"                   "There is a mysterious voice coming into your brain……"



"DOTA_HUD_GAME_WAVE_CD_ROOM53"  "The surge of the elements· Fire"
"DOTA_HUD_GAME_WAVE_CD_ROOM54"  "The surge of the elements· Earth"


"Challenge_select_failed"                   "Suffering selection failed, currently in combat mode"
"Challenge_Not_Enough_GOLD"                   "Suffering selection failed, insufficient gold to unlock"
"Black_Market_spell_buy_failed_mastered"                   "Purchase failed because this skill is already unlocked"
"Black_Market_spell_buy_failed_not_enough_good"                   "Purchase failed, insufficient aurum"
"Market_spell_buy_failed_not_enough_platinum"                   "Purchase failed, insufficient platinum"
"Market_spell_buy_failed_not_enough_exp"                   "Purchase failed, insufficient reliable experience"
"buy_failed_Order_not_completed"                   "Purchase failed, previous order has not been completed"
"buy_failed_BuySpellsFailed"                   "Purchase failed, maybe the server is unstable, please try again later"
"buy_BuySpellsSuccessed"                   "purchase successful"
"vip_buy_failed_forever"                   "Purchase failed because permanent privilege has been unlocked"
"buy_BuyrmbOutOfTime"                   "Order expired. Please recreate orders or ignore"
"DOTA_CUSTOM_BuySpellsFailed"                   "<font color=\"#d9534f\">Failed to purchase abilities, the server may be unstable, please try again later</font>"


"DOTA_CUSTOM_BuySpellsSuccess"                   "<font color=\"#d9534f\">Spell purchase successful. Updating game data now.</font>"




//技能/道具使用提示
"Spells_CustomCastError_NOT_SELF"                   "Cannot be cast on yourself"
"Spells_CustomCastError_NOT_Enemy"                   "Cannot be cast on enemies"
"Spells_CustomCastError_NOT_Friendly"                   "Can not cast to a ally"
"Spells_CustomCastError_NO_hp"                           "Need more hp"    

"dota_hud_NoUnlockRock"  "Aha, that's not good" 
"DOTA_HUB_CANT_CAST_TO_TARGET"  "Cannot be cast on this target" 
"DOTA_HUB_CANT_CAST_NO_pierce_the_veil"  "You didn't learn the 'Pierce the Veil'"
"DOTA_HUB_CANT_CAST_NO_CHARGE"  "No Charge" 
"DOTA_HUB_CANT_CAST"  "Unable To Cast" 
"DOTA_HUB_CANT_CAST_Giant"  "Cannot cast to Giant" 



"dota_hud_greevils_not_enough_energy"  "Not enough charge" 
"dota_hud_NoSpellCanBeUnlock"  "Can't find ability to unlock" 


"DOTA_CUSTOM_Wave_force_start"  "Force start wave"

"DOTA_CUSTOM_Wave_force_start_count"  "Force start wave progress:"
"DOTA_HUD_game_info_difficult"  "Waiting for selection difficulty"
"DOTA_HUD_game_difficult"  "Difficulty:"
"DOTA_HUD_CheckBonusButton_Button"  "Query reward"



"DOTA_HUD_ReRollBonus" "Consume 10 archived aurum and re random the bonus items. Remaining chances:{s:reRollCount}"
"DOTA_HUD_ReRollChallenge" "Consume 10 archived aurum and re random the challenges. Remaining chances:{s:reRollCount}"

"DOTA_HUD_Bonus_gold"       "Bonus Aurum:{s:bonus}"
