"HUD_player_artifact_Title" "圣物：<font color=\"#6de2c5\">{s:ability_owner}</font>"
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_7"	"【虹彩翡翠】每%interval_7%秒为你回复%regen_7%%%已损失生命值或魔法值，回复类型为两者之间百分比更低者"
"DOTA_Tooltip_ability_item_hd_normal_amulet_effects_additional_10"	"【巅峰造极】<font color='#9370db'>魔法力量</font>会生效2次，<font color='#9370db'>虹彩翡翠</font>的生效间隔降低至%interval_10%秒"

"DOTA_Tooltip_ability_item_hd_song_shield_effects"	"克莱希克盾牌"
"DOTA_Tooltip_ability_item_hd_song_shield_effects_main_ability_title"	"被动：坚固的心之壁"
"DOTA_Tooltip_ability_item_hd_song_shield_effects_main_ability"	"基于已损失的生命值百分比，至多获得%armor%点护甲和%magic_res%%%魔法抗性"
"DOTA_Tooltip_ability_item_hd_song_shield_effects_Lore"	"'人会逐渐忘却，一切终将消逝。'"
"DOTA_Tooltip_ability_item_hd_song_shield_effects_bonus_health"	"+$health"
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_1"	"【秘密】被动获得%incoming_1%%%伤害减免"
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_2"	"【用结果说话】生命值低于%line_2%%%时，移动速度增加%move_2%%%并获得额外的%incoming_2%%%伤害减免"
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_3"	"【已然落幕】<font color='#9370db'>坚固的心之壁</font>至少会提供%armor_3%点护甲和%magic_res_3%%%魔法抗性"
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_4"	"【舍既成之本，逐未竟之业】作用于你的<font color='#9370db'>援助术</font>、<font color='#9370db'>石肤术</font>分别会额外提供%incoming_4%%%伤害减免。<br<br>当你不处于<font color='#9370db'>石肤术</font>或<font color='#9370db'>支援术</font>状态下时，<font color='#9370db'>坚固的心之壁</font>额外提供%armor_4%点护甲和%magic_res_4%%%魔法抗性"
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_7"	"【循此苦旅，终抵繁星】获得%status_7%%%状态抗性"
"DOTA_Tooltip_ability_item_hd_song_shield_effects_additional_10"	"【巅峰造极】<font color='#9370db'>用结果说话</font>恒定生效，<font color='#9370db'>已然落幕</font>的最低生效值提高为%armor_10%点护甲和%magic_res_10%%%魔法抗性"

"DOTA_Tooltip_ability_item_hd_woodarrow_effects"	"灌木之刺短弓"
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_main_ability_title"	"被动：尖刺射击"
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_main_ability"	"仅远程：普通攻击会对攻击范围内至多%max%个敌人发动分裂射击，对其造成<font color='#F0FFFF'>[不附带法球、攻击特效；不附带分裂、溅射]</font>的奖励攻击，这次奖励攻击的伤害仅为一半。"
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_Lore"	"丛林游侠常用的武器，取材简单轻便，使用快捷"
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_bonus_damage"	"+$damage"
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_1"	"【强力射击】额外提供%bonus_attack_1%点攻击力"
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_2"	"【熟习者】该圣物的装备需求等级减少%additional_2_level_require%级"
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_3"	"【隐蔽射击】该圣物的装备需求等级减少%additional_3_level_require%级，额外提供%bonus_attack_speed_3%点攻击速度"
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_4"	"【精磨箭头】被动获得%bonus_no_armor_4%点攻击护甲穿透，且<font color='#9370db'>尖刺射击</font>可以附带法球和攻击特效"
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_7"	"【游侠射术】额外提供%attack_speed_7%点攻击速度"
"DOTA_Tooltip_ability_item_hd_woodarrow_effects_additional_10"	"【巅峰造极】<font color='#9370db'>尖刺射击</font>上限提高至%max_10%个，造成伤害倍率提高至%damage_10%%%"

///////////////////////////////////////////////罕见品质：等级要求12//////////////////////////////////////////////
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects"	"曲面之月"
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_main_ability_title"	"被动：虚数探测"
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_main_ability"	"以%interval%秒间隔标记自身周围%radius%范围内至多一处随机地点，友方英雄进入地点后会获得其英雄等级x%gold_lvl%的金币奖励。"
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_Lore"	"透过月光可以寻找宝藏的神秘寻宝机器，与传说中的阿斯特拉院是否有着什么关联呢..."
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_bonus_vision"	"+$vision"
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_1"	"【情报共享】无论进入地点的是否为佩戴者，佩戴者都将获得此次金币的%index_1%%%"
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_2"	"【深发掘】金币奖励提高至英雄等级x%gold_lvl_2%"
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_3"	"【物资发现】获得金币奖励时，还会获得一次魔瓶充能"
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_4"	"【深发掘+】金币奖励提高至英雄等级x%gold_lvl_4%"
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_7"	"【深发掘++】金币奖励提高至英雄等级x%gold_lvl_7%"
"DOTA_Tooltip_ability_item_hd_treasure_finder_effects_additional_10"	"【巅峰造极】生成标记时，有%chance_10%%%几率同时生成一种随机种类的加护圈"

"DOTA_Tooltip_ability_item_hd_holy_staff_effects"	"溢光之杖"
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_main_ability_title"	"被动：溢光"
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_main_ability"	"以%interval%秒间隔祝福全体友军英雄，使他们永久获得%atb%点全属性，最多获得%atb_max%点。<br><br>仅<font color='#ffa075'>增辉者</font>：额外获得%ass_atb%全属性，<font color='#9370db'>溢光</font>的生效效果%atb_index%%%。"
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_Lore"	"据说他的设计参考了洛山达之血，只是更加礼仪化。"
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_bonus_all_attribute"	"+$all_attribute"
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_1"	"【亘古恒光】<font color='#9370db'>溢光</font>还会提供%cost_get_1%点触发点数，同时生效间隔减少至%interval_1%秒"
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_2"	"【增辉强化】仅<font color='#ffa075'>增辉者</font>：施加的<font color='#9370db'>变幻</font>也会受到你正面持续时间增强的影响"
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_3"	"【光之赐福】你的<font color='#9370db'>石肤术</font>和<font color='#9370db'>援助术</font>会对全体友军英雄释放，但除主目标外的持续时间仅有%duration_3%%%"
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_4"	"【最佳支援者】仅<font color='#ffa075'>增辉者</font>：获得低攻击优先级状态，同时这件装备的英雄等级需求减少%additional_4_level_require%"
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_7"	"【极限突破】<font color='#9370db'>溢光</font>的属性上限提高至%atb_max_7%点"
"DOTA_Tooltip_ability_item_hd_holy_staff_effects_additional_10"	"【巅峰造极】<font color='#9370db'>溢光</font>还会额外使友军永久获得%profic_10%%%精通，至多叠加%profic_max_10%层"
"DOTA_Tooltip_modifier_item_hd_holy_staff_effects_lv100"	"溢光-LV100"
"DOTA_Tooltip_modifier_item_hd_holy_staff_effects_lv100_Description"	"精通增加"
"DOTA_Tooltip_modifier_item_hd_holy_staff_effects_buff"	"溢光"
"DOTA_Tooltip_modifier_item_hd_holy_staff_effects_buff_Description"	"全属性增加"

"DOTA_Tooltip_ability_item_hd_exp_book_effects"	"《破路成长指南》"
"DOTA_Tooltip_ability_item_hd_exp_book_effects_main_ability_title"	"被动：看攻略"
"DOTA_Tooltip_ability_item_hd_exp_book_effects_main_ability"	"每经过一回合，获得一层<font color='#9370db'>学习攻略</font>，移除这件圣物会损失全部层数。<br><br><font color='#9370db'>学习攻略</font>达到%check1%层时永久获得%block%点伤害格挡<br><font color='#9370db'>学习攻略</font>达到%check2%层时立刻获得%gold%金币<br><font color='#9370db'>学习攻略</font>达到%check3%层时永久总增%outgoing%%%伤害 [×]"
"DOTA_Tooltip_ability_item_hd_exp_book_effects_Lore"	"一本3年前出版的书，但已经无法剩下多少参考价值了。"
"DOTA_Tooltip_ability_item_hd_exp_book_effects_maxhp_regen"	"%+$maxhp_regen"
"DOTA_Tooltip_ability_item_hd_exp_book_effects_additional_1"	"【全神贯注】不移动时，获得%maxmp_regen_1%%%最大魔法恢复"
"DOTA_Tooltip_ability_item_hd_exp_book_effects_additional_2"	"【精读】<font color='#9370db'>看攻略</font>有%chance_2%%%几率获得两层<font color='#9370db'>学习攻略</font>"
"DOTA_Tooltip_ability_item_hd_exp_book_effects_additional_3"	"【惟融融】该圣物的装备需求等级减少%additional_3_level_require%级。回合更替时，有%chance_3%%%几率直接提升一级英雄等级"
"DOTA_Tooltip_ability_item_hd_exp_book_effects_additional_4"	"【感谢你，忠实的读者】如果你拥有%check4%层以上的<font color='#9370db'>学习攻略</font>，那么你获得的圣物经验总增%exp_4%%% [×]"
"DOTA_Tooltip_ability_item_hd_exp_book_effects_additional_7"	"【精读+】<font color='#9370db'>精读</font>的触发几率提高至%chance_7%%%"
"DOTA_Tooltip_ability_item_hd_exp_book_effects_additional_10"	"【巅峰造极】<font color='#9370db'>看攻略</font>获得%stack_10%层初始叠层。<font color='#9370db'>感谢你，忠实的读者</font>的经验增幅不论是否取出圣物都会生效。每场游戏限一次：取用这件圣物时不论是否达到生效等级，立刻升1级。"
"DOTA_Tooltip_modifier_item_hd_exp_book_effects"	"学习攻略"
"DOTA_Tooltip_modifier_item_hd_exp_book_effects_Description"	"研读了%dMODIFIER_PROPERTY_TOOLTIP%篇文章"
"DOTA_Tooltip_modifier_item_hd_exp_book_effects_block"	"学习格挡技巧"
"DOTA_Tooltip_modifier_item_hd_exp_book_effects_block_Description"	"获得伤害格挡"
"DOTA_Tooltip_modifier_item_hd_exp_book_effects_outgoing"	"学习如何打伤害"
"DOTA_Tooltip_modifier_item_hd_exp_book_effects_outgoing_Description"	"造成的伤害总增"

"DOTA_Tooltip_ability_item_hd_goled_gold_effects"	"石像鬼的贪婪"
"DOTA_Tooltip_ability_item_hd_goled_gold_effects_main_ability_title"	"被动：黄泉贪婪"
"DOTA_Tooltip_ability_item_hd_goled_gold_effects_main_ability"	"你或你的召唤兽击杀敌人时获得%gold%金币，有%chance%%%几率将敌人的灵魂残渣炼成金袋。"
"DOTA_Tooltip_ability_item_hd_goled_gold_effects_Lore"	"这是我的东西！"
"DOTA_Tooltip_ability_item_hd_goled_gold_effects_move_speed"	"+$move_speed"
"DOTA_Tooltip_ability_item_hd_goled_gold_effects_additional_1"	"【更多金币】击杀金币提高至%gold_1%"
"DOTA_Tooltip_ability_item_hd_goled_gold_effects_additional_2"	"【黄金狂热】获得%gold_bonus_2%%%金币加成"
"DOTA_Tooltip_ability_item_hd_goled_gold_effects_additional_3"	"【更多金币+】击杀金币提高至%gold_3%，炼金几率提高至%chance_3%%%"
"DOTA_Tooltip_ability_item_hd_goled_gold_effects_additional_4"	"【终极贪婪】每%interval_4%秒，获得等同于你%index_4%%%现有金币的金币，击杀敌人会立刻减少%down_4%秒此效果的剩余间隔"
"DOTA_Tooltip_ability_item_hd_goled_gold_effects_additional_7"	"【一步到位】<font color='#9370db'>黄泉贪婪</font>的炼金几率提高至%chance_7%%%，且改为直接获得金币，可享受金币加成"
"DOTA_Tooltip_ability_item_hd_goled_gold_effects_additional_10"	"【巅峰造极】该圣物的装备需求等级减少%additional_10_level_require%级。每场游戏限一次：取用这件圣物时不论是否达到生效等级，立刻获得%gold_10%金币。"
"DOTA_Tooltip_modifier_item_hd_goled_gold_effects"	"终极贪婪计时器"

"DOTA_Tooltip_ability_item_hd_dingzhi_lingyin_effects"	"坍雪寒裘"
"DOTA_Tooltip_ability_item_hd_dingzhi_lingyin_effects_main_ability_title"	"命令：冰霜新星"
"DOTA_Tooltip_ability_item_hd_dingzhi_lingyin_effects_main_ability"	"每过%interval%秒，召唤雪女对自身周围%radius%范围内最近的敌人发动一次<font color='#9370db'>冰霜新星</font>。召唤<font color='#9370db'>精灵召唤</font>召唤兽时，也会以其全额攻击力触发这个效果。<br><br><font color='#9370db'>冰霜新星</font>：对目标地点周围%nova_radius%范围内的至多%max%个敌人造成全额攻击力×%damage%的<font color='#87ceeb'>冻伤</font>。<br>伤害由召唤者造成，适用%summon_index%%%召唤增强"
"DOTA_Tooltip_ability_item_hd_dingzhi_lingyin_effects_Lore"	"[玩家投稿]：来自玩家[相原铃音]的设计投稿。"
"DOTA_Tooltip_ability_item_hd_dingzhi_lingyin_effects_bonus_summon_intensity"	"%+$summon_intensity"                 
"DOTA_Tooltip_ability_item_hd_dingzhi_lingyin_effects_additional_1"	"【魔力供给】每%need_1%%%召唤增强可以降低%interval_down_1%秒<font color='#9370db'>冰霜新星</font>的自动触发间隔，最低降至%interval_down_max_1%秒"
"DOTA_Tooltip_ability_item_hd_dingzhi_lingyin_effects_additional_2"	"【冰霜的羁绊】<font color='#9370db'>冰霜新星</font>适用修正提高至%sunmmon_index_2%%%召唤增强"
"DOTA_Tooltip_ability_item_hd_dingzhi_lingyin_effects_additional_3"	"【珍宝之裘】额外提供%summon_3%%%召唤增强"
"DOTA_Tooltip_ability_item_hd_dingzhi_lingyin_effects_additional_4"	"【协同冰爆】被<font color='#9370db'>冰霜新星</font>命中的敌人，在%duration_4%秒内受到你<font color='#9370db'>精灵召唤</font>召唤兽的伤害增加%incoming_4%%%"
"DOTA_Tooltip_ability_item_hd_dingzhi_lingyin_effects_additional_7"	"【雪精灵的加护】总增你<font color='#9370db'>精灵召唤</font>召唤兽的技能伤害，数值等同于你召唤增强的%outgoing_7%%% [×]"
"DOTA_Tooltip_ability_item_hd_dingzhi_lingyin_effects_additional_10"	"【巅峰造极】<font color='#9370db'>冰霜新星</font>的范围提高至%radius_10%，协同冰爆不再限制<font color='#9370db'>精灵召唤</font>召唤兽"
"DOTA_Tooltip_modifier_item_hd_dingzhi_lingyin_effects_lv70"    "雪精灵的加护"
"DOTA_Tooltip_modifier_item_hd_dingzhi_lingyin_effects_lv70"    "技能伤害总增%fMODIFIER_PROPERTY_TOOLTIP%%% [×]"
///////////////////////////////////////////////稀有品质：等级要求18//////////////////////////////////////////////
"DOTA_Tooltip_ability_item_hd_nothing_chain_effects"	"符文锁铐"
"DOTA_Tooltip_ability_item_hd_nothing_chain_effects_main_ability_title"	"被动：能量榨取"
"DOTA_Tooltip_ability_item_hd_nothing_chain_effects_main_ability"	"技能魔法消耗降低%cost_down%%%，但释放非切换技能时会消耗自身%hp_cost%%%当前生命值。"
"DOTA_Tooltip_ability_item_hd_nothing_chain_effects_Lore"	"至少这套锁铐可以见证你的极限.."
"DOTA_Tooltip_ability_item_hd_nothing_chain_effects_bonus_mana"	"+$mana"                  
"DOTA_Tooltip_ability_item_hd_nothing_chain_effects_additional_1"	"【效率提升】技能魔法消耗降低增至%cost_down_1%%%"
"DOTA_Tooltip_ability_item_hd_nothing_chain_effects_additional_2"	"【符文波动】通过<font color='#9370db'>能量榨取</font>消耗的生命值达到自身最大生命值的%line_2%%%时，获得%cds_2%%%冷却恢复速度，持续%duration_2%秒"
"DOTA_Tooltip_ability_item_hd_nothing_chain_effects_additional_3"	"【增幅】额外提供%mana_3%点最大魔法值"
"DOTA_Tooltip_ability_item_hd_nothing_chain_effects_additional_4"	"【疯狂施法者】释放技能时消耗的生命值会以%index_4%%%的效率回复自身的魔法值"
"DOTA_Tooltip_ability_item_hd_nothing_chain_effects_additional_7"	"【魔力导体】获得%mana_7%%%最大魔法值加成 [+]"
"DOTA_Tooltip_ability_item_hd_nothing_chain_effects_additional_10"	"【巅峰造极】<font color='#9370db'>符文波动</font>额外提供%spell_10%%%技能增强，且施法时有%chance_10%%%几率直接进入该状态"
"DOTA_Tooltip_modifier_item_hd_nothing_chain_effects"	"符文波动进度"
"DOTA_Tooltip_modifier_item_hd_nothing_chain_effects_lv20"	"符文波动"
"DOTA_Tooltip_modifier_item_hd_nothing_chain_effects_lv20_Description"	"冷却恢复速度加快"

"DOTA_Tooltip_ability_item_hd_helper_touch_effects"	"精灵之手护腕"
"DOTA_Tooltip_ability_item_hd_helper_touch_effects_main_ability_title"	"被动：精灵协助者"
"DOTA_Tooltip_ability_item_hd_helper_touch_effects_main_ability"	"精灵环绕在你的周围，使你的施法距离增加%cast_range%点。"
"DOTA_Tooltip_ability_item_hd_helper_touch_effects_Lore"	"神奇的魔力护腕，能以光球的形态触碰周围的人物。"
"DOTA_Tooltip_ability_item_hd_helper_touch_effects_bonus_positive_amp"	"%+$positive_amp"                  
"DOTA_Tooltip_ability_item_hd_helper_touch_effects_additional_1"	"【护甲支援】精灵会以%interval_4%秒的间隔对与其距离最远的一个具有<font color='#9370db'>石肤术</font>或<font color='#9370db'>援助术</font>状态的友军英雄发射一个魔力球，使其剩余持续时间延长%duration_1%秒"
"DOTA_Tooltip_ability_item_hd_helper_touch_effects_additional_2"	"【热忱】该圣物的装备需求等级减少%additional_2_level_require%，同时精灵的支援效果均可以享受你%index_2%%%的正面状态持续时间修正"
"DOTA_Tooltip_ability_item_hd_helper_touch_effects_additional_3"	"【狂热支援】精灵会以%interval_4%秒的间隔对与其距离最远的一个具有<font color='#9370db'>元素武器</font>或<font color='#9370db'>变巨术</font>状态的友军英雄发射一瓶药水，使其剩余持续时间延长%duration_3%秒"
"DOTA_Tooltip_ability_item_hd_helper_touch_effects_additional_4"	"【触发支援】精灵会以%interval_4%秒的间隔对与其距离最远的友军英雄发射一团奥术球，使其获得%cost_get_4%点触发点数"
"DOTA_Tooltip_ability_item_hd_helper_touch_effects_additional_7"	"【支援强化】额外获得%positive_amp_7%%%正面状态持续时间，<font color='#9370db'>护甲支援</font>、<font color='#9370db'>狂热支援</font>和<font color='#9370db'>触发支援</font>的作用目标增加至2个"
"DOTA_Tooltip_ability_item_hd_helper_touch_effects_additional_10"	"【巅峰造极】仅<font color='#ffa075'>增辉者</font>：每%interval_10%秒触发一次<font color='#ffa075'>变幻</font>，延长或持续%duration_10%秒"

"DOTA_Tooltip_ability_item_hd_dead_sword_effects"	"永生者的哀嚎"
"DOTA_Tooltip_ability_item_hd_dead_sword_effects_main_ability_title"	"被动：虚空之罚"
"DOTA_Tooltip_ability_item_hd_dead_sword_effects_main_ability"	"受到敌人的有效伤害时，对其施加<font color='#9370db'>虚空之罚</font>，使其在攻击时损失%hp_lost%%%当前生命值，每个敌人最多触发%count%次。"
"DOTA_Tooltip_ability_item_hd_dead_sword_effects_Lore"	"它们在我们的土地上建立国家，而我们会把这个属于我们的世界夺回来！！"
"DOTA_Tooltip_ability_item_hd_dead_sword_effects_bonus_health"	"+$health"                  
"DOTA_Tooltip_ability_item_hd_dead_sword_effects_additional_1"	"【诅咒之躯】受到有效伤害时，治疗自身%heal_1%%%已损失生命值"
"DOTA_Tooltip_ability_item_hd_dead_sword_effects_additional_2"	"【狂信】被动获得%incoming_2%%%伤害减免和%hp_2%%%最大生命值 [+]"
"DOTA_Tooltip_ability_item_hd_dead_sword_effects_additional_3"	"【冥誓者】<font color='#9370db'>虚空之罚</font>的触发次数提高至%count_3%次，同时其实际损失的生命值不会低于你最大生命值的%min_3%%%"
"DOTA_Tooltip_ability_item_hd_dead_sword_effects_additional_4"	"【虚空之眼】<font color='#9370db'>虚空之罚</font>损失当前生命值比例提高至%hp_lost_4%%%，同时还会使目标的攻击有%chance_4%%%几率丢失"
"DOTA_Tooltip_ability_item_hd_dead_sword_effects_additional_7"	"【亡者滋养】因<font color='#9370db'>虚空之罚</font>致死的敌人会回复你%heal_7%%%已损失生命值"
"DOTA_Tooltip_ability_item_hd_dead_sword_effects_additional_10"	"【巅峰造极】<font color='#9370db'>虚空之罚</font>的触发次数提高至%count_10%次，生命损失变为至%hp_lost_4%%%当前生命值和%hp_lost_10%%%最大生命值"
"DOTA_Tooltip_modifier_item_hd_dead_sword_effects_debuff"	"虚空之罚"
"DOTA_Tooltip_modifier_item_hd_dead_sword_effects_debuff_Description"	"攻击会流失生命值"

"DOTA_Tooltip_ability_item_hd_indentrue_head_effects"	"勠力幼龙之冠"
"DOTA_Tooltip_ability_item_hd_indentrue_head_effects_main_ability_title"	"被动：协攻"
"DOTA_Tooltip_ability_item_hd_indentrue_head_effects_main_ability"	"你的<font color='#9370db'>契约召唤</font>会同时召唤出一只幼龙，其属于<font color='#9370db'>契约召唤</font>召唤兽，但不会触发<font color='#9370db'>协攻</font>。<br><br>幼龙：近战攻击，攻击力继承%attack%%%，生命值继承%health%%%，护甲值继承%armor%%%，持续%duration%秒，最大召唤数为%max%。"
"DOTA_Tooltip_ability_item_hd_indentrue_head_effects_Lore"	"驯龙大师来了"
"DOTA_Tooltip_ability_item_hd_indentrue_head_effects_bonus_base_damage"	"+$base_damage"                 
"DOTA_Tooltip_ability_item_hd_indentrue_head_effects_additional_1"	"【炽烈之咬】幼龙的攻击有%chance_1%%%几率造成%crit_1%%%的致命一击"
"DOTA_Tooltip_ability_item_hd_indentrue_head_effects_additional_2"	"【契约强化】你的<font color='#9370db'>契约召唤</font>召唤兽造成的伤害总增%outgoing_2%%% [×]，受到的伤害降低%incoming_2%%%"
"DOTA_Tooltip_ability_item_hd_indentrue_head_effects_additional_3"	"【契约强化+】你的<font color='#9370db'>契约召唤</font>召唤兽的全额攻击力增加%bonus_attack_3%%%"
"DOTA_Tooltip_ability_item_hd_indentrue_head_effects_additional_4"	"【暴烈进化】最大召唤数降低至%max_4%，但幼龙会习得<font color='#9370db'>乱流：火龙形态</font>"
"DOTA_Tooltip_ability_item_hd_indentrue_head_effects_additional_7"	"【龙鳞祝福】你的<font color='#9370db'>契约召唤</font>召唤兽的护甲增加%armor_7%%% [+]"
"DOTA_Tooltip_ability_item_hd_indentrue_head_effects_additional_10"	"【巅峰造极】最大召唤数变更为%max_10%，幼龙的生命值继承和攻击力继承总增%index_10%%% [×]，体型和射程也会增加"
"npc_hd_artifact_little_dragon"    "幼龙"

"DOTA_Tooltip_ability_item_hd_rot_snake_effects"	"谎言衔尾蛇"
"DOTA_Tooltip_ability_item_hd_rot_snake_effects_main_ability_title"	"被动：幻灵腐烂"
"DOTA_Tooltip_ability_item_hd_rot_snake_effects_main_ability"	"每过%interval%秒，用<font color='#9370db'>腐烂气息</font>污染自身和周围%radius%范围内的所有单位，使其受到的伤害增加%incoming%%%，持续%interval%秒。<br><br>每个受<font color='#9370db'>腐烂气息</font>影响的单位会为你提供%atb%点全属性。"
"DOTA_Tooltip_ability_item_hd_rot_snake_effects_Lore"	"眼见必定为实"
"DOTA_Tooltip_ability_item_hd_rot_snake_effects_health_pct"	"%+$health_pct"                 
"DOTA_Tooltip_ability_item_hd_rot_snake_effects_additional_1"	"【自我闭环】<font color='#9370db'>腐烂气息</font>的易伤幅度提高至%incoming_1%%%，且对自身的易伤效果减半"
