// Chaotic era

"DOTA_Tooltip_modifier_chaotic_era_attribute_Description"                   "被击杀后所有玩家将获得一笔赏金，单人模式中额外增加，每多一名玩家则减少"



"HUD_Task_Upgrade_noraml"  "被升阶的怪物的成长性将提升<font color=\"#92d3f8\">{s:upgrade_value}%</font>，同时其符石进度加成提升<font color=\"#92d3f8\">{s:progress_bonus}%</font><br><br>怪物被征召时如果大多数玩家都选择了升阶，那么该怪物升阶将成立。"




"HUD_Task_Upgtade" "怪物升阶"
"HUD_Task_Upgrade_1_info"  "此怪物被升阶，成长性将提升<font color=\"#92d3f8\"><upgrade_value>%</font>，同时其符石进度加成提升<font color=\"#92d3f8\"><progress_bonus>%</font><br><br>此加成已反映到数据预览。"






"ChaoticEra_GameEffect_Title"  "{s:level}投票环节"
"ChaoticEra_Artifact_Title"  "神器选择"


"HUD_ChaoticEra_Phase_with_delay"  "整备时间：<font color=\"#f0ad4e\">{s:locstring_value}秒</font>"
"HUD_ChaoticEra_Phase_end"  "整备时间结束，战斗继续.."


"HUD_Chaotic_Era_TaskModify_Title"   "修饰"
"HUD_Chaotic_Era_TaskModify_Info"   "由一些特殊的事件，该怪物会携带一些加成效果"

"HUD_Chaotic_Era_TaskModify_Error"   "修饰失败"
"HUD_Chaotic_Era_TaskModify_Error2"   "无法启用相同修饰词"

"HUD_Chaotic_Era_TaskModify_None_Title"   "无可用修饰词"


"HUD_Chaotic_Era_TaskModify_Active"  "{s:player_name}对<font color=\"#f0ad4e\">{s:locstring_value}</font>启用了修饰词<font color=\"#c092fd\">{s:locstring_value2}</font>"


"HUD_Rune_Edit_2_Ok"    "符石锁定状态变更"

"HUD_Boss_Summon_wave"  "混乱来临回合倒计时：{s:remain_wave}"
"HUD_Boss_Summon_wave_Title"  "混乱来临"
"HUD_Boss_Summon_wave_Info"  "完成所有回合后将根据取得的成绩召唤出对应强度的最终BOSS，将其击败后可以提高获得的奖励"
"HUD_Chaotic_era_boss_warning" "混乱来临，击杀所有怪物后，终极首领出现"

"DOTA_Tooltip_modifier_take_gold"   "独当一面"
"DOTA_Tooltip_modifier_take_gold_Description"   "来自成就，获得5点全属性，20点基础攻击力、2点护甲，每10秒获得35金币"

"DOTA_HUD_Chaotic_Bonus_Attributes_description"           "初始获得15点属性点，可以自由分配属性。根据属性的不同消耗的属性点数各不相同，但消耗点数向上取整。<br><br>当完成了一些成就后可以增加初始属性点数。"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes"    "混沌属性分配"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_Description" "属性分配完毕"

"DOTA_HUD_FellOmen_Bonus_Attributes_talent_1"           "风暴领主"
"DOTA_HUD_FellOmen_Bonus_Attributes_talent_1_Description"   "消耗40点点数以解锁：<br><br>--对敌人造成技能伤害时最短以3秒间隔获得1层风暴充能。<br><br>--风暴充能累计至3层时，你的下次技能伤害会额外引发一次雷电，对其造成你主属性×英雄等级x0.6的魔法伤害"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_1"   "风暴领主"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_1_Description"   "对敌人造成技能伤害时最短以3秒间隔获得1层风暴充能，<br><br>风暴充能累计至3层时，你的下次伤害会额外引发一次雷电，对其造成你主属性×英雄等级x0.6的魔法伤害。"

"DOTA_HUD_FellOmen_Bonus_Attributes_talent_2"           "死神收割"
"DOTA_HUD_FellOmen_Bonus_Attributes_talent_2_Description"   "消耗40点点数以解锁：<br><br>--你的攻击伤害提升英雄等级x3%，如果是近战攻击，还会对至多4名敌人造成400范围的40%%溅射效果。"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_2"   "死神收割"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_2_Description"   "你的攻击伤害提升英雄等级x3%%，如果是近战攻击，还会对至多4名敌人造成400范围的40%%溅射效果。<br><br>当前攻击伤害提升：%dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_HUD_FellOmen_Bonus_Attributes_talent_3"           "永恒泰坦"
"DOTA_HUD_FellOmen_Bonus_Attributes_talent_3_Description"   "消耗40点点数以解锁：<br><br>--对精英敌人造成的最终伤害提升，提升百分比相当于你的最大生命值x0.16%，同时受到精英敌人的伤害降低15%"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_3"   "永恒泰坦"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_3_Description"   "对精英敌人造成的最终伤害提升，提升百分比相当于你的最大生命值x0.16%%，同时受到精英敌人的伤害降低15%%。<br><br>当前对精英伤害提升：%dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_HUD_FellOmen_Bonus_Attributes_talent_4"           "肆意湮灭"
"DOTA_HUD_FellOmen_Bonus_Attributes_talent_4_Description"   "消耗40点点数以解锁：<br><br>--对敌人造成的最终伤害会基于其生命值百分比而提升：最高在100%生命值时提供英雄等级x2%，在40%生命值及以下时失效"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_4"   "肆意湮灭"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_4_Description"   "对敌人造成的伤害会基于其生命值百分比而提升：最高在100%%生命值时提供英雄等级x2%%，在40%%生命值及以下时失效<br><br>当前最终伤害峰值：%dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_HUD_FellOmen_Bonus_Attributes_talent_5"           "暗影祀祭"
"DOTA_HUD_FellOmen_Bonus_Attributes_talent_5_Description"   "消耗40点点数以解锁：<br><br>--释放技能时最短以5秒间隔获得1层暗影充能。<br><br>--暗影充能累计至7层时召唤一个持续25秒的暗影图腾，其会以5秒间隔对友军英雄释放暗影波。<br><br>--暗影波会造成目标最大生命值x6%的纯粹伤害，并使其在5秒内提高最终伤害和移动速度，提高百分比等于（10+你的英雄等级x0.8%）<br><br>--你的召唤兽恒定享受'暗影波'，且效率为130%"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_5"   "暗影祀祭"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_5_Description"   "释放技能时最短以5秒间隔获得1层暗影充能。<br><br>暗影充能累计至7层时召唤一个持续25秒的暗影图腾，其会以5秒间隔对友军英雄释放暗影波。<br><br>暗影波会造成目标最大生命值x6%%的纯粹伤害，并使其在5秒内提高最终伤害和移动速度，提高百分比等于（10+你的英雄等级x0.8%%）<br><br>你的召唤兽恒定享受'暗影波'，且效率为130%%<br><br>当前最终伤害和移动速度提高：%dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_5_thinker_buff"  "暗影增益"
"DOTA_Tooltip_modifier_chaotic_bonus_attributes_talent_5_thinker_buff_Description"  "最终伤害和移动速度提高%fMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_HUD_set_normal_drow_info"   "<font color='#ff8033'>{s:locstring_value}</font>掉落了一件物品<font color='#ff8033'>{s:locstring_value2}</font>！"
"DOTA_HUD_set_drow_info"   "<font color='#f0ad4e'>{s:locstring_value}</font>掉落了一件套装物品<font color='#f0ad4e'>{s:locstring_value2}</font>！"
"DOTA_HUD_oracle_box_info"   "{s:player_name}遵从神谕，获得了<font color='#f0ffff'>{s:locstring_value}</font>！"

