

"HUD_PotionBagTitle"   "Potion Bag"
"hd_potion_regen_mana_4_info"   "Immediately restores <value1> of your mana. Also, gain a regen gain buff for <duration> seconds, during which your mana regeneration is increased by <value2>%."
"hd_potion_regen_mana_5"   "LEVEL5 Mana Potion"
"hd_potion_regen_mana_5_info"   "Immediately restores <value1> of your mana. Also, gain a regen gain buff for <duration> seconds, during which your mana regeneration is increased by <value2>%."



"DOTA_Tooltip_modifier_hd_potion_regen_mana_4_bonus"                   "Mana Regen Gain"
"DOTA_Tooltip_modifier_hd_potion_regen_mana_4_bonus_Description"       "Mana regeneration increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 
"DOTA_Tooltip_modifier_hd_potion_regen_mana_5_bonus"                   "Mana Regen Gain"
"DOTA_Tooltip_modifier_hd_potion_regen_mana_5_bonus_Description"       "Mana regeneration increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 





"hd_potion_arcane_boost_1"  "Potion of Arcane Boost"
"hd_potion_arcane_boost_1_info"  "Magical damage increased by <value1>% for the next <duration> seconds."

"DOTA_Tooltip_modifier_hd_potion_arcane_boost_1"                   "Potion of Arcane Boost"
"DOTA_Tooltip_modifier_hd_potion_arcane_boost_1_Description"       "Magical damage increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 

// "hd_potion_arcane_boost_3"  "上级奥术滋养灵药"
// "hd_potion_arcane_boost_3_info"  "使用后在接下来的<duration>秒内获得<value1>%魔法伤害增强"


"hd_potion_lightning_speed_1"  "Potion of Lightning Speed"
"hd_potion_lightning_speed_1_info"  "Move speed increased by <value1> for the next <duration> seconds."


"DOTA_Tooltip_modifier_hd_potion_lightning_speed_1"                   "Potion of Lightning Speed"
"DOTA_Tooltip_modifier_hd_potion_lightning_speed_1_Description"       "Move speed increased by %dMODIFIER_PROPERTY_TOOLTIP%" 


"hd_potion_colossus_1"  "Potion of Colossus"
"hd_potion_colossus_1_info"  "For the next <duration> seconds, increase your body size, and your attack damage gains a constant boost of <value1> along with a <value2>% percentage increase."


"DOTA_Tooltip_modifier_hd_potion_colossus_1"                   "Potion of Colossus"
"DOTA_Tooltip_modifier_hd_potion_colossus_1_Description"       "Attack damage increased by %dMODIFIER_PROPERTY_TOOLTIP%, Attack damage increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 



"hd_potion_hill_giant_strength_1"  "Potion of Hill Giant"
"hd_potion_hill_giant_strength_1_info"  "For the next <duration> seconds, strength increased by <value1>"

"DOTA_Tooltip_modifier_hd_potion_hill_giant_strength_1"                   "Potion of Hill Giant"
"DOTA_Tooltip_modifier_hd_potion_hill_giant_strength_1_Description"       "Strength increased by %dMODIFIER_PROPERTY_TOOLTIP%" 

"hd_potion_bloodlust_1"  "Potion of Bloodlust"
"hd_potion_bloodlust_1_info"  "Gain temporary health equal to <value1>% of maximum health (up to <value3>). The buff provides a <value2>% attack damage until the temporary health are fully depleted."
"DOTA_Tooltip_modifier_hd_potion_bloodlust_1"                   "Potion of Bloodlust"
"DOTA_Tooltip_modifier_hd_potion_bloodlust_1_Description"       "Attack damage increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 




"hd_potion_speed_1"  "Potion of Haste"
"hd_potion_speed_1_info"  "Gain haste buff, increasing your's movement speed by <bonus_move_speed>% and attack speed by <bonus_attack_speed>%. When moving a short distance (<distance>), transform into instant teleportation (with a <cooldown> cooldown), lasts for <duration> seconds.<br><br>After the buff expires, you will enter a fatigue state for <debuff_duration> seconds, during which your movement speed is reduced to a minimum.<br><br>If your buff is applied by spell, the potion will refresh the duration and maintain the spell's bonus values. Conversely, the spell will remove the potion's bonus and apply its own."







"hd_potion_permanent_vitality_1"  "Potion Permanent Vitality"
"hd_potion_permanent_vitality_1_info"  "Gain a strength bonus equal to <value1>% of your strength (not exceeding 150) for the next <duration> seconds, and permanently increase your strength by <value3>."

"DOTA_Tooltip_modifier_hd_potion_permanent_vitality_1"                   "Vitality Activation"
"DOTA_Tooltip_modifier_hd_potion_permanent_vitality_1_Description"       "Strength increased by %dMODIFIER_PROPERTY_TOOLTIP%" 
"DOTA_Tooltip_modifier_hd_potion_permanent_vitality_1_buff"                   "Potion Permanent Vitality"
"DOTA_Tooltip_modifier_hd_potion_permanent_vitality_1_buff_Description"       "Strength increased by %dMODIFIER_PROPERTY_TOOLTIP%" 





"hd_potion_permanent_agility_1"  "Potion of Permanent Agility"
"hd_potion_permanent_agility_1_info"  "Gain a agility bonus equal to <value1>% of your agility (not exceeding 150) for the next <duration> seconds, and permanently increase your agility by <value3>."
"DOTA_Tooltip_modifier_hd_potion_permanent_agility_1"                   "Agility Activation"
"DOTA_Tooltip_modifier_hd_potion_permanent_agility_1_Description"       "Agility increased by %dMODIFIER_PROPERTY_TOOLTIP%" 
"DOTA_Tooltip_modifier_hd_potion_permanent_agility_1_buff"                   "Potion of Permanent Agility"
"DOTA_Tooltip_modifier_hd_potion_permanent_agility_1_buff_Description"       "Agility increased by %dMODIFIER_PROPERTY_TOOLTIP%" 




"hd_potion_permanent_wisdom_1"  "Potion of Permanent Wisdom"
"hd_potion_permanent_wisdom_1_info"  "Gain a intelligence bonus equal to <value1>% of your intelligence (not exceeding 150) for the next <duration> seconds, and permanently increase your intelligence by <value3>."

"DOTA_Tooltip_modifier_hd_potion_permanent_wisdom_1"                   "Intelligence Activation"
"DOTA_Tooltip_modifier_hd_potion_permanent_wisdom_1_Description"       "Intelligence increased by %dMODIFIER_PROPERTY_TOOLTIP%" 
"DOTA_Tooltip_modifier_hd_potion_permanent_wisdom_1_buff"                   "Potion of Permanent Wisdom"
"DOTA_Tooltip_modifier_hd_potion_permanent_wisdom_1_buff_Description"       "Intelligence increased by %dMODIFIER_PROPERTY_TOOLTIP%" 





"hd_potion_fly_1"  "Potion of Fly"
"hd_potion_fly_1_info"  "Gain the ability to fly for the next <duration> seconds. While flying, you are not affected by disadvantageous terrain."



"DOTA_Tooltip_modifier_hd_potion_fly_1"                   "Potion of Fly"
"DOTA_Tooltip_modifier_hd_potion_fly_1_Description"       "You can fly high." 







"hd_potion_revive_1"  "Potion of Revice"
"hd_potion_revive_1_info"  "You will gain one resurrection opportunity. After death, respawn yourself after <value1> seconds. This potion can be stacked for multiple uses."


"DOTA_Tooltip_modifier_hd_potion_revive_1"                   "Potion of Revice"
"DOTA_Tooltip_modifier_hd_potion_revive_1_Description"       "You can respawn when die" 


