


"DOTA_Tooltip_modifier_lifeseeker_lifesteal"                   "Bloodthirsty"
"DOTA_Tooltip_modifier_chaotic_era_super_boxing_Description"       "After every %dMODIFIER_PROPERTY_TOOLTIP% attacks, it can knockback the target by %dMODIFIER_PROPERTY_TOOLTIP% distance." 





"DOTA_Tooltip_modifier_chaotic_era_hypnotic_pollen"                   "Hypnotic Pollen"
"DOTA_Tooltip_modifier_chaotic_era_hypnotic_pollen_Description"       "When hit by attacks from within %dMODIFIER_PROPERTY_TOOLTIP% range, emit sleep-inducing pollen, reducing their attack speed by %dMODIFIER_PROPERTY_TOOLTIP% and movement speed by %dMODIFIER_PROPERTY_TOOLTIP%, lasting for %dMODIFIER_PROPERTY_TOOLTIP% seconds." 





"DOTA_Tooltip_modifier_chaotic_era_hypnotic_pollen_debuff"                   "Hypnotic Pollen"
"DOTA_Tooltip_modifier_chaotic_era_hypnotic_pollen_debuff_Description"       "Attack speed redeuced by %dMODIFIER_PROPERTY_TOOLTIP%%%, movespeed reduced by %dMODIFIER_PROPERTY_TOOLTIP%" 


"DOTA_Tooltip_modifier_chaotic_era_self_regen"                   "Self-Healing"
"DOTA_Tooltip_modifier_chaotic_era_self_regen_Description"       "Regenerate %dMODIFIER_PROPERTY_TOOLTIP%%% of maximum health per second." 



"DOTA_Tooltip_modifier_chaotic_era_poison_boom"                   "Choking Deadwood"
"DOTA_Tooltip_modifier_chaotic_era_poison_boom_Description"       "The Immortal Stump has a lifespan of only %dMODIFIER_PROPERTY_TOOLTIP% seconds. If it is not killed before its time runs out, it will release poisonous gas, permanently reducing all attributes of allied heroes by %dMODIFIER_PROPERTY_TOOLTIP% and applying a poison state dealing damage equal to %dMODIFIER_PROPERTY_TOOLTIP%%% of their maximum health."

"DOTA_Tooltip_modifier_chaotic_era_poison_boom_debuff"                   "Miasma Infection"
"DOTA_Tooltip_modifier_chaotic_era_poison_boom_debuff_Description"       "Infected by the miasma from the Immortal Stump, all attributes are reduced."


"DOTA_Tooltip_modifier_chaotic_era_weak"                   "Level1 Weak"
"DOTA_Tooltip_modifier_chaotic_era_weak_Description"       "The battle lasts too long, you become weak. All spell cooldowns increase by %dMODIFIER_PROPERTY_TOOLTIP%%%, and movement speed decreases by %dMODIFIER_PROPERTY_TOOLTIP%." 




"DOTA_Tooltip_modifier_chaotic_era_weak2"                   "Level2 Weak"
"DOTA_Tooltip_modifier_chaotic_era_weak2_Description"       "All attributes reduced by %dMODIFIER_PROPERTY_TOOLTIP%" 


"DOTA_Tooltip_modifier_chaotic_era_weak3"                   "Level3 Weak"
"DOTA_Tooltip_modifier_chaotic_era_weak3_Description"       "Unable to regenerate health, and mana recovery is significantly reduced." 



