"DOTA_Tooltip_ability_item_hd_Treasure5_shop"	"L神的秘宝箱<font color=\"#777777\">-商店</font>"
"DOTA_Tooltip_ability_item_act2_giant_Lore"	"原始怪物身上的力量远古而悠远，那是来自泰坦的一隅————尽管无法完全为你所用，多少还是能提供一些力量。"

"DOTA_Tooltip_ability_item_act2_enigma"	"天体精髓<font color='#777777'>-精髓余韵</font>"
"DOTA_Tooltip_ability_item_act2_enigma_Description"	"<h1>被动：精髓强化</h1>每击杀%need%只怪物或击杀苦难精英-谜团的碎片时获得%get%点能量点数。在乱纪元模式中此要求减半。\n<h1>被动：碎片分化</h1>饮用魔瓶时，触发<font color='#9370db'>星体分化</font>。\n<h1>%check1%能量点被动：同源</h1><font color='#9370db'>星体分化</font>的小谜团的生命值和基础攻击力总增%bonus1%%% [×]，最大召唤数增加%num1%。\n<h1>%check2%能量点主动：精神体暴走</h1>召集并激化所有<font color='#9370db'>星体分化</font>的小谜团，使它们在持续%duration2%秒内无法被重新召唤，且造成的伤害总增%outgoing2%%% [×]，受到的伤害降低%outgoing2%%%，效果结束后在召唤者面前重新召唤其至最大数量。\n<h1><font color='#9370db'>触发：星体分化</font></h1>召唤一只远程攻击的小谜团，最大召唤数为%max%，其继承能量点×%index%%%的生命值、攻击力，同时所有的小谜团累计普通攻击命中%stack%次就会为召唤者回复一次魔瓶使用次数。"
"DOTA_Tooltip_modifier_item_act2_enigma_crazy_during"	"精神体暴走"
"DOTA_Tooltip_modifier_item_act2_enigma_crazy_during_Description"   "你的谜团正在暴走，期间无法召唤新谜团"
"DOTA_Tooltip_modifier_item_act2_enigma_crazy"	"精神体暴走"
"DOTA_Tooltip_modifier_item_act2_enigma_crazy_link_Description"   "造成的伤害大幅提高，受到的伤害大幅减少"
"npc_act2_enigma"   "星体分化：谜团"
"DOTA_Tooltip_ability_item_act2_enigma_Lore"	"从强大的守卫者手中窃取力量并非易事，然而现在的你似乎与生俱来这样的力量。"

//act3设计稿：玩家直接解锁中立单位槽，初始获得元素精髓进行选择。不同的元素精髓有不同的升级方式，也同时具有通用升级方式。
"DOTA_Tooltip_ability_item_act3_choice"	"唤灵秘宝<font color='#777777'>-过往荣光</font>"
"DOTA_Tooltip_ability_item_act3_choice_Description"	"<h1>消耗：唤灵</h1>选取一个唤灵秘宝。"
"DOTA_Tooltip_ability_item_act3_choice_Lore"	"你是怎么联系到这种东西的？"

"DOTA_Tooltip_ability_item_act3_wind"	"迦楼罗之羽<font color='#777777'>-过往荣光</font>"
"DOTA_Tooltip_ability_item_act3_wind_Description"	"<h1>被动：气灵之祝</h1>你的移动速度突破上限。每移动%need_1%距离会闪避弹道并总增你%outgoing_1%%%伤害 [×]，持续%duration_1%秒。<br><br>每移动%need%码距离获得一灵能点（最大获得回合数×5点）。\n<h1>%check2%灵能点被动：护体之风</h1>你受到的物理伤害降低%incoming_2%%%，每移动%need_2%码会对最近的一名敌人触发<font color='#9370db'>风之箭</font>：在直线路径上造成伤害。\n<h1>%check3%灵能点被动：急速之风</h1><font color='#9370db'>风之箭</font>的伤害总增%damage_3%%% [×]，每命中一名敌人都会额外增加%bonus_3%点移动速度，独立叠加持续%duration_3%秒。\n<h1>%check4%灵能点被动：迦楼罗之赐</h1>你可以穿越地形，并在移动时获得%evasion_4%%%闪避。<font color='#9370db'>急行</font>有%chance_4%%%几率会在释放后立刻刷新并视为你额外移动了%need_2%距离。"
"DOTA_Tooltip_ability_item_act3_wind_point_move"    "%+移动速度/每点数"
"DOTA_Tooltip_modifier_item_act3_wind_1"	"轻灵之风"
"DOTA_Tooltip_modifier_item_act3_wind_1_Description"   "伤害总增"
"DOTA_Tooltip_modifier_item_act3_wind_3"	"急速之风"
"DOTA_Tooltip_modifier_item_act3_wind_3_Description"   "移动速度提高"
"DOTA_Tooltip_ability_item_act3_wind_Note0"	"<font color='#606060'>风之箭的伤害取全额攻击力修正和属性修正中的高值，并因此造成物理或魔法伤害。灵能点提高风之箭的伤害和射程。</font>"

"DOTA_Tooltip_ability_item_act3_fire"	"伊芙利特之焰<font color='#777777'>-过往荣光</font>"
"DOTA_Tooltip_ability_item_act3_fire_Description"	"<h1>被动：火灵之祝</h1>你的伤害会引发一次<font color='#9370db'>炎爆术</font>：造成范围火属性伤害。<br><br>每触发%need%次获得一灵能点（最大获得回合数×5点）。\n<h1>%check2%灵能点被动：爆燃之火</h1>你造成的伤害总增%outgoing_2%%% [×]，但技能冷却增加%cooldown_2%%%。\n<h1>%check3%灵能点被动：破灭之火</h1><font color='#9370db'>炎爆术</font>会附带目标当前生命值×%hpdamage_3%%%的伤害。\n<h1>%check4%灵能点被动：伊芙利特之赐</h1>你获得%attack_4%%%全额攻击力、%spell_4%%%技能增强和%summon_4%%%召唤增强。每过%interval_4%秒，对自身周围%radius_4%范围内随机一个地点触发<font color='#9370db'>炎爆术</font>。"
"DOTA_Tooltip_ability_item_act3_fire_point_damage"    "%+伤害增加 [+]/每点数"
"DOTA_Tooltip_ability_item_act3_fire_Note0"	"<font color='#606060'>炎爆术的伤害取全额攻击力修正和属性修正中的高值，并因此造成物理或魔法伤害。灵能点提高炎爆术的伤害。</font>"

"DOTA_Tooltip_ability_item_act3_earth"	"泰坦之碎片<font color='#777777'>-过往荣光</font>"
"DOTA_Tooltip_ability_item_act3_earth_Description"	"<h1>被动：地灵之祝</h1>每英雄等级为你提供英雄等级×%armor_1%点护甲和%magicres_1%%%魔法抗性。<br><br>每受到%need%次攻击获得一灵能点（最大获得回合数×5点）。\n<h1>%check2%灵能点被动：沉重之土</h1>你有%chance_2%%%几率造成%crit_2%%%伤害，可与其余暴击类效果共存。\n<h1>%check3%灵能点被动：坚钢之土</h1>即将受到一个敌人的首次攻击时反震之，眩晕其%duration_3%秒并使其期间其无法造成伤害。\n<h1>%check4%灵能点被动：泰坦之赐</h1>你的每点护甲为你提供%outgoing_4%%%伤害增加 [+]，每1%%魔法抗性为你提供%incoming_4%%%伤害减免（最大提供50%%|30%%）。"
"DOTA_Tooltip_ability_item_act3_earth_point_armor"    "+护甲/每点数"
"DOTA_Tooltip_modifier_item_act3_earth_3"	"坚钢之土"
"DOTA_Tooltip_modifier_item_act3_earth_3_Description"   "眩晕，无法造成伤害"
"DOTA_Tooltip_modifier_item_act3_earth"	"泰坦之赐"
"DOTA_Tooltip_modifier_item_act3_earth_Description"   "伤害增加%fMODIFIER_PROPERTY_TOOLTIP%%%，获得%fMODIFIER_PROPERTY_TOOLTIP%%%伤害减免"
"DOTA_Tooltip_ability_item_act3_earth_Note0"	"<font color='#606060'>灵能点提高沉重之土的伤害增幅。</font>"

"DOTA_Tooltip_ability_item_act3_water"	"利维坦之鳞<font color='#777777'>-过往荣光</font>"
"DOTA_Tooltip_ability_item_act3_water_Description"	"<h1>被动：水灵之祝</h1>每%interval%秒回复你已损失生命值和魔法值的%regen_1%%%并减少自身所有可刷新技能%cd_1%秒冷却时间。<br><br>每释放%need%次冷却时间不低于5秒的技能获得一灵能点（最大获得回合数×5点）。\n<h1>%check2%灵能点被动：纯净之水</h1><font color='#9370db'>水灵之祝</font>生效时对你进行一次<font color='#9370db'>强驱散</font>，并使你在%duration_2%秒内免疫伤害。\n<h1>%check3%灵能点被动：浩瀚之水</h1><font color='#9370db'>水灵之祝</font>会以%index_3%%%效率影响不可刷新技能，并对周围%radius_3%范围内一个随机敌人处触发<font color='#9370db'>洪流</font>：造成范围冰属性伤害和击飞。\n<h1>%check4%灵能点被动：利维坦之赐</h1>施法前摇降低%casttime_4%%%，<font color='#9370db'>水灵之祝</font>的冷却返还效果提高至%cd_4%秒。"
"DOTA_Tooltip_ability_item_act3_water_point_cd"    "%+冷却缩减/每点数"
"DOTA_Tooltip_modifier_item_act3_water_2"	"纯净之水"
"DOTA_Tooltip_modifier_item_act3_water_2_Description"   "免疫伤害"
"DOTA_Tooltip_ability_item_act3_water_Note0"	"<font color='#606060'>洪流的伤害取全额攻击力修正和属性修正中的高值，并因此造成物理或魔法伤害。灵能点提高洪流的伤害。</font>"

"DOTA_Tooltip_ability_item_act3_chaos_unupdate"	"封印的灰烬<font color='#777777'>-过往荣光</font>"
"DOTA_Tooltip_ability_item_act3_chaos_unupdate_Description"	"<h1>被动：这尼玛有什么用？？</h1>移动速度降低%move_down%点，受到的伤害增加%incoming%%%，造成的伤害总降%outgoing%%% [×]。<br><br>回合开始时获得5灵能点。请尽可能不要放在中立栏位。"
"DOTA_Tooltip_ability_item_act3_chaos_unupdate_Lore"   "自断未来而背水前进者，可获恩赐。"

"DOTA_Tooltip_ability_item_act3_chaos"	"<font color='#ffa62aff'>解封的幸运-过往荣光</font>"
"DOTA_Tooltip_ability_item_act3_chaos_Description"	"<h1><font color='#ffa62aff'>被动：世界之祝</font></h1><font color='#ffef73ff'>获得这件宝物时立刻提升%level%级。</font>"
"DOTA_Tooltip_ability_item_act3_chaos_all"	"+全属性"
"DOTA_Tooltip_ability_item_act3_chaos_profic"	"%+精通"
"DOTA_Tooltip_ability_item_act3_chaos_outgoing_mult"	"%+伤害总增 [×]"
"DOTA_Tooltip_ability_item_act3_chaos_incoming"	"%+伤害减免"
"DOTA_Tooltip_ability_item_act3_chaos_cooldown_reduction"	"%+冷却缩减"
"DOTA_Tooltip_ability_item_act3_chaos_summon_intensity"	"%+召唤增强"
"DOTA_Tooltip_ability_item_act3_chaos_manacost_reduction"	"%+魔法消耗降低"


//ACT4：四灵传说月
"npc_shrine_1"  "太虚残像"
"npc_shrine_2"  "灰烬残像"
"npc_shrine_3"  "大地残像"
"npc_shrine_4"  "风暴残像"
"DOTA_HUD_act4_active_info"         "<font color='#ff8033'>{s:locstring_value}</font>为全队开启了<font color='#ff8033'>{s:locstring_value2}</font>！"
"DOTA_Tooltip_modifier_act4_fire"	"灵体附身：灰烬之灵"
"DOTA_Tooltip_modifier_act4_fire_Description"	"%dMODIFIER_PROPERTY_TOOLTIP%%%造成%dMODIFIER_PROPERTY_TOOLTIP%%%致命一击<br>攻击造成主属性×%dMODIFIER_PROPERTY_TOOLTIP%火属性物理伤害<br>伤害总增%dMODIFIER_PROPERTY_TOOLTIP%%% [×]<br><br>攻击%dMODIFIER_PROPERTY_TOOLTIP%次后释放无影拳"

"DOTA_Tooltip_modifier_act4_storm"	"灵体附身：风暴之灵"
"DOTA_Tooltip_modifier_act4_storm_Description"	"+%dMODIFIER_PROPERTY_TOOLTIP%魔法恢复<br>-%dMODIFIER_PROPERTY_TOOLTIP%%%魔法消耗<br>+%dMODIFIER_PROPERTY_TOOLTIP%%%冷却缩减<br><br>施法%dMODIFIER_PROPERTY_TOOLTIP%次后释放电流爆炸"

"DOTA_Tooltip_modifier_act4_earth"	"灵体附身：大地之灵"
"DOTA_Tooltip_modifier_act4_earth_Description"	"+%fMODIFIER_PROPERTY_TOOLTIP%%%伤害减免<br>+%dMODIFIER_PROPERTY_TOOLTIP%点力量<br>所受伤害不超过10%%最大生命值<br><br>每%dMODIFIER_PROPERTY_TOOLTIP%秒释放磁化"
"DOTA_Tooltip_modifier_act4_earth_magnetize_debuff"	"磁化"
"DOTA_Tooltip_modifier_act4_earth_magnetize_debuff_Description"	"受到伤害+%dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_Tooltip_modifier_act4_void"	"灵体附身：虚无之灵"
"DOTA_Tooltip_modifier_act4_void_Description"	"从力量中获得%dMODIFIER_PROPERTY_TOOLTIP%%%魔法抗性<br>从敏捷中获得%dMODIFIER_PROPERTY_TOOLTIP%%%致命一击伤害<br>从智力中获得%dMODIFIER_PROPERTY_TOOLTIP%%%技能增强<br><br>击杀%dMODIFIER_PROPERTY_TOOLTIP%名敌人后释放太虚之径"

//乱纪元专属装备
//初始职能选择
"DOTA_Tooltip_ability_item_chaotic_class_choice" "职能选择信函"
"DOTA_Tooltip_ability_item_chaotic_class_choice_Description" "<h1>消耗：选择职能</h1>选择一种职能加成。"
"DOTA_Tooltip_ability_item_chaotic_class_choice_later" "职能重选信函"
"DOTA_Tooltip_ability_item_chaotic_class_choice_later_Description" "<h1>消耗：选择职能</h1>重新选择一种职能加成。"
//乱纪元修正
"DOTA_Tooltip_ability_item_hd_chaotic_demon" "反转之枝"
"DOTA_Tooltip_ability_item_hd_chaotic_demon_Description" "<h1>购买后立刻生效，使所有玩家进入困难模式：</h1>激活回合越早，提供的增益越多。于回合开始前激活时达到最大：<br><br>造成的伤害降低%value1%%% [×]<br>受到的伤害增加%value2%%%<br>抽取技能数减少%value3%<br>第一魔神·巴尔获得强化<br><br>圣物掉落几率总增%value4%%% [×]<br>圣物经验获取总增%value5%%% [×]<br>最终首领收益系数增加%value6%%% [+]"
"DOTA_Tooltip_modifier_item_hd_chaotic_demon" "反转之枝：困难模式"
"DOTA_Tooltip_modifier_item_hd_chaotic_demon_Description" "-造成的伤害降低%dMODIFIER_PROPERTY_TOOLTIP%%%<br>-受到的伤害增加%dMODIFIER_PROPERTY_TOOLTIP%%%<br>-抽取技能时抽取数减少%dMODIFIER_PROPERTY_TOOLTIP%<br>-第一魔神·巴尔获得强化<br><br>-圣物掉落几率总增%fMODIFIER_PROPERTY_TOOLTIP%%% [×]<br>-圣物经验获取总增%fMODIFIER_PROPERTY_TOOLTIP%%% [×]<br>-最终首领收益系数增加%dMODIFIER_PROPERTY_TOOLTIP%%% [+]"
"DOTA_Tooltip_modifier_item_hd_chaotic_demon_summon" "反转之枝：困难模式"
"DOTA_Tooltip_modifier_item_hd_chaotic_demon_summon_Description" "-造成的伤害降低%dMODIFIER_PROPERTY_TOOLTIP%%%<br>-受到的伤害增加%dMODIFIER_PROPERTY_TOOLTIP%%%"
//圣器：伤害增加
"DOTA_Tooltip_ability_item_chaotic_class_range_phy" "职能：强攻者"
"DOTA_Tooltip_ability_item_chaotic_class_range_phy_Description" "每级造成的伤害增加%outgoing%%% [+]。"
"DOTA_Tooltip_modifier_item_chaotic_class_range_phy" "职能：强攻者"
"DOTA_Tooltip_modifier_item_chaotic_class_range_phy_Description" "造成的伤害增加%fMODIFIER_PROPERTY_TOOLTIP%%%"
//圣器：伤害减免和生命恢复
"DOTA_Tooltip_ability_item_chaotic_class_melee_phy" "职能：守卫者"
"DOTA_Tooltip_ability_item_chaotic_class_melee_phy_Description" "每级获得%incoming%%%伤害减免和%regen%%%最大生命恢复。"
"DOTA_Tooltip_modifier_item_chaotic_class_melee_phy" "职能：守卫者"
"DOTA_Tooltip_modifier_item_chaotic_class_melee_phy_Description" "获得%fMODIFIER_PROPERTY_TOOLTIP%%%伤害减免<br>获得%fMODIFIER_PROPERTY_TOOLTIP%%%最大生命恢复"
//钱
"DOTA_Tooltip_ability_item_chaotic_class_gold" "启动资金"
