// "dota_ability_variable_health"				"生命值"					// $health
"dota_ability_variable_health_pct"				"生命值 [+]"					// $health_pct
"dota_ability_variable_spell_amp"	"技能增强"			// $spell_amp
"dota_ability_variable_red_str"					"<font color=\"#d9534f\">力量</font><font color='#7d7d7d'>"					// $red_str
"dota_ability_variable_red_int"					"<font color=\"#d9534f\">智力</font><font color='#7d7d7d'>"				// $red_int
"dota_ability_variable_red_agi"					"<font color=\"#d9534f\">敏捷</font><font color='#7d7d7d'>"					// $red_agi


"dota_ability_variable_red_spell_resist"		"<font color=\"#d9534f\">魔法抗性</font><font color='#7d7d7d'>"			// $red_spell_resist


"dota_ability_variable_armor_needlv"		"护甲（若圣物等级达标）"			// $armor_needlv
"dota_ability_variable_maxhp_regen_needlv"		"最大生命恢复（若圣物等级达标）"			// $maxhp_regen_needlv
"dota_ability_variable_maxmp_regen_needlv"		"最大魔法恢复（若圣物等级达标）"			// $maxmp_regen_needlv
"dota_ability_variable_damage_needlv"		"攻击力（若圣物等级达标）"			// $damage_needlv
"dota_ability_variable_spell_amp_needlv"		"技能增强（若圣物等级达标）"			// $spell_amp_needlv
